calendar_year,calendar_week,simulation_count,thermal_generation_p05_gwh,thermal_generation_p25_gwh,thermal_generation_median_gwh,thermal_generation_p75_gwh,thermal_generation_p95_gwh,thermal_generation_positive_share,thermal_peak_block_median_mw,thermal_peak_block_p95_mw
2025,52,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,1,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,2,91,0.0,0.0,0.0,2.0810352056971526,15.196569034130304,0.4175824175824176,0.0,318.47438008472847
2026,3,91,0.0,3.1029480010510593,8.950186802533784,16.92064348849997,30.8,0.9230769230769231,282.36143768923307,385.0
2026,4,91,0.0,4.097002180792014,14.943158081179977,24.678735184465594,30.8,0.9340659340659341,385.0,385.0
2026,5,91,0.0,5.4655970506363865,19.41901954125898,30.8,33.90539615391084,0.9340659340659341,385.0,518.1363983057144
2026,6,91,0.0,4.031208226826577,21.392565348553855,30.8,44.48514246380834,0.9340659340659341,385.0,488.1911174369491
2026,7,91,0.0,6.061203369615949,30.8,30.8,65.44292680677498,0.9010989010989011,385.0,526.6977922815889
2026,8,91,16.965833183329472,32.08800880478897,42.67785955516002,52.79681123155777,74.13963082260334,1.0,542.7823424444675,617.1495498680674
2026,9,91,5.906848923633353,28.74840184801368,31.357787672805173,57.477696819896614,72.16370072320291,0.989010989010989,407.32490569726076,625.2152383281434
2026,10,91,0.0,30.8,30.8,63.89381431119296,80.14529361853278,0.9340659340659341,385.0,633.0724314625108
2026,11,91,4.566527010717511,30.8,59.54119934307412,94.02517886631114,109.45488006178587,1.0,466.39290233128054,892.7772659534653
2026,12,91,20.40336565937282,34.95073848272949,70.42111830998266,100.28,107.51622783170187,1.0,672.0559154991333,971.6465959804615
2026,13,91,8.054163035970557,35.308229338483144,66.83204612720203,100.44,117.63464930717842,1.0,492.602306360101,1041.5315073924653
2026,14,91,3.3938503150505683,46.152327064357934,65.76324097760543,89.94634047285123,139.980607601182,0.978021978021978,428.4789020282824,1224.7526849801461
2026,15,91,7.442420837756144,61.18722781904414,78.14577610368059,95.85774054727936,150.3115722810527,1.0,621.1328245350504,1244.0
2026,16,91,12.061451628036432,63.175275847744985,83.51877783247474,99.5977687364763,138.5772602031775,1.0,820.0,1300.0
2026,17,91,28.75300573399094,64.40278456199341,83.39833036673149,96.83342459622293,149.65742729955033,1.0,833.0,1347.0
2026,18,91,35.626992285329955,72.93276639273292,102.50681389877988,122.28349530875695,178.7455570197243,1.0,940.6782328447621,1382.0
2026,19,91,40.00373597977371,84.85317203658707,104.65119211609723,110.81963428577205,154.19800215041573,1.0,1313.0,1313.0
2026,20,91,31.821349595465506,63.79154998626351,73.64000000000001,87.71038735925383,118.32919545203299,1.0,833.0,1135.2406263189018
2026,21,91,31.02286244575317,70.19562695096744,73.12362044143444,82.2409551227359,111.04374868808527,1.0,807.181022071722,1164.3598857452496
2026,22,91,30.8,66.46909304585841,68.6840293392816,83.62646165681201,103.14312180437624,1.0,585.2014669640795,1012.5826717793967
2026,23,91,42.96326666615326,69.20828475521611,73.03354549599777,86.36150696537395,112.04995861737652,1.0,798.5742830937526,1151.3315252818386
