simulation,calendar_year,calendar_week,stage,stored_energy_gwh,thermal_generation_gwh,thermal_peak_block_mw,thermal_positive,stored_energy_gwh_within_week,thermal_generation_gwh_within_week,thermal_peak_block_mw_within_week
1,2025,52,1,3720.022566,0.0,0.0,False,-2.923149780219319,0.0,0.0
1,2026,1,2,3752.590833,0.0,0.0,False,32.45097013186796,0.0,0.0
1,2026,2,3,3620.461,2.806239613514357,140.31198067571785,True,-53.627406120879186,0.642727774694249,78.57105384129234
1,2026,3,4,3535.867482,13.213797446395525,337.550265857615,True,-90.05868045054922,1.824985727115319,85.04064468065303
1,2026,4,5,3392.673729,24.96793259678153,385.0,True,-191.91267312087894,10.185329097385198,92.60906745037039
1,2026,5,6,3691.81011,4.041997479670383,202.09987398351916,True,143.50081712087922,-15.318190224484102,-135.56651758708557
1,2026,6,7,3719.948623,0.5881228956097342,29.40614478048671,True,227.85231782417577,-18.791473645866475,-270.71527048199937
1,2026,7,8,3738.479647,0.9131149953565416,45.65574976782708,True,313.2447129230768,-23.345617630075072,-258.60414543817353
1,2026,8,9,3746.162612,32.48211389675597,469.10569483779847,True,358.8689695824173,-11.294777742974489,-39.44521366877126
1,2026,9,10,3776.089699,24.851031089174285,385.0,True,470.2166976703297,-13.912740874348088,-37.22530562898726
1,2026,10,11,3737.934168,8.439381213408344,273.8216488044869,True,467.1424564285717,-29.521191825472954,-102.13292266251847
1,2026,11,12,3574.323284,33.22962832799282,385.0,True,337.8949545934065,-28.136244258603696,-174.08488056765668
1,2026,12,13,3827.78831,14.560395946013212,385.0,True,655.5904709230767,-54.00868105751225,-282.96046545771867
1,2026,13,14,3830.654885,6.430680075634373,314.53186341241553,True,684.2538795164833,-61.964804914964205,-295.3163739715303
1,2026,14,15,3863.664863,2.552922410459584,127.6461205229792,True,750.5912906263734,-66.7954504732875,-475.1565034022459
1,2026,15,16,3850.798338,6.841083811967348,342.0541905983674,True,780.3691790219777,-71.64592945665541,-371.2968028439093
1,2026,16,17,3841.459981,10.71649623103814,385.0,True,793.311099505494,-68.76407451099278,-372.2058336635822
1,2026,17,18,3842.068922,30.8,385.0,True,802.9278809999996,-50.18780034979642,-364.77190690065447
1,2026,18,19,3834.839086,34.43698981853885,566.8494909269425,True,840.913550065934,-67.90767548982988,-455.27539792871164
1,2026,19,20,3768.762891,43.98778475722399,833.0,True,824.124474065934,-53.324989093758035,-308.3070178885548
1,2026,20,21,3846.500326,20.83315341932171,432.0905450333295,True,943.7116638571429,-52.270034495860294,-361.263924030457
1,2026,21,22,3855.063806,15.991653671997316,484.4812157407234,True,1019.3235033846154,-57.14152101852264,-301.98860732732123
1,2026,22,23,3818.903068,28.44106037464317,385.0,True,1031.5477535934065,-42.28639462385259,-271.4096736067621
1,2026,23,24,3622.642603,55.31844339261305,683.7108801082434,True,928.961661263736,-22.267576169064455,-111.63736111938988
1,2026,24,25,3367.234873,73.63796593350048,832.8982966750236,True,764.9248551978021,-2.5283498186522024,54.17523842429841
1,2026,25,26,3060.908164,76.89161755741026,995.5808778705128,True,576.8198443626375,-2.665330730698898,137.2786034676301
1,2026,26,27,2802.17268,75.80427367629719,941.2136838148588,True,424.9256229340658,-2.8817660955647426,131.00788258125556
1,2026,27,28,2499.719578,92.69627320001868,1204.723233900086,True,253.658081967033,5.420405197684744,165.95388359682465
1,2026,28,29,2473.564566,75.74285534097476,938.1427670487373,True,364.00173390109876,-7.655973825283041,-19.301349965148233
1,2026,29,30,2465.609138,68.6633829039614,584.1691451980698,True,484.4160853186811,-11.982878425667863,-279.6809712088524
1,2026,30,31,2233.869143,78.24982614276168,1063.4913071380836,True,403.2581899560439,-7.8563044837309235,19.588781238815272
1,2026,31,32,2253.466285,75.19632820739025,910.8164103695124,True,559.7792016043954,-13.09629092694567,-144.83706055305197
1,2026,32,33,2212.779176,76.48988681765724,975.4943408828618,True,651.9790065274724,-17.65537792967396,-219.56625896333128
1,2026,33,34,2039.012249,71.87490022841452,744.7450114207256,True,574.2296067692309,-9.796614852843362,-123.11539330469759
1,2026,34,35,1967.641781,69.74354520040555,638.1772600202778,True,623.097341912088,-9.289907689331173,-205.5188914949323
1,2026,35,36,1776.621921,67.96959896490895,549.4799482454473,True,527.4551319890109,-3.5439174188434066,-112.93691268414057
1,2026,36,37,1589.141822,69.60803928827661,631.4019644138309,True,410.5719709010989,-2.9097832032992557,-91.65862750479471
1,2026,37,38,1383.670032,73.64000000000001,833.0,True,201.27494274725268,1.1847167803117031,75.97095277281016
1,2026,38,39,1519.047064,66.93527673997266,497.7638369986324,True,337.784465857143,1.6307627391624067,-60.09171162326595
