calendar_year,calendar_week,simulation_count,storage_mean_gwh,thermal_generation_mean_gwh,thermal_positive_share,storage_vs_thermal_gwh_correlation,storage_vs_peak_thermal_mw_correlation
2025,52,91,3722.9457157802203,0.0,0.0,,
2026,1,91,3720.1398628681322,0.0,0.0,,
2026,2,91,3674.088406120879,2.1635118388201082,0.4175824175824176,-0.7547683963798332,-0.7932505139070548
2026,3,91,3625.9261624505502,11.388811719280206,0.9230769230769231,-0.8530866140134014,-0.7206209324638894
2026,4,91,3584.586402120879,14.782603499396332,0.9340659340659341,-0.8564856108857641,-0.6802404421867196
2026,5,91,3548.309292879121,19.360187704154484,0.9340659340659341,-0.8821509802750813,-0.7918434384484633
2026,6,91,3492.096305175824,19.37959654147621,0.9340659340659341,-0.8741860410549536,-0.7868758143542899
2026,7,91,3425.2349340769233,24.258732625431612,0.9010989010989011,-0.8801671950727804,-0.8140704354251598
2026,8,91,3387.2936424175828,43.77689163973046,1.0,-0.8555405170595644,-0.6721352461920264
2026,9,91,3305.87300132967,38.76377196352238,0.989010989010989,-0.8991603438561566,-0.8072473924823549
2026,10,91,3270.7917115714286,37.9605730388813,0.9340659340659341,-0.9136157205546109,-0.7859776602477329
2026,11,91,3236.428329406594,61.365872586596524,1.0,-0.9397606262510493,-0.9322811464606404
2026,12,91,3172.1978390769236,68.56907700352546,1.0,-0.9274994319222075,-0.9275677165123245
2026,13,91,3146.4010054835157,68.39548499059858,1.0,-0.9425622335079439,-0.9497353858372213
2026,14,91,3113.073572373626,69.34837288374707,0.978021978021978,-0.9244129815865605,-0.938883354374744
2026,15,91,3070.4291589780223,78.48701326862276,1.0,-0.9325748546915513,-0.9499581686024582
2026,16,91,3048.148881494506,79.48057074203093,1.0,-0.8849996302966446,-0.8996430871605056
2026,17,91,3039.1410410000003,80.98780034979642,1.0,-0.8974353250880657,-0.9307281056434196
2026,18,91,2993.925535934066,102.34466530836873,1.0,-0.8632722239061891,-0.890516748547318
2026,19,91,2944.638416934066,97.31277385098203,1.0,-0.7786813744056192,-0.8121127932018091
2026,20,91,2902.788662142857,73.103187915182,1.0,-0.8256775761968624,-0.853945940989082
2026,21,91,2835.7403026153847,73.13317469051994,1.0,-0.8128665404706941,-0.827348016372785
2026,22,91,2787.3553144065936,70.72745499849576,1.0,-0.843757208821558,-0.8375937147148613
2026,23,91,2693.680941736264,77.5860195616775,1.0,-0.8504377794271268,-0.7643369806407951
2026,24,91,2602.3100178021978,76.16631575215268,1.0,-0.806091516818755,-0.7007359086516802
2026,25,91,2484.088319637363,79.55694828810914,1.0,-0.8161960848895845,-0.6429246864168332
2026,26,91,2377.2470570659343,78.68603977186191,1.0,-0.8454848694189231,-0.5983287887747851
2026,27,91,2246.0614960329667,87.27586800233392,1.0,-0.8426693139314662,-0.7433688174373833
2026,28,91,2109.562832098901,83.39882916625778,1.0,-0.7587355734707485,-0.5641323378591657
2026,29,91,1981.1930526813187,80.64626132962927,1.0,-0.8288979982945277,-0.6214991775202662
2026,30,91,1830.610953043956,86.1061306264926,1.0,-0.8773497247429952,-0.6493516036028048
2026,31,91,1693.687083395604,88.29261913433594,1.0,-0.8318575532548729,-0.7444176520591453
2026,32,91,1560.8001694725276,94.14526474733118,1.0,-0.8728700296901134,-0.7642589502993674
2026,33,91,1464.7826422307696,81.67151508125788,1.0,-0.8637181095065561,-0.6978713217676293
2026,34,91,1344.544439087912,79.03345288973672,1.0,-0.8915605868647597,-0.7723178034046011
2026,35,91,1249.1667890109893,71.51351638375236,1.0,-0.904454205932396,-0.8777894540529417
2026,36,91,1178.5698510989012,72.51782249157587,1.0,-0.9057659171041218,-0.8670507607342551
2026,37,91,1182.3950892527473,72.45528321968833,1.0,-0.8748403275152189,-0.7740089312647208
2026,38,91,1181.262598142857,65.30451400081026,1.0,-0.8915694730661952,-0.8599370368884941
2026,39,91,1193.252811934066,61.26969051576554,0.978021978021978,-0.891930932886814,-0.9000725947635249
2026,40,91,1239.574927043956,62.14796557068646,0.967032967032967,-0.8976952644124301,-0.8848147354788104
2026,41,91,1320.5440383516484,53.617830974159446,0.8681318681318682,-0.887661918683165,-0.892386186839808
2026,42,91,1405.3269782857144,54.8917386240571,0.8791208791208791,-0.9029594492768407,-0.8972505914049536
2026,43,91,1495.9465633296702,52.32196028457898,0.8681318681318682,-0.9105374907304334,-0.9182557824588516
2026,44,91,1612.3067305714287,51.073121349653064,0.8241758241758241,-0.9004390755337299,-0.9324210124017107
2026,45,91,1694.101495989011,24.40550073198876,0.8131868131868132,-0.8857704685451672,-0.851223116339658
2026,46,91,1775.8242180219781,12.198181147612608,0.4945054945054945,-0.7872404649664712,-0.7887651313800141
2026,47,91,1832.9929250879125,14.056686759344727,0.4835164835164835,-0.797430584976695,-0.8314766789214509
2026,48,91,1915.4724904835166,32.04914331541466,0.7692307692307693,-0.926923288959163,-0.9047921703288118
2026,49,91,2025.840514978022,55.701844818121025,0.8131868131868132,-0.9426925635844374,-0.921452465246599
2026,50,91,2118.790269637362,57.1250506356733,0.8131868131868132,-0.9414250301655845,-0.9280749185506817
2026,51,91,2253.0695987252743,55.25872785406987,0.8021978021978022,-0.939000574356943,-0.9247972869009031
