storage_bin,observations,simulation_count,storage_mean_gwh,thermal_positive_share,thermal_generation_mean_gwh,thermal_generation_median_gwh,thermal_peak_mean_mw,thermal_peak_median_mw
"[0.0, 500.0)",233,33,287.57048045922744,1.0,101.43178423359903,99.94397872416025,817.3834745275394,833.0
"[500.0, 1000.0)",308,52,767.0217449512987,1.0,85.20071432036092,80.68,773.8265417513193,833.0
"[1000.0, 1500.0)",449,67,1259.9404846837415,0.9977728285077951,72.83114523420033,72.93213415961065,704.6515769051098,725.9797160527207
"[1500.0, 2000.0)",611,88,1758.341392507365,0.967266775777414,66.73290590419911,68.10954021012574,638.0659011781395,585.0
"[2000.0, 2500.0)",591,90,2238.868221922166,0.9407783417935702,68.58530016081502,73.61741429242738,738.5822852211622,831.0989439832238
"[2500.0, 3000.0)",685,91,2749.4507916642337,0.8992700729927007,65.48204016963928,72.83050863000798,681.1642027165399,775.864807923555
"[3000.0, 3500.0)",756,91,3263.000198047619,0.9206349206349206,51.02564654663484,56.029906580241764,534.3139861062746,518.0698481190668
"[3500.0, 4000.0)",1045,91,3704.5203661617224,0.6822966507177034,17.387965443061777,6.209603782194398,251.56006141113068,263.53996321750793
