calendar_year,calendar_week,simulation_count,stored_energy_p05_gwh,stored_energy_p25_gwh,stored_energy_median_gwh,stored_energy_p75_gwh,stored_energy_p95_gwh,thermal_cost_median_nzd,thermal_cost_p95_nzd,thermal_cost_positive_share,lost_load_cost_median_nzd,lost_load_cost_p95_nzd,lost_load_positive_share
2026,37,91,121.139317,579.245053,1182.390859,1747.409229,2405.424888,6636780.906722,14471753.688828,1.000000,0.000000,0.000000,0.000000
2026,38,91,39.218118,465.010665,1159.996437,1730.638974,2512.545890,5884188.200831,12078052.560000,1.000000,0.000000,0.000000,0.000000
2026,39,91,95.212006,403.249905,1096.231217,1759.133760,2591.980307,5662287.023768,11358680.937469,0.978022,0.000000,0.000000,0.000000
2026,40,91,57.006727,541.585304,1310.243707,1856.932099,2606.505530,5730950.840383,12071288.344171,0.967033,0.000000,0.000000,0.000000
2026,41,91,83.654921,545.866792,1372.342036,1892.071758,2774.828728,5614353.360000,11551000.807007,0.868132,0.000000,0.000000,0.000000
2026,42,91,71.948974,594.712688,1505.400310,2025.630891,2852.833403,5614353.360000,11999466.801245,0.879121,0.000000,0.000000,0.000000
2026,43,91,99.140276,811.125632,1530.517786,2124.981109,3031.501423,5283548.487625,11522974.396787,0.868132,0.000000,0.000000,0.000000
2026,44,91,165.065012,1036.241670,1623.082135,2163.266843,3292.610510,4922625.880711,11627556.492968,0.824176,0.000000,0.000000,0.000000
2026,45,91,141.526118,1171.958105,1753.344032,2294.606260,3396.127697,1652869.841014,7881377.616000,0.813187,0.000000,0.000000,0.000000
2026,46,91,234.315363,1157.153330,1708.869080,2355.250862,3549.067511,0.000000,6558684.048000,0.494505,0.000000,0.000000,0.000000
2026,47,91,239.282789,1214.533362,1782.756751,2389.098322,3609.802699,0.000000,8005922.064000,0.483516,0.000000,0.000000,0.000000
2026,48,91,412.369521,1283.812642,1921.824296,2647.940490,3722.301085,2406151.440000,9460311.749778,0.769231,0.000000,0.000000,0.000000
2026,49,91,546.010497,1363.206037,1998.680705,2719.482681,3787.016992,5614353.360000,11036882.083508,0.813187,0.000000,0.000000,0.000000
2026,50,91,641.030714,1589.359743,2096.414285,2717.449355,3827.094645,5614353.360000,10915772.216739,0.813187,0.000000,0.000000,0.000000
2026,51,91,767.766664,1666.377691,2300.504414,2817.868225,3841.920973,5614353.360000,9972282.960000,0.802198,0.000000,0.000000,0.000000
