point_of_connection,network,island,reconciled_injection_mwh
TKU2201,GENE,NI,662161.821
TMI0331,POCO,NI,1721.809
TMK0331,ALPE,SI,661.539
TMN0551,NZRN,NI,104.146
TMU0111,WAIP,NI,2698.688
TNG0551,NZRN,NI,116.3
TRK0111,HAWK,NI,483.157
TUI1101,EAST,NI,16996.674
TUI1101,GENE,NI,434064.017
TWC2201,TRPG,NI,413360.872
TWH0331,WAIK,NI,204238.894
TWZ0331,ALPE,SI,431.669
TWZ0331,WATA,SI,157.282
UHT0331,CKHK,NI,829.339
WAI0111,HEDL,NI,358.53
WAI0331,LODE,NI,30.355
WAI0501,HEDL,NI,19.392
WDV0111,SCAN,NI,64.147
WDV1101,MERI,NI,236337.589
WEL0331,UNET,NI,2180.126
WGN0331,POCO,NI,656.259
WHI2201,CTCT,NI,19053.075
WHU0331,POCO,NI,786.453
WIL0331,CKHK,NI,235108.213
WIR0331,VECT,NI,2213.481
WKM2201,MRPL,NI,492139.06
WKM2201,TUAR,NI,785062.102
WKO0331,POCO,NI,8159.68
WPA2201,MRPL,NI,221893.933
WPR0331,MPOW,SI,897.876
WPR0661,MPOW,SI,17913.563
WPW0331,CHBP,NI,1699.65
WRD0331,UNET,NI,996.102
WRK0331,HAWK,NI,425090.217
WRK2201,CTCT,NI,1080492.012
WTK0111,MERI,SI,481993.324
WTK0111,WATA,SI,672.65
WTU0331,HAWK,NI,3671.19
WVY0111,POCO,NI,100.238
WVY1101,WPWF,NI,446278.624
WWD1102,MERI,NI,433758.334
WWD1103,MERI,NI,38381.759
