Date,Time,Flow (m³/s),QualityCode
2018-04-06,23:59:59,9.487,325
2018-06-22,23:59:59,40.151,325
2018-12-12,23:59:59,8.107,325
2019-06-15,23:59:59,23.489,325
2019-08-30,23:59:59,8.813,325
2019-11-08,23:59:59,6.529,325
2020-06-02,23:59:59,24.858,325
2020-10-10,23:59:59,8.881,325
2021-03-03,23:59:59,1.691,325
2021-04-22,23:59:59,9.817,325
2022-05-24,23:59:59,5.512,325
2022-10-09,23:59:59,21.027,325
2022-12-22,23:59:59,34.663,325
2023-01-01,23:59:59,12.572,325
2023-10-21,23:59:59,4.341,325
2024-01-26,23:59:59,8.177,325
2024-04-12,23:59:59,26.279,325
2024-05-10,23:59:59,3.688,325
2024-07-22,23:59:59,34.552,325
2024-10-04,23:59:59,22.077,325
2024-10-07,23:59:59,42.806,325
1931-08-30,23:59:59,14.898,325
1931-11-02,23:59:59,3.745,325
1932-06-29,23:59:59,16.672,325
1933-03-05,23:59:59,14.904,325
1933-04-09,23:59:59,4.286,325
1933-05-26,23:59:59,74.798,325
1934-05-21,23:59:59,15.264,325
1934-07-10,23:59:59,37.361,325
1934-07-29,23:59:59,33.814,325
1934-10-12,23:59:59,15.139,325
1934-11-15,23:59:59,14.161,325
1935-10-22,23:59:59,5.467,325
1936-03-04,23:59:59,36.005,325
1936-05-17,23:59:59,10.190,325
1936-07-05,23:59:59,30.458,325
1937-12-24,23:59:59,5.905,325
1938-01-11,23:59:59,0.002,325
1938-03-18,23:59:59,1.141,325
1938-12-28,23:59:59,6.571,325
1939-11-03,23:59:59,3.354,325
1939-11-07,23:59:59,10.627,325
1940-04-03,23:59:59,6.179,325
1940-09-08,23:59:59,25.319,325
1941-08-09,23:59:59,65.115,325
1943-12-06,23:59:59,7.390,325
1944-01-08,23:59:59,6.769,325
1944-05-16,23:59:59,4.830,325
1944-07-24,23:59:59,75.724,325
1945-07-09,23:59:59,38.140,325
1945-07-31,23:59:59,7.901,325
1945-10-14,23:59:59,11.401,325
1945-12-03,23:59:59,0.194,325
1946-08-20,23:59:59,20.865,325
1946-10-07,23:59:59,33.349,325
1947-11-18,23:59:59,7.828,325
1948-06-01,23:59:59,27.865,325
1948-10-29,23:59:59,22.542,325
1949-07-02,23:59:59,21.115,325
1951-03-19,23:59:59,15.205,325
1951-05-14,23:59:59,20.207,325
1951-12-14,23:59:59,9.470,325
1952-03-22,23:59:59,0.031,325
1952-05-09,23:59:59,0.154,325
1952-11-27,23:59:59,45.368,325
1953-01-01,23:59:59,18.156,325
1953-12-22,23:59:59,0.017,325
1954-02-01,23:59:59,0.000,325
1955-09-15,23:59:59,17.647,325
1956-04-02,23:59:59,0.498,325
1957-01-16,23:59:59,4.036,325
1957-10-08,23:59:59,0.493,325
1958-02-14,23:59:59,0.001,325
1958-06-04,23:59:59,13.509,325
1958-08-13,23:59:59,22.853,325
1958-10-24,23:59:59,16.051,325
1959-02-22,23:59:59,15.891,325
1960-03-30,23:59:59,7.460,325
1961-07-02,23:59:59,5.349,325
1961-10-06,23:59:59,12.801,325
1962-01-28,23:59:59,8.054,325
1962-11-23,23:59:59,2.970,325
1963-10-26,23:59:59,9.736,325
1964-02-24,23:59:59,0.361,325
1965-04-19,23:59:59,10.023,325
1965-04-29,23:59:59,9.485,325
1965-07-04,23:59:59,44.954,325
1965-08-08,23:59:59,28.028,325
1968-01-30,23:59:59,10.035,325
1968-10-23,23:59:59,5.673,325
1970-04-05,23:59:59,23.021,325
1970-10-16,23:59:59,11.331,325
1971-03-22,23:59:59,13.929,325
1971-08-31,23:59:59,24.044,325
1971-12-09,23:59:59,25.326,325
1972-04-29,23:59:59,2.760,325
1972-08-10,23:59:59,20.745,325
1973-03-06,23:59:59,4.575,325
1974-01-12,23:59:59,14.288,325
1974-03-18,23:59:59,54.206,325
1974-09-11,23:59:59,35.361,325
1974-10-14,23:59:59,14.919,325
1974-11-13,23:59:59,7.977,325
1975-04-24,23:59:59,2.464,325
1975-10-17,23:59:59,52.717,325
1977-02-18,23:59:59,8.802,325
1977-06-23,23:59:59,72.568,325
1978-06-08,23:59:59,0.141,325
1978-11-22,23:59:59,8.618,325
1979-03-09,23:59:59,12.682,325
1979-03-18,23:59:59,50.088,325
1979-09-07,23:59:59,54.203,325
1980-07-27,23:59:59,24.285,325
1981-05-10,23:59:59,12.226,325
1981-10-27,23:59:59,22.252,325
1982-02-22,23:59:59,12.424,325
1982-06-26,23:59:59,32.485,325
1982-08-07,23:59:59,0.057,325
1982-09-01,23:59:59,0.000,325
1984-07-01,23:59:59,22.253,325
1984-08-21,23:59:59,12.431,325
1984-12-24,23:59:59,20.948,325
1985-07-11,23:59:59,3.389,325
1986-08-28,23:59:59,24.080,325
1986-12-14,23:59:59,16.332,325
1987-05-22,23:59:59,13.056,325
1988-01-04,23:59:59,54.494,325
1988-02-08,23:59:59,12.826,325
1989-10-16,23:59:59,31.344,325
1990-04-11,23:59:59,8.142,325
1990-06-04,23:59:59,5.305,325
1991-04-24,23:59:59,30.861,325
1991-08-02,23:59:59,7.662,325
1991-11-28,23:59:59,5.965,325
1992-02-22,23:59:59,12.042,325
1992-03-29,23:59:59,4.444,325
1992-08-27,23:59:59,21.018,325
1993-05-27,23:59:59,9.141,325
1994-01-21,23:59:59,0.563,325
1994-02-22,23:59:59,10.075,325
1994-03-03,23:59:59,0.005,325
1994-05-09,23:59:59,22.430,325
1994-09-10,23:59:59,5.679,325
1995-04-23,23:59:59,19.249,325
1995-12-16,23:59:59,2.684,325
1996-12-24,23:59:59,4.740,325
1997-05-21,23:59:59,1.969,325
1997-07-10,23:59:59,28.905,325
1997-07-29,23:59:59,7.322,325
1998-03-03,23:59:59,0.001,325
1998-04-04,23:59:59,0.002,325
1998-04-27,23:59:59,4.128,325
1998-05-12,23:59:59,4.172,325
1998-05-24,23:59:59,3.019,325
1999-08-28,23:59:59,9.146,325
1999-10-12,23:59:59,1.617,325
1999-11-13,23:59:59,33.547,325
2000-01-18,23:59:59,4.517,325
2000-05-09,23:59:59,13.062,325
2000-09-14,23:59:59,17.349,325
2000-10-01,23:59:59,45.729,325
2000-12-23,23:59:59,3.429,325
2001-02-22,23:59:59,16.446,325
2002-04-24,23:59:59,3.737,325
2003-12-11,23:59:59,31.344,325
2005-07-29,23:59:59,11.611,325
2006-03-15,23:59:59,0.000,325
2006-06-16,23:59:59,16.957,325
2007-10-02,23:59:59,16.462,325
2007-11-11,23:59:59,7.338,325
2007-12-04,23:59:59,0.158,325
2008-02-07,23:59:59,1.434,325
2009-04-11,23:59:59,0.741,325
2009-08-10,23:59:59,22.531,325
2010-02-18,23:59:59,7.244,325
2011-04-08,23:59:59,5.555,325
2011-12-23,23:59:59,7.263,325
2012-03-06,23:59:59,3.463,325
2013-04-27,23:59:59,1.292,325
2014-07-15,23:59:59,10.707,325
2014-12-19,23:59:59,11.801,325
2015-04-19,23:59:59,6.688,325
2015-06-05,23:59:59,20.163,325
2016-11-17,23:59:59,36.570,325
2016-11-29,23:59:59,7.878,325
