FileName,Description,PlantGroup,SiteCode,IslandCode,Island
NI_PRI_Spill_WaikaretehekeRiverAtPiripaua.csv,Waikareteheke River at Piripaua,Waikaremoana,PRI,NI,North Island
NI_TUI_Spill_WaikaretehekeRiverAtUpstreamMangaone.csv,Waikareteheke River at upstream Mangaone (Min flow from Waikaretaheke diversion gates),Waikaremoana,TUI,NI,North Island
NI_WKA_Spill_LakeWaikaremoanaAtOnepoto.csv,Waikaremoana dam spill at Onepoto,Waikaremoana,WKA,NI,North Island
NI_TPO_Spill_LakeTaupo.csv,Lake Taupo outflow/spill,Waikato river,TPO,NI,North Island
NI_ARA_Spill_LakeAratiatia.csv,Aratiatia spill,Waikato river,ARA,NI,North Island
NI_WKM_Spill_LakeWhakamaru.csv,Whakamaru spill,Waikato river,WKM,NI,North Island
NI_OHK_Spill_LakeOhakuri.csv,Ohakuri spill,Waikato river,OHK,NI,North Island
NI_ATI_Spill_LakeAtiamuri.csv,Atiamuri spill,Waikato river,ATI,NI,North Island
NI_MTI_Spill_LakeMaraetai.csv,Maraetai spill,Waikato river,MTI,NI,North Island
NI_WPA_Spill_LakeWaipapa.csv,Waipapa spill,Waikato river,WPA,NI,North Island
NI_ARI_Spill_LakeArapuni.csv,Arapuni spill,Waikato river,ARI,NI,North Island
NI_KPO_Spill_LakeKarapiro.csv,Karapiro spill,Waikato river,KPO,NI,North Island
SI_ROX_Spill_LakeRoxburgh.csv,Roxburgh spill,Clutha,ROX,SI,South Island
SI_CYD_Spill_ClydeDam.csv,Clyde dam spill,Clutha,CYD,SI,South Island
SI_HWE_Spill_LakeHawea.csv,Lake Hawea outflow/spill,Clutha,HWE,SI,South Island
SI_MAN_Spill_LakeManapouri.csv,Manapouri spill,Manapouri,MAN,SI,South Island
SI_TAU_Spill_LakeTeAnau.csv,Lake Te Anau outflow/spill,Manapouri,TAU,SI,South Island
SI_RTH_Spill_LakeRuataniwha.csv,Lake Ruataniwha to Benmore via Ohau River,Waitaki river,RTH,SI,South Island
SI_WTK_Spill_LakeWaitaki.csv,Lake Waitaki to Waitaki river,Waitaki river,WTK,SI,South Island
SI_AVI_Spill_LakeAviemore.csv,Lake Aviemore to Waitaki,Waitaki river,AVI,SI,South Island
SI_BEN_Spill_LakeBenmore.csv,Lake Benmore to Aviemore,Waitaki river,BEN,SI,South Island
SI_OHA_Spill_LakeOhau.csv,Lake Ohau to Ruataniwha via Ohau River,Waitaki river,OHA,SI,South Island
SI_PKI_Spill_LakePukaki.csv,Lake Pukaki to Benmore via Pukaki River,Waitaki river,PKI,SI,South Island
SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv,Lake George Scott to Benmore via Tekapo River,Waitaki river,TKA,SI,South Island
SI_TKA_Spill_LakeTekapoGate17.csv,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,Waitaki river,TKA,SI,South Island
