point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,95.998
ALB0331,UNET,NI,145.209
ALB1101,UNET,NI,37.878
ARA2201,MRPL,NI,35411.8
ARG1101,CNIR,SI,3471.63
ARI1101,MRPL,NI,43722.995
ARI1102,MRPL,NI,39065.946
ARI1102,POCO,NI,19.16
ASB0661,EASH,SI,14760.528
ASY0111,MPOW,SI,28.661
ATI2201,MRPL,NI,28432.401
AVI2201,MERI,SI,85319.356
BAL0331,OTPO,SI,1615.827
BEN2202,MERI,SI,205925.744
BLN0331,MARL,SI,1636.232
BOB1101,COUP,NI,4757.14
BPD1101,ALPE,SI,1.547
BPE0331,POCO,NI,6837.268
BPE0551,NZRN,NI,2.491
BRB0331,NPOW,NI,449.573
BRK0331,POCO,NI,32.712
BRY0661,ORON,SI,318.953
BWK1101,CNIR,SI,20653.969
CBG0111,WAIP,NI,121.686
CLH0111,ORON,SI,4.151
CML0331,DUNE,SI,2280.088
COL0661,CNIR,SI,12695.631
CPK0111,CKHK,NI,878.606
CPK0331,CKHK,NI,27.864
CST0331,POCO,NI,1773.115
CUL0331,MPOW,SI,9.198
CUL0661,MPOW,SI,8.025
CYD0331,DUNE,SI,14706.922
CYD2201,CTCT,SI,119559.976
DOB0331,WPOW,SI,2033.948
DVK0111,SCAN,NI,15.392
EDG0331,HEDL,NI,2930.775
EDN0331,TPCO,SI,0.548
FHL0331,HAWK,NI,97.124
FKN0331,DUNE,SI,955.361
FKN0331,LLNW,SI,14.38
GFD0331,CKHK,NI,100.991
GLN0332,COUP,NI,624.42
GLN0332,NZST,NI,52872.29
GOR0331,TPCO,SI,13570.755
GYM0661,WPOW,SI,4.007
GYT0331,POCO,NI,985.691
HAM0111,WAIK,NI,27.127
HAM0331,WAIK,NI,172.337
HAM0551,NZRN,NI,2.074
HAY0111,CKHK,NI,8.855
HAY0331,CKHK,NI,1425.789
HEN0331,UNET,NI,92.363
HEP0331,UNET,NI,64.035
HEP0331,VECT,NI,9.746
HIN0331,POCO,NI,30.099
HKK0661,WPOW,SI,4717.897
HLY0331,WAIK,NI,371.566
HLY2201,GENE,NI,560252.021
HOB1101,VECT,NI,14.517
HOR0331,ORON,SI,26.549
HOR0661,ORON,SI,2.324
HRP2201,MERI,NI,38070.838
HTI0331,LINE,NI,3682.83
HUI0331,POCO,NI,6556.341
HWA0331,POCO,NI,191.583
HWA1101,CNIR,NI,8871.487
HWA1101,TODD,NI,15360.694
HWA1102,TODD,NI,15504.795
HWB0331,DUNE,SI,24683.813
HWB0331,OTPO,SI,12.281
INV0331,ELIN,SI,11.472
INV0331,TPCO,SI,1496.681
ISL0331,ORON,SI,116.506
ISL0661,ORON,SI,637.778
JRD1101,TODD,NI,37096.503
KAI0111,MPOW,SI,57.118
KAW0111,HEDL,NI,13408.695
KAW0112,CHHE,NI,21987.086
KAW1101,KRGL,NI,78104.259
KBY0661,ORON,SI,3.904
KIK0111,TASM,SI,5.76
KIN0112,POCO,NI,24271.253
KIN0331,POCO,NI,16.166
KMO0331,POCO,NI,321.522
KOE1101,TOPE,NI,44738.889
KPA1101,KAPE,NI,10138.778
KPO1101,MRPL,NI,48154.86
KPU0661,POCO,NI,76.771
KUM0661,WPOW,SI,2082.795
KWA0111,CKHK,NI,3.214
LTN0331,POCO,NI,7034.892
LTN2201,MRPL,NI,51698.496
MAN2201,MERI,SI,290684.984
MAT1101,BOPD,NI,10603.904
MAT1101,CNIR,NI,20402.142
MCH0111,TASM,SI,770.671
MGM0331,POCO,NI,6.802
MHO0331,ELEC,NI,7964.592
MKE1101,TODD,NI,24525.413
MLG0111,CKHK,NI,7.187
MLG0331,CKHK,NI,12.723
MNG0331,VECT,NI,53.817
MPE1101,NPOW,NI,2022.063
MST0331,POCO,NI,355.097
MTI2201,MRPL,NI,86335.13
MTM0331,POCO,NI,323.696
MTN0331,POCO,NI,17.946
MTO0331,NPOW,NI,130.724
MTR0331,POCO,NI,3.271
NAP2201,NAPJ,NI,108216.038
NAP2202,MRPL,NI,64516.121
NMA0331,TPCO,SI,12971.736
NPK0331,LINE,NI,1.467
NSY0331,OTPO,SI,6990.745
NWD0661,ORON,SI,116.193
OAM0331,WATA,SI,32.045
OHA2201,MERI,SI,113810.934
OHB2201,MERI,SI,93211.622
OHC2201,MERI,SI,93296.636
OHK2201,MRPL,NI,40493.33
OKI2201,CTCT,NI,28007.702
OKN0111,LINE,NI,3.868
OKN0111,POCO,NI,251.309
ONG0331,LINE,NI,2723.49
OPK0331,POCO,NI,12.349
ORO1101,BUEL,SI,2.89
ORO1102,BUEL,SI,875.078
OTA0221,VECT,NI,136.189
OWH0111,HAWK,NI,22.633
PAK0331,VECT,NI,96.826
PAO1101,POCO,NI,30.237
PEN0221,VECT,NI,22.565
PEN0251,NZRN,NI,86.677
PEN0331,VECT,NI,117.123
PEN1101,VECT,NI,83.662
PNI0331,CKHK,NI,17.062
PPI2201,CTCT,NI,27629.336
PRM0331,ELEC,NI,119.256
RDF0331,HAWK,NI,2855.28
RFN1102,WPOW,SI,0.049
ROS0221,VECT,NI,60.01
ROS1101,VECT,NI,38.614
ROT0111,HAWK,NI,21.327
ROT0331,HAWK,NI,782.534
ROT1101,CNIR,NI,5805.377
ROX1101,CTCT,SI,51045.934
ROX2201,CTCT,SI,47146.015
RPO2201,GENE,NI,47879.11
SBK0661,MPOW,SI,146.467
SDN0331,DUNE,SI,16.32
SFD0331,POCO,NI,761.894
SFD2201,CTCT,NI,208259.503
STK0331,NELS,SI,36.246
STK0331,TASM,SI,284.315
STK0661,TASM,SI,16178.821
STU0111,ALPE,SI,8.199
SVL0331,UNET,NI,7585.085
SWN0251,NZRN,NI,134.061
TAB2201,CTCT,NI,100315.585
TAK0331,VECT,NI,2650.402
TGA0111,POCO,NI,45.196
TGA0331,POCO,NI,17054.974
THI2201,CTCT,NI,116835.44
TIM0111,ALPE,SI,41.243
TKA0111,GENE,SI,5825.525
TKA0331,ALPE,SI,4.471
TKB2201,GENE,SI,36669.793
TKR0331,CKHK,NI,60.494
TKU0331,GENE,NI,543.533
TKU0331,LINE,NI,8.504
TKU2201,GENE,NI,56574.989
TMI0331,POCO,NI,67.316
TMK0331,ALPE,SI,22.463
TMN0551,NZRN,NI,6.047
TMU0111,WAIP,NI,144.618
TNG0551,NZRN,NI,6.394
TRK0111,HAWK,NI,18.297
TUI1101,EAST,NI,1789.83
TUI1101,GENE,NI,72838.748
TWC2201,TRPG,NI,27145.894
TWH0331,WAIK,NI,16072.957
TWZ0331,ALPE,SI,11.692
TWZ0331,WATA,SI,19.015
UHT0331,CKHK,NI,23.239
WAI0111,HEDL,NI,15.42
WAI0501,HEDL,NI,1.116
WDV0111,SCAN,NI,4.169
WDV1101,MERI,NI,17637.232
WEL0331,UNET,NI,89.009
WGN0331,POCO,NI,22.053
WHI2201,CTCT,NI,151.076
WHU0331,POCO,NI,27.222
WIL0331,CKHK,NI,15264.72
WIR0331,VECT,NI,84.957
WKM2201,MRPL,NI,50936.92
WKM2201,TUAR,NI,69177.193
WKO0331,POCO,NI,751.385
WPA2201,MRPL,NI,22564.09
WPR0331,MPOW,SI,36.798
WPR0661,MPOW,SI,1466.414
WPW0331,CHBP,NI,63.378
WRD0331,UNET,NI,35.42
WRK0331,HAWK,NI,41766.892
WRK2201,CTCT,NI,97273.148
WTK0111,MERI,SI,44308.331
WTK0111,WATA,SI,43.987
WTU0331,HAWK,NI,125.98
WVY0111,POCO,NI,7.471
WVY1101,WPWF,NI,27775.231
WWD1102,MERI,NI,32700.759
