point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,689.249
ALB0331,UNET,NI,327.051
ALB1101,UNET,NI,94.533
ARA2201,MRPL,NI,27041.62
ARG1101,CNIR,SI,903.061
ARI1101,MRPL,NI,42556.965
ARI1102,MRPL,NI,23689.464
ARI1102,POCO,NI,38.392
ASB0661,EASH,SI,3581.054
ASY0111,MPOW,SI,63.614
ATI2201,MRPL,NI,22453.279
AVI2201,MERI,SI,67164.886
BAL0331,OTPO,SI,2355.899
BEN2202,MERI,SI,164610.088
BLN0331,MARL,SI,1280.598
BOB1101,COUP,NI,4803.106
BPD1101,ALPE,SI,6.214
BPE0331,POCO,NI,11123.972
BPE0551,NZRN,NI,1.103
BRB0331,NPOW,NI,124.768
BRK0331,POCO,NI,84.516
BRY0661,ORON,SI,520.742
BWK1101,CNIR,SI,4020.918
CBG0111,WAIP,NI,274.127
CLH0111,ORON,SI,9.837
CML0331,DUNE,SI,2502.475
COL0661,CNIR,SI,18650.244
CPK0111,CKHK,NI,994.351
CPK0331,CKHK,NI,109.408
CST0331,POCO,NI,1187.83
CUL0331,MPOW,SI,22.613
CUL0661,MPOW,SI,19.798
CYD0331,DUNE,SI,6170.617
CYD2201,CTCT,SI,124785.114
DOB0331,WPOW,SI,2478.735
DVK0111,SCAN,NI,47.765
EDG0331,HEDL,NI,2143.331
EDN0331,TPCO,SI,1.541
FHL0331,HAWK,NI,258.602
FKN0331,DUNE,SI,1527.424
FKN0331,LLNW,SI,45.465
GFD0331,CKHK,NI,206.424
GLN0332,COUP,NI,1103.644
GLN0332,NZST,NI,51440.484
GOR0331,TPCO,SI,15506.843
GYM0661,WPOW,SI,14.925
GYT0331,POCO,NI,1453.541
HAM0111,WAIK,NI,75.6
HAM0331,WAIK,NI,411.83
HAY0111,CKHK,NI,34.78
HAY0331,CKHK,NI,961.933
HEN0331,UNET,NI,232.878
HEP0331,UNET,NI,167.545
HEP0331,VECT,NI,27.733
HIN0331,POCO,NI,63.021
HKK0661,WPOW,SI,6041.216
HLY0331,WAIK,NI,273.762
HLY2201,GENE,NI,304397.35
HOB1101,VECT,NI,22.784
HOR0331,ORON,SI,58.642
HOR0661,ORON,SI,5.362
HRP2201,MERI,NI,21116.36
HTI0331,LINE,NI,1679.693
HUI0331,POCO,NI,810.319
HWA0331,POCO,NI,417.8
HWA1101,CNIR,NI,1992.22
HWA1101,TODD,NI,4673.292
HWA1102,TODD,NI,4639.538
HWB0331,DUNE,SI,13010.751
HWB0331,OTPO,SI,41.583
INV0331,ELIN,SI,44.676
INV0331,TPCO,SI,1899.589
ISL0331,ORON,SI,465.145
ISL0661,ORON,SI,1897.912
JRD1101,TODD,NI,24649.233
KAI0111,MPOW,SI,190.015
KAW0111,HEDL,NI,17436.632
KAW0112,CHHE,NI,19809.481
KAW1101,KRGL,NI,76781.361
KBY0661,ORON,SI,9.334
KIK0111,TASM,SI,13.414
KIN0112,POCO,NI,20752.849
KIN0331,POCO,NI,39.302
KMO0331,POCO,NI,438.809
KOE1101,TOPE,NI,45702.322
KPA1101,KAPE,NI,2447.253
KPO1101,MRPL,NI,39268.77
KPU0661,POCO,NI,198.883
KUM0661,WPOW,SI,3272.867
