point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,182.269
ALB0331,UNET,NI,189.162
ALB1101,UNET,NI,50.152
ARA2201,MRPL,NI,30499.27
ARG1101,CNIR,SI,1142.241
ARI1101,MRPL,NI,41079.222
ARI1102,MRPL,NI,33212.135
ARI1102,POCO,NI,21.878
ASB0661,EASH,SI,7311.515
ASY0111,MPOW,SI,33.304
ATI2201,MRPL,NI,25674.023
AVI2201,MERI,SI,88229.082
BAL0331,OTPO,SI,2678.532
BEN2202,MERI,SI,215854.686
BLN0331,MARL,SI,906.535
BOB1101,COUP,NI,5013.317
BPD1101,ALPE,SI,1.997
BPE0331,POCO,NI,7355.017
BPE0551,NZRN,NI,1.502
BRB0331,NPOW,NI,255.211
BRK0331,POCO,NI,38.593
BRY0661,ORON,SI,313.805
BWK1101,CNIR,SI,17228.855
CBG0111,WAIP,NI,180.464
CLH0111,ORON,SI,4.855
CML0331,DUNE,SI,2175.539
COL0661,CNIR,SI,24394.91
CPK0111,CKHK,NI,763.143
CPK0331,CKHK,NI,38.03
CST0331,POCO,NI,1612.19
CUL0331,MPOW,SI,11.184
CUL0661,MPOW,SI,12.074
CYD0331,DUNE,SI,9797.702
CYD2201,CTCT,SI,155460.997
DOB0331,WPOW,SI,2050.08
DVK0111,SCAN,NI,16.965
EDG0331,HEDL,NI,3425.085
EDN0331,TPCO,SI,0.753
FHL0331,HAWK,NI,121.517
FKN0331,DUNE,SI,1119.436
FKN0331,LLNW,SI,18.881
GFD0331,CKHK,NI,87.861
GLN0332,COUP,NI,738.172
GLN0332,NZST,NI,56592.68
GOR0331,TPCO,SI,17308.802
GYM0661,WPOW,SI,4.298
GYT0331,POCO,NI,754.703
HAM0111,WAIK,NI,39.344
HAM0331,WAIK,NI,241.996
HAM0551,NZRN,NI,1.707
HAY0111,CKHK,NI,13.065
HAY0331,CKHK,NI,526.378
HEN0331,UNET,NI,127.209
HEP0331,UNET,NI,88.52
HEP0331,VECT,NI,16.158
HIN0331,POCO,NI,40.873
HKK0661,WPOW,SI,4129.259
HLY0331,WAIK,NI,298.556
HLY2201,GENE,NI,466728.037
HOB1101,VECT,NI,13.585
HOR0331,ORON,SI,30.736
HOR0661,ORON,SI,2.537
HRP2201,MERI,NI,25026.279
HTI0331,LINE,NI,2452.988
HUI0331,POCO,NI,2913.469
HWA0331,POCO,NI,232.324
HWA1101,CNIR,NI,4225.376
HWA1101,TODD,NI,12296.688
HWA1102,TODD,NI,12318.785
HWB0331,DUNE,SI,22895.065
HWB0331,OTPO,SI,15.611
INV0331,ELIN,SI,14.736
INV0331,TPCO,SI,2146.725
ISL0331,ORON,SI,293.599
ISL0661,ORON,SI,881.282
JRD1101,TODD,NI,42839.356
KAI0111,MPOW,SI,80.125
KAW0111,HEDL,NI,17264.877
KAW0112,CHHE,NI,21481.573
KAW1101,KRGL,NI,56747.335
KBY0661,ORON,SI,4.369
KIK0111,TASM,SI,6.508
KIN0112,POCO,NI,18664.309
KIN0331,POCO,NI,20.225
KMO0331,POCO,NI,341.887
KOE1101,TOPE,NI,45511.291
KPA1101,KAPE,NI,4114.017
KPO1101,MRPL,NI,43454.7
KPU0661,POCO,NI,105.658
KUM0661,WPOW,SI,1975.5
KWA0111,CKHK,NI,22.545
LTN0331,POCO,NI,7357.157
LTN2201,MRPL,NI,50546.778
MAN2201,MERI,SI,456283.259
MAT1101,BOPD,NI,8200.198
MAT1101,CNIR,NI,15340.123
MCH0111,TASM,SI,369.6
MGM0331,POCO,NI,7.722
MHO0331,ELEC,NI,7645.879
MKE1101,TODD,NI,11048.009
MLG0111,CKHK,NI,10.876
MLG0331,CKHK,NI,18.985
MNG0331,VECT,NI,75.007
MPE1101,NPOW,NI,1079.75
MST0331,POCO,NI,415.681
MTI2201,MRPL,NI,78819.92
MTM0331,POCO,NI,485.394
MTN0331,POCO,NI,19.16
MTO0331,NPOW,NI,87.018
MTR0331,POCO,NI,2.649
NAP2201,NAPJ,NI,106710.341
NAP2202,MRPL,NI,64337.489
NMA0331,TPCO,SI,13981.256
NPK0331,LINE,NI,2.43
NSY0331,OTPO,SI,1060.471
NWD0661,ORON,SI,50.734
OAM0331,WATA,SI,34.307
OHA2201,MERI,SI,119499.68
OHB2201,MERI,SI,99489.335
OHC2201,MERI,SI,99316.954
OHK2201,MRPL,NI,36602.26
OKI2201,CTCT,NI,24912.39
OKN0111,LINE,NI,5.119
OKN0111,POCO,NI,175.438
ONG0331,LINE,NI,2031.693
OPK0331,POCO,NI,12.758
ORO1101,BUEL,SI,1.872
ORO1102,BUEL,SI,656.801
OTA0221,VECT,NI,160.142
OWH0111,HAWK,NI,26.444
PAK0331,VECT,NI,132.568
PAO1101,POCO,NI,45.064
PEN0221,VECT,NI,33.104
PEN0251,NZRN,NI,77.93
PEN0331,VECT,NI,158.611
PEN1101,VECT,NI,92.271
PNI0331,CKHK,NI,22.91
PPI2201,CTCT,NI,26707.663
PRM0331,ELEC,NI,163.92
RDF0331,HAWK,NI,431.152
RFN1102,WPOW,SI,0.087
ROS0221,VECT,NI,75.434
ROS1101,VECT,NI,46.828
ROT0111,HAWK,NI,26.923
ROT0331,HAWK,NI,840.649
ROT1101,CNIR,NI,4918.171
ROX1101,CTCT,SI,36596.054
ROX2201,CTCT,SI,85723.448
RPO2201,GENE,NI,42133.705
SBK0661,MPOW,SI,187.629
SDN0331,DUNE,SI,16.678
SFD0331,POCO,NI,1597.669
SFD2201,CTCT,NI,141149.505
STK0331,NELS,SI,45.752
STK0331,TASM,SI,349.635
STK0661,TASM,SI,6799.119
STU0111,ALPE,SI,9.33
SVL0331,UNET,NI,7616.03
SWN0251,NZRN,NI,138.756
TAB2201,CTCT,NI,33481.562
TAK0331,VECT,NI,3489.68
TGA0111,POCO,NI,65.816
TGA0331,POCO,NI,16347.457
THI2201,CTCT,NI,121122.49
