point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,987.386
ALB0331,UNET,NI,296.186
ALB1101,UNET,NI,84.941
ARA2201,MRPL,NI,19464.13
ARG1101,CNIR,SI,4380.323
ARI1101,MRPL,NI,35245.233
ARI1102,MRPL,NI,21761.258
ARI1102,POCO,NI,37.197
ASB0661,EASH,SI,15816.768
ASY0111,MPOW,SI,78.291
ATI2201,MRPL,NI,17295.134
AVI2201,MERI,SI,66146.776
BAL0331,OTPO,SI,2478.215
BEN2202,MERI,SI,150926.269
BLN0331,MARL,SI,2129.864
BOB1101,COUP,NI,4766.184
BPD1101,ALPE,SI,3.477
BPE0331,POCO,NI,13509.156
BPE0551,NZRN,NI,6.678
BRB0331,NPOW,NI,125.104
BRK0331,POCO,NI,80.091
BRY0661,ORON,SI,688.632
BWK1101,CNIR,SI,2103.393
CBG0111,WAIP,NI,254.345
CLH0111,ORON,SI,7.408
CML0331,DUNE,SI,3447.248
COL0661,CNIR,SI,15523.575
CPK0111,CKHK,NI,995.567
CPK0331,CKHK,NI,91.781
CST0331,POCO,NI,2256.629
CUL0331,MPOW,SI,22.318
CUL0661,MPOW,SI,19.914
CYD0331,DUNE,SI,12075.335
CYD2201,CTCT,SI,236249.235
DOB0331,WPOW,SI,2321.209
DVK0111,SCAN,NI,37.705
EDG0331,HEDL,NI,4803.99
EDN0331,TPCO,SI,1.867
FHL0331,HAWK,NI,251.575
FKN0331,DUNE,SI,1464.547
FKN0331,LLNW,SI,38.469
GFD0331,CKHK,NI,154.252
GLN0332,COUP,NI,1234.561
GLN0332,NZST,NI,44471.009
GOR0331,TPCO,SI,15031.307
GYM0661,WPOW,SI,7.985
GYT0331,POCO,NI,1596.367
HAM0111,WAIK,NI,72.734
HAM0331,WAIK,NI,420.938
HAM0551,NZRN,NI,4.537
HAY0111,CKHK,NI,29.511
HAY0331,CKHK,NI,1502.986
HEN0331,UNET,NI,214.658
HEP0331,UNET,NI,153.481
HEP0331,VECT,NI,22.776
HIN0331,POCO,NI,69.072
HKK0661,WPOW,SI,8477.509
HLY0331,WAIK,NI,462.913
HLY2201,GENE,NI,234540.03
HOB1101,VECT,NI,20.16
HOR0331,ORON,SI,77.452
HOR0661,ORON,SI,6.242
HRP2201,MERI,NI,57124.688
HTI0331,LINE,NI,5469.563
HUI0331,POCO,NI,2341.531
HWA0331,POCO,NI,435.118
HWA1101,CNIR,NI,15951.115
HWA1101,TODD,NI,3764.617
HWA1102,TODD,NI,3457.565
HWB0331,DUNE,SI,14637.564
HWB0331,OTPO,SI,31.786
INV0331,ELIN,SI,30.396
INV0331,TPCO,SI,2752.128
ISL0331,ORON,SI,368.129
ISL0661,ORON,SI,2020.531
JRD1101,TODD,NI,4340.234
KAI0111,MPOW,SI,196.744
KAW0111,HEDL,NI,17261.82
KAW0112,CHHE,NI,19879.322
KAW1101,KRGL,NI,72595.188
KBY0661,ORON,SI,13.472
KIK0111,TASM,SI,11.749
KIN0112,POCO,NI,20433.699
KIN0331,POCO,NI,30.712
KMO0331,POCO,NI,424.696
KOE1101,TOPE,NI,43746.705
KPA1101,KAPE,NI,2079.197
KPO1101,MRPL,NI,34880.97
KPU0661,POCO,NI,190.946
KUM0661,WPOW,SI,5155.69
KWA0111,CKHK,NI,12.255
LTN0331,POCO,NI,13307.68
LTN2201,MRPL,NI,80510.721
MAN2201,MERI,SI,434714.274
MAT1101,BOPD,NI,12434.926
MAT1101,CNIR,NI,22931.219
MCH0111,TASM,SI,3141.639
MGM0331,POCO,NI,16.322
MHO0331,ELEC,NI,12517.678
MKE1101,TODD,NI,861.247
MLG0111,CKHK,NI,23.378
MLG0331,CKHK,NI,41.591
MNG0331,VECT,NI,152.278
MPE1101,NPOW,NI,2237.806
MST0331,POCO,NI,505.712
MTI2201,MRPL,NI,55405.0
MTM0331,POCO,NI,383.943
MTN0331,POCO,NI,62.884
MTO0331,NPOW,NI,575.229
MTR0331,POCO,NI,6.668
NAP2201,NAPJ,NI,103511.238
NAP2202,MRPL,NI,58579.649
NMA0331,TPCO,SI,21796.843
NPK0331,LINE,NI,2.542
NSY0331,OTPO,SI,8053.997
NWD0661,ORON,SI,75.142
OAM0331,WATA,SI,80.184
OHA2201,MERI,SI,51403.599
OHB2201,MERI,SI,43696.582
OHC2201,MERI,SI,43173.909
OHK2201,MRPL,NI,23882.97
OKI2201,CTCT,NI,26404.757
OKN0111,LINE,NI,6.32
OKN0111,POCO,NI,272.573
ONG0331,LINE,NI,3119.086
OPK0331,POCO,NI,21.888
ORO1101,BUEL,SI,4.409
ORO1102,BUEL,SI,2300.29
OTA0221,VECT,NI,180.888
OWH0111,HAWK,NI,44.037
PAK0331,VECT,NI,238.185
PAO1101,POCO,NI,70.366
PEN0221,VECT,NI,59.881
PEN0251,NZRN,NI,82.547
PEN0331,VECT,NI,260.765
PEN1101,VECT,NI,93.481
PNI0331,CKHK,NI,47.231
PPI2201,CTCT,NI,21819.909
PRM0331,ELEC,NI,283.226
RDF0331,HAWK,NI,2082.809
RFN1101,WPOW,SI,0.36
RFN1102,WPOW,SI,0.178
ROS0221,VECT,NI,134.523
ROS1101,VECT,NI,82.203
ROT0111,HAWK,NI,49.133
ROT0331,HAWK,NI,335.308
ROT1101,CNIR,NI,8999.838
ROX1101,CTCT,SI,68188.505
ROX2201,CTCT,SI,93760.506
RPO2201,GENE,NI,47427.821
SBK0661,MPOW,SI,393.411
SDN0331,DUNE,SI,43.641
SFD0331,POCO,NI,529.978
SFD2201,CTCT,NI,26347.15
STK0331,NELS,SI,90.34
STK0331,TASM,SI,695.005
STK0661,TASM,SI,9053.51
STU0111,ALPE,SI,19.895
SVL0331,UNET,NI,7781.053
SWN0251,NZRN,NI,118.912
TAB2201,CTCT,NI,107724.907
TAK0331,VECT,NI,3122.632
TGA0111,POCO,NI,93.231
TGA0331,POCO,NI,14624.998
THI2201,CTCT,NI,92787.713
TIM0111,ALPE,SI,133.52
TKA0111,GENE,SI,7628.276
TKA0331,ALPE,SI,8.083
TKB2201,GENE,SI,54092.6
TKR0331,CKHK,NI,168.009
TKU0331,GENE,NI,446.026
TKU0331,LINE,NI,16.71
TKU2201,GENE,NI,77002.219
TMI0331,POCO,NI,144.273
TMK0331,ALPE,SI,64.079
TMN0551,NZRN,NI,15.188
TMU0111,WAIP,NI,210.454
TNG0551,NZRN,NI,16.466
TRK0111,HAWK,NI,39.942
TUI1101,EAST,NI,1452.889
TUI1101,GENE,NI,39071.201
TWC2201,TRPG,NI,45972.132
TWH0331,WAIK,NI,24311.708
TWZ0331,ALPE,SI,35.243
TWZ0331,WATA,SI,18.616
UHT0331,CKHK,NI,61.657
WAI0111,HEDL,NI,31.114
WAI0501,HEDL,NI,2.16
WDV0111,SCAN,NI,5.683
WDV1101,MERI,NI,22684.405
WEL0331,UNET,NI,184.12
WGN0331,POCO,NI,54.318
WHI2201,CTCT,NI,140.921
WHU0331,POCO,NI,56.702
WIL0331,CKHK,NI,22459.422
WIR0331,VECT,NI,188.241
WKM2201,MRPL,NI,31802.71
WKM2201,TUAR,NI,74086.884
WKO0331,POCO,NI,1138.954
WPA2201,MRPL,NI,15496.29
WPR0331,MPOW,SI,85.58
WPR0661,MPOW,SI,1612.943
WPW0331,CHBP,NI,151.545
WRD0331,UNET,NI,78.68
WRK0331,HAWK,NI,40472.719
WRK2201,CTCT,NI,94060.542
WTK0111,MERI,SI,34456.816
WTK0111,WATA,SI,75.528
WTU0331,HAWK,NI,356.882
WVY0111,POCO,NI,5.369
WVY1101,WPWF,NI,48239.363
WWD1102,MERI,NI,41112.235
