point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,468.576
ALB0331,UNET,NI,390.315
ALB1101,UNET,NI,118.274
ARA2201,MRPL,NI,30271.64
ARG1101,CNIR,SI,1513.708
ARI1101,MRPL,NI,43467.684
ARI1102,MRPL,NI,27433.981
ARI1102,POCO,NI,47.128
ASB0661,EASH,SI,1834.445
ASY0111,MPOW,SI,73.249
ATI2201,MRPL,NI,24816.764
AVI2201,MERI,SI,78390.734
BAL0331,OTPO,SI,1475.686
BEN2202,MERI,SI,194484.169
BLN0331,MARL,SI,1488.621
BOB0331,COUP,NI,43.674
BOB1101,COUP,NI,4516.884
BPD1101,ALPE,SI,7.111
BPE0331,POCO,NI,10289.167
BPE0551,NZRN,NI,0.152
BRB0331,NPOW,NI,205.668
BRK0331,POCO,NI,113.438
BRY0661,ORON,SI,727.027
BWK1101,CNIR,SI,4314.292
CBG0111,WAIP,NI,334.727
CLH0111,ORON,SI,10.497
CML0331,DUNE,SI,2580.583
COL0661,CNIR,SI,23029.083
CPK0111,CKHK,NI,948.676
CPK0331,CKHK,NI,141.165
CST0331,POCO,NI,1195.19
CUL0331,MPOW,SI,25.603
CUL0661,MPOW,SI,23.773
CYD0331,DUNE,SI,7176.607
CYD2201,CTCT,SI,170467.622
DOB0331,WPOW,SI,2374.831
DVK0111,SCAN,NI,61.337
EDG0331,HEDL,NI,364.004
EDN0331,TPCO,SI,2.234
FHL0331,HAWK,NI,300.111
FKN0331,DUNE,SI,1362.245
FKN0331,LLNW,SI,58.438
GFD0331,CKHK,NI,204.474
GLN0332,COUP,NI,979.075
GLN0332,NZST,NI,45646.232
GOR0331,TPCO,SI,11233.452
GYM0661,WPOW,SI,12.016
GYT0331,POCO,NI,1565.416
HAM0111,WAIK,NI,87.373
HAM0331,WAIK,NI,488.702
HAM0551,NZRN,NI,0.081
HAY0111,CKHK,NI,41.928
HAY0331,CKHK,NI,936.781
HEN0331,UNET,NI,291.513
HEP0331,UNET,NI,224.472
HEP0331,VECT,NI,28.887
HIN0331,POCO,NI,68.555
HKK0661,WPOW,SI,7054.716
HLY0331,WAIK,NI,374.0
HLY2201,GENE,NI,203067.535
HOB1101,VECT,NI,26.557
HOR0331,ORON,SI,63.623
HOR0661,ORON,SI,6.132
HRP2201,MERI,NI,12036.578
HTI0331,LINE,NI,1627.677
HUI0331,POCO,NI,932.465
HWA0331,POCO,NI,489.54
HWA1101,CNIR,NI,2233.759
HWA1101,TODD,NI,3603.529
HWA1102,TODD,NI,3551.007
HWB0331,DUNE,SI,10905.141
HWB0331,OTPO,SI,45.784
INV0331,ELIN,SI,55.0
INV0331,TPCO,SI,1659.482
ISL0331,ORON,SI,545.583
ISL0661,ORON,SI,2015.986
JRD1101,TODD,NI,12523.294
KAI0111,MPOW,SI,219.591
KAW0111,HEDL,NI,15287.128
KAW0112,CHHE,NI,13820.246
KAW1101,KRGL,NI,68272.358
KBY0661,ORON,SI,9.94
KIK0111,TASM,SI,14.036
KIN0112,POCO,NI,20981.152
KIN0331,POCO,NI,46.685
KMO0331,POCO,NI,461.638
KOE1101,TOPE,NI,42070.495
KPA1101,KAPE,NI,4342.807
KPO1101,MRPL,NI,41710.23
KPU0661,POCO,NI,238.583
KUM0661,WPOW,SI,2552.603
KWA0111,CKHK,NI,27.886
LTN0331,POCO,NI,10549.224
LTN2201,MRPL,NI,71272.413
MAN2201,MERI,SI,349546.874
MAT1101,BOPD,NI,9031.901
MAT1101,CNIR,NI,17152.929
MCH0111,TASM,SI,1035.659
MGM0331,POCO,NI,23.638
MHO0331,ELEC,NI,5386.546
MKE1101,TODD,NI,5032.78
MLG0111,CKHK,NI,40.756
MLG0331,CKHK,NI,55.037
MNG0331,VECT,NI,219.504
MPE1101,NPOW,NI,1137.171
MST0331,POCO,NI,524.074
MTI2201,MRPL,NI,76353.32
MTM0331,POCO,NI,422.349
MTN0331,POCO,NI,55.324
MTO0331,NPOW,NI,180.698
MTR0331,POCO,NI,6.596
NAP2201,NAPJ,NI,100976.165
NAP2202,MRPL,NI,57808.909
NMA0331,TPCO,SI,15459.076
NPK0331,LINE,NI,4.905
NSY0331,OTPO,SI,3379.555
NWD0661,ORON,SI,46.348
OAM0331,WATA,SI,69.339
OHA2201,MERI,SI,112851.421
OHB2201,MERI,SI,93682.042
OHC2201,MERI,SI,93166.621
OHK2201,MRPL,NI,34193.61
OKI2201,CTCT,NI,26673.002
OKN0111,LINE,NI,11.995
OKN0111,POCO,NI,150.655
ONG0331,LINE,NI,2716.391
OPK0331,POCO,NI,31.219
ORO1101,BUEL,SI,6.092
ORO1102,BUEL,SI,786.177
OTA0221,VECT,NI,188.297
OWH0111,HAWK,NI,51.91
PAK0331,VECT,NI,298.703
PAO1101,POCO,NI,85.209
PEN0221,VECT,NI,74.197
PEN0251,NZRN,NI,60.935
PEN0331,VECT,NI,358.924
PEN1101,VECT,NI,100.123
PNI0331,CKHK,NI,69.496
PPI2201,CTCT,NI,5484.557
PRM0331,ELEC,NI,414.46
RDF0331,HAWK,NI,1007.641
RFN1102,WPOW,SI,0.397
ROS0221,VECT,NI,174.388
ROS1101,VECT,NI,115.65
ROT0111,HAWK,NI,61.23
ROT0331,HAWK,NI,624.843
ROT1101,CNIR,NI,7024.323
ROX1101,CTCT,SI,31237.101
ROX2201,CTCT,SI,101535.211
RPO2201,GENE,NI,41712.483
SBK0661,MPOW,SI,451.323
SDN0331,DUNE,SI,52.516
SFD0331,POCO,NI,648.269
SFD2201,CTCT,NI,106602.17
STK0331,NELS,SI,133.027
STK0331,TASM,SI,916.127
