point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,148.272
ALB0331,UNET,NI,213.074
ALB1101,UNET,NI,50.95
ARA2201,MRPL,NI,24205.7
ARG1101,CNIR,SI,5209.694
ARI1101,MRPL,NI,39014.498
ARI1102,MRPL,NI,29388.305
ARI1102,POCO,NI,24.17
ASB0661,EASH,SI,16959.841
ASY0111,MPOW,SI,49.486
ATI2201,MRPL,NI,21663.727
AVI2201,MERI,SI,59709.839
BAL0331,OTPO,SI,1780.156
BEN2202,MERI,SI,141165.15
BLN0331,MARL,SI,2216.781
BOB1101,COUP,NI,5637.047
BPD1101,ALPE,SI,2.375
BPE0331,POCO,NI,10496.899
BPE0551,NZRN,NI,9.097
BRB0331,NPOW,NI,1222.672
BRK0331,POCO,NI,46.125
BRY0661,ORON,SI,507.271
BWK1101,CNIR,SI,15747.133
CBG0111,WAIP,NI,211.126
CLH0111,ORON,SI,3.467
CML0331,DUNE,SI,2843.794
COL0661,CNIR,SI,13780.051
CPK0111,CKHK,NI,879.246
CPK0331,CKHK,NI,48.726
CST0331,POCO,NI,2159.471
CUL0331,MPOW,SI,14.263
CUL0661,MPOW,SI,14.043
CYD0331,DUNE,SI,12761.663
CYD2201,CTCT,SI,102018.476
DOB0331,WPOW,SI,2488.924
DVK0111,SCAN,NI,21.777
EDG0331,HEDL,NI,3396.632
EDN0331,TPCO,SI,0.931
FHL0331,HAWK,NI,163.642
FKN0331,DUNE,SI,1007.194
FKN0331,LLNW,SI,27.362
GFD0331,CKHK,NI,109.638
GLN0332,COUP,NI,996.08
GLN0332,NZST,NI,54055.862
GOR0331,TPCO,SI,13529.51
GYM0661,WPOW,SI,5.328
GYT0331,POCO,NI,1666.558
HAM0111,WAIK,NI,40.06
HAM0331,WAIK,NI,247.39
HAM0551,NZRN,NI,7.331
HAY0111,CKHK,NI,15.425
HAY0331,CKHK,NI,1552.175
HEN0331,UNET,NI,125.511
HEP0331,UNET,NI,91.341
HEP0331,VECT,NI,12.154
HIN0331,POCO,NI,44.567
HKK0661,WPOW,SI,6152.406
HLY0331,WAIK,NI,431.638
HLY2201,GENE,NI,486982.885
HOB1101,VECT,NI,21.508
HOR0331,ORON,SI,51.604
HOR0661,ORON,SI,3.98
HRP2201,MERI,NI,62842.854
HTI0331,LINE,NI,4090.013
HUI0331,POCO,NI,4575.55
HWA0331,POCO,NI,296.881
HWA1101,CNIR,NI,14642.43
HWA1101,TODD,NI,8454.546
HWA1102,TODD,NI,8473.375
HWB0331,DUNE,SI,19349.006
HWB0331,OTPO,SI,24.054
INV0331,ELIN,SI,21.956
INV0331,TPCO,SI,1889.998
ISL0331,ORON,SI,190.596
ISL0661,ORON,SI,1217.416
JRD1101,TODD,NI,51285.329
KAI0111,MPOW,SI,109.609
KAW0111,HEDL,NI,15385.457
KAW0112,CHHE,NI,20910.261
KAW1101,KRGL,NI,75878.156
KBY0661,ORON,SI,8.616
KIK0111,TASM,SI,7.298
KIN0112,POCO,NI,21698.042
KIN0331,POCO,NI,16.639
KMO0331,POCO,NI,355.119
KOE1101,TOPE,NI,45671.338
KPA1101,KAPE,NI,7767.081
KPO1101,MRPL,NI,39754.42
KPU0661,POCO,NI,111.442
KUM0661,WPOW,SI,2988.389
KWA0111,CKHK,NI,5.23
LTN0331,POCO,NI,10660.073
LTN2201,MRPL,NI,75700.38
MAN2201,MERI,SI,358841.812
MAT1101,BOPD,NI,12506.855
MAT1101,CNIR,NI,24824.033
MCH0111,TASM,SI,1981.341
MGM0331,POCO,NI,9.877
MHO0331,ELEC,NI,12149.973
MKE1101,TODD,NI,21716.95
MLG0111,CKHK,NI,12.099
MLG0331,CKHK,NI,20.632
MNG0331,VECT,NI,94.073
MPE1101,NPOW,NI,2300.949
MST0331,POCO,NI,444.355
MTI2201,MRPL,NI,69321.65
MTM0331,POCO,NI,300.985
MTN0331,POCO,NI,37.516
MTO0331,NPOW,NI,193.659
MTR0331,POCO,NI,4.765
NAP2201,NAPJ,NI,108028.397
NAP2202,MRPL,NI,64182.652
NMA0331,TPCO,SI,21952.269
NPK0331,LINE,NI,1.111
NSY0331,OTPO,SI,8252.455
NWD0661,ORON,SI,96.017
OAM0331,WATA,SI,55.996
OHA2201,MERI,SI,68551.316
OHB2201,MERI,SI,57067.712
OHC2201,MERI,SI,56718.985
OHK2201,MRPL,NI,30608.13
OKI2201,CTCT,NI,27678.014
OKN0111,LINE,NI,4.454
OKN0111,POCO,NI,265.209
ONG0331,LINE,NI,2804.73
OPK0331,POCO,NI,13.939
ORO1101,BUEL,SI,2.545
ORO1102,BUEL,SI,1977.411
OTA0221,VECT,NI,160.037
OWH0111,HAWK,NI,27.504
PAK0331,VECT,NI,141.394
PAO1101,POCO,NI,45.304
PEN0221,VECT,NI,34.23
PEN0251,NZRN,NI,74.809
PEN0331,VECT,NI,165.615
PEN1101,VECT,NI,87.536
PNI0331,CKHK,NI,26.299
PPI2201,CTCT,NI,27403.891
PRM0331,ELEC,NI,168.462
RDF0331,HAWK,NI,2587.647
RFN1102,WPOW,SI,0.047
ROS0221,VECT,NI,84.697
ROS1101,VECT,NI,50.501
ROT0111,HAWK,NI,25.692
ROT0331,HAWK,NI,795.193
ROT1101,CNIR,NI,6711.491
ROX1101,CTCT,SI,27147.411
ROX2201,CTCT,SI,58305.275
RPO2201,GENE,NI,51798.463
SBK0661,MPOW,SI,245.028
SDN0331,DUNE,SI,33.997
SFD0331,POCO,NI,850.32
SFD2201,CTCT,NI,201608.904
STK0331,NELS,SI,51.442
STK0331,TASM,SI,416.442
