point_of_connection,network,island,reconciled_injection_mwh
TNG0551,NZRN,NI,29.82
TRK0111,HAWK,NI,52.753
TUI1101,EAST,NI,1909.585
TUI1101,GENE,NI,25006.297
TWC2201,TRPG,NI,35759.997
TWH0331,WAIK,NI,20236.191
TWZ0331,ALPE,SI,45.866
TWZ0331,WATA,SI,17.868
UHT0331,CKHK,NI,79.268
WAI0111,HEDL,NI,40.012
WAI0501,HEDL,NI,2.232
WDV0111,SCAN,NI,6.27
WDV1101,MERI,NI,19960.135
WEL0331,UNET,NI,237.692
WGN0331,POCO,NI,77.463
WHU0331,POCO,NI,95.698
WIL0331,CKHK,NI,22369.17
WIR0331,VECT,NI,241.974
WKM2201,MRPL,NI,38538.56
WKM2201,TUAR,NI,74437.561
WKO0331,POCO,NI,1179.729
WPA2201,MRPL,NI,18983.17
WPR0331,MPOW,SI,101.254
WPR0661,MPOW,SI,1760.619
WPW0331,CHBP,NI,208.824
WRD0331,UNET,NI,110.385
WRK0331,HAWK,NI,33433.154
WRK2201,CTCT,NI,90622.593
WTK0111,MERI,SI,41150.387
WTK0111,WATA,SI,89.812
WTU0331,HAWK,NI,496.83
WVY0111,POCO,NI,6.52
WVY1101,WPWF,NI,39397.11
WWD1102,MERI,NI,38659.593
WWD1103,MERI,NI,3906.06
