point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,1314.252
ALB0331,UNET,NI,443.874
ALB1101,UNET,NI,136.332
ARA2201,MRPL,NI,28439.39
ARG1101,CNIR,SI,2899.311
ARI1101,MRPL,NI,49434.563
ARI1102,MRPL,NI,23607.829
ARI1102,POCO,NI,56.832
ASB0661,EASH,SI,2365.992
ASY0111,MPOW,SI,93.074
ATI2201,MRPL,NI,24468.442
AVI2201,MERI,SI,84937.96
BAL0331,OTPO,SI,1605.647
BEN2202,MERI,SI,208754.859
BLN0331,MARL,SI,1979.434
BOB0331,COUP,NI,43.96
BOB1101,COUP,NI,5088.769
BPD1101,ALPE,SI,8.442
BPE0331,POCO,NI,8038.643
BRB0331,NPOW,NI,219.585
BRK0331,POCO,NI,126.505
BRY0661,ORON,SI,989.853
CBG0111,WAIP,NI,368.455
CLH0111,ORON,SI,12.087
CML0331,DUNE,SI,3067.376
COL0661,CNIR,SI,24312.099
CPK0111,CKHK,NI,1076.104
CPK0331,CKHK,NI,170.818
CST0331,POCO,NI,1757.648
CUL0331,MPOW,SI,29.144
CUL0661,MPOW,SI,28.454
CYD0331,DUNE,SI,9268.722
CYD2201,CTCT,SI,192148.879
DOB0331,WPOW,SI,2764.939
DVK0111,SCAN,NI,72.267
EDG0331,HEDL,NI,419.668
EDN0331,TPCO,SI,3.114
FHL0331,HAWK,NI,329.843
FKN0331,DUNE,SI,1546.821
FKN0331,LLNW,SI,61.562
GFD0331,CKHK,NI,284.504
GLN0332,COUP,NI,1033.301
GLN0332,NZST,NI,52418.996
GOR0331,TPCO,SI,14200.065
GYM0661,WPOW,SI,13.705
GYT0331,POCO,NI,1362.149
HAM0111,WAIK,NI,92.594
HAM0331,WAIK,NI,535.672
HAY0111,CKHK,NI,51.136
HAY0331,CKHK,NI,1013.085
HEN0331,UNET,NI,320.73
HEP0331,UNET,NI,248.168
HEP0331,VECT,NI,39.347
HIN0331,POCO,NI,73.778
HKK0661,WPOW,SI,7419.537
HLY0331,WAIK,NI,315.119
HLY2201,GENE,NI,178309.445
HOB1101,VECT,NI,29.406
HOR0331,ORON,SI,87.847
HOR0661,ORON,SI,8.29
HRP2201,MERI,NI,9251.954
HTI0331,LINE,NI,2977.244
HUI0331,POCO,NI,2733.543
HWA0331,POCO,NI,526.246
HWA1101,CNIR,NI,5241.525
HWA1101,TODD,NI,6278.018
HWA1102,TODD,NI,5999.849
HWB0331,DUNE,SI,8201.413
HWB0331,OTPO,SI,48.927
INV0331,ELIN,SI,67.437
INV0331,TPCO,SI,1928.133
ISL0331,ORON,SI,571.073
ISL0661,ORON,SI,2728.213
JRD1101,TODD,NI,21164.381
KAI0111,MPOW,SI,285.927
KAW0111,HEDL,NI,13942.575
KAW0112,CHHE,NI,18856.868
KAW1101,KRGL,NI,76241.816
KBY0661,ORON,SI,16.392
KIK0111,TASM,SI,14.465
KIN0112,POCO,NI,20403.343
KIN0331,POCO,NI,55.729
KMO0331,POCO,NI,486.822
KOE1101,TOPE,NI,43041.125
KPA1101,KAPE,NI,6764.833
KPO1101,MRPL,NI,43340.9
KPU0661,POCO,NI,258.078
KUM0661,WPOW,SI,4840.167
KWA0111,CKHK,NI,30.398
LTN0331,POCO,NI,8496.458
LTN2201,MRPL,NI,63400.327
MAN2201,MERI,SI,372520.188
MAT1101,BOPD,NI,11572.862
MAT1101,CNIR,NI,21931.481
