point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,7.861
ALB0331,UNET,NI,239.352
ALB1101,UNET,NI,67.853
ARA2201,MRPL,NI,26484.58
ARG1101,CNIR,SI,2329.143
ARI1101,MRPL,NI,40541.663
ARI1102,MRPL,NI,27383.916
ARI1102,POCO,NI,28.42
ASB0661,EASH,SI,11733.882
ASY0111,MPOW,SI,47.079
ATI2201,MRPL,NI,23350.866
AVI2201,MERI,SI,73786.176
BAL0331,OTPO,SI,1724.528
BEN2202,MERI,SI,178083.446
BLN0331,MARL,SI,1308.732
BOB1101,COUP,NI,4724.623
BPD1101,ALPE,SI,3.154
BPE0331,POCO,NI,7782.47
BPE0551,NZRN,NI,2.862
BRB0331,NPOW,NI,90.789
BRK0331,POCO,NI,58.882
BRY0661,ORON,SI,315.399
BWK1101,CNIR,SI,6545.681
CBG0111,WAIP,NI,216.836
CLH0111,ORON,SI,6.829
CML0331,DUNE,SI,2415.48
COL0661,CNIR,SI,22123.053
CPK0111,CKHK,NI,664.472
CPK0331,CKHK,NI,70.593
CST0331,POCO,NI,1710.981
CUL0331,MPOW,SI,15.131
CUL0661,MPOW,SI,14.368
CYD0331,DUNE,SI,8461.286
CYD2201,CTCT,SI,185987.414
DOB0331,WPOW,SI,2545.001
DVK0111,SCAN,NI,28.508
EDG0331,HEDL,NI,3322.966
EDN0331,TPCO,SI,1.22
FHL0331,HAWK,NI,187.217
FKN0331,DUNE,SI,1466.469
FKN0331,LLNW,SI,29.515
GFD0331,CKHK,NI,134.832
GLN0332,COUP,NI,822.062
GLN0332,NZST,NI,47973.403
GOR0331,TPCO,SI,12727.277
GYM0661,WPOW,SI,6.662
GYT0331,POCO,NI,1194.119
HAM0111,WAIK,NI,55.064
HAM0331,WAIK,NI,325.272
HAM0551,NZRN,NI,2.524
HAY0111,CKHK,NI,24.236
HAY0331,CKHK,NI,399.119
HEN0331,UNET,NI,158.742
HEP0331,UNET,NI,112.802
HEP0331,VECT,NI,18.062
HIN0331,POCO,NI,45.415
HKK0661,WPOW,SI,7209.639
HLY0331,WAIK,NI,285.941
HLY2201,GENE,NI,331692.019
HOB1101,VECT,NI,16.068
HOR0331,ORON,SI,40.569
HOR0661,ORON,SI,3.688
HRP2201,MERI,NI,20019.8
HTI0331,LINE,NI,2148.614
HUI0331,POCO,NI,2385.319
HWA0331,POCO,NI,324.3
HWA1101,CNIR,NI,8306.69
HWA1101,TODD,NI,5255.5
HWA1102,TODD,NI,7643.055
HWB0331,DUNE,SI,12377.173
HWB0331,OTPO,SI,25.177
INV0331,ELIN,SI,24.325
INV0331,TPCO,SI,1863.474
ISL0331,ORON,SI,322.517
ISL0661,ORON,SI,1332.809
JRD1101,TODD,NI,44398.035
KAI0111,MPOW,SI,121.091
KAW0111,HEDL,NI,14910.363
KAW0112,CHHE,NI,18387.077
KAW1101,KRGL,NI,72433.466
KBY0661,ORON,SI,6.721
KIK0111,TASM,SI,7.429
KIN0112,POCO,NI,21773.582
KIN0331,POCO,NI,25.637
KMO0331,POCO,NI,376.794
KOE1101,TOPE,NI,43971.471
KPA1101,KAPE,NI,1994.676
KPO1101,MRPL,NI,39896.43
KPU0661,POCO,NI,135.509
KUM0661,WPOW,SI,2966.673
KWA0111,CKHK,NI,23.041
LTN0331,POCO,NI,7970.34
LTN2201,MRPL,NI,53086.573
MAN2201,MERI,SI,413664.598
MAT1101,BOPD,NI,5772.222
MAT1101,CNIR,NI,16466.953
MCH0111,TASM,SI,911.178
MGM0331,POCO,NI,12.405
MHO0331,ELEC,NI,7970.038
MKE1101,TODD,NI,14303.352
MLG0111,CKHK,NI,20.047
MLG0331,CKHK,NI,30.765
MNG0331,VECT,NI,117.772
MPE1101,NPOW,NI,559.339
MST0331,POCO,NI,420.885
MTI2201,MRPL,NI,71340.82
MTM0331,POCO,NI,660.766
MTN0331,POCO,NI,24.497
MTO0331,NPOW,NI,102.818
MTR0331,POCO,NI,2.551
NAP2201,NAPJ,NI,104221.339
NAP2202,MRPL,NI,62005.683
NMA0331,TPCO,SI,17941.931
NPK0331,LINE,NI,2.789
NSY0331,OTPO,SI,2311.019
NWD0661,ORON,SI,37.134
OAM0331,WATA,SI,46.39
OHA2201,MERI,SI,91357.942
OHB2201,MERI,SI,76592.582
OHC2201,MERI,SI,75929.903
OHK2201,MRPL,NI,33436.71
OKI2201,CTCT,NI,25499.158
OKN0111,LINE,NI,7.288
OKN0111,POCO,NI,197.854
ONG0331,LINE,NI,2128.642
OPK0331,POCO,NI,19.541
ORO1101,BUEL,SI,4.125
ORO1102,BUEL,SI,1555.248
OTA0221,VECT,NI,159.322
OWH0111,HAWK,NI,35.955
PAK0331,VECT,NI,171.415
PAO1101,POCO,NI,55.285
PEN0221,VECT,NI,42.505
PEN0251,NZRN,NI,84.401
PEN0331,VECT,NI,195.061
PEN1101,VECT,NI,88.677
PNI0331,CKHK,NI,39.77
PPI2201,CTCT,NI,23699.812
PRM0331,ELEC,NI,247.015
RDF0331,HAWK,NI,564.428
