point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,2365.88
ALB0331,UNET,NI,598.924
ALB1101,UNET,NI,176.945
ARA2201,MRPL,NI,20469.87
ARG1101,CNIR,SI,1984.125
ARI1101,MRPL,NI,35898.782
ARI1102,MRPL,NI,18757.142
ARI1102,POCO,NI,70.193
ASB0661,EASH,SI,7418.902
ASY0111,MPOW,SI,125.235
ATI2201,MRPL,NI,16901.237
AVI2201,MERI,SI,89735.614
BAL0331,OTPO,SI,1452.314
BEN2202,MERI,SI,217776.596
BLN0331,MARL,SI,2635.674
BOB1101,COUP,NI,4912.843
BPD1101,ALPE,SI,6.012
BPE0331,POCO,NI,10801.092
BPE0551,NZRN,NI,2.858
BRB0331,NPOW,NI,200.144
BRK0331,POCO,NI,154.942
BRY0661,ORON,SI,1114.059
BWK1101,CNIR,SI,204.106
CBG0111,WAIP,NI,438.146
CLH0111,ORON,SI,11.478
CML0331,DUNE,SI,3867.208
COL0661,CNIR,SI,26334.689
CPK0111,CKHK,NI,768.486
CPK0331,CKHK,NI,193.867
CST0331,POCO,NI,1700.509
CUL0331,MPOW,SI,36.24
CUL0661,MPOW,SI,35.344
CYD0331,DUNE,SI,8487.124
CYD2201,CTCT,SI,205932.495
DOB0331,WPOW,SI,2500.03
DVK0111,SCAN,NI,85.843
EDG0331,HEDL,NI,6657.582
EDN0331,TPCO,SI,3.129
FHL0331,HAWK,NI,402.266
FKN0331,DUNE,SI,1940.27
FKN0331,LLNW,SI,91.734
GFD0331,CKHK,NI,249.488
GLN0332,COUP,NI,1211.458
GLN0332,NZST,NI,43341.871
GOR0331,TPCO,SI,10596.68
GYM0661,WPOW,SI,20.807
GYT0331,POCO,NI,1887.345
HAM0111,WAIK,NI,135.054
HAM0331,WAIK,NI,817.68
HAM0551,NZRN,NI,2.532
HAY0111,CKHK,NI,52.346
HAY0331,CKHK,NI,1389.677
HEN0331,UNET,NI,447.736
HEP0331,UNET,NI,333.955
HEP0331,VECT,NI,53.839
HIN0331,POCO,NI,133.652
HKK0661,WPOW,SI,8417.892
HLY0331,WAIK,NI,1148.828
HLY2201,GENE,NI,34247.931
HOB1101,VECT,NI,31.873
HOR0331,ORON,SI,106.119
HOR0661,ORON,SI,7.884
HRP2201,MERI,NI,50102.72
HTI0331,LINE,NI,1133.772
HUI0331,POCO,NI,1256.393
HWA0331,POCO,NI,531.97
HWA1101,CNIR,NI,2186.564
HWA1101,TODD,NI,1755.463
HWA1102,TODD,NI,1432.028
HWB0331,DUNE,SI,7986.865
HWB0331,OTPO,SI,52.191
INV0331,ELIN,SI,84.038
INV0331,TPCO,SI,1937.582
ISL0331,ORON,SI,668.462
ISL0661,ORON,SI,3272.296
JRD1101,TODD,NI,636.276
KAI0111,MPOW,SI,289.671
KAW0111,HEDL,NI,17348.702
KAW0112,CHHE,NI,22216.946
KAW1101,KRGL,NI,77431.861
KBY0661,ORON,SI,21.666
KIK0111,TASM,SI,23.28
KIN0112,POCO,NI,18218.647
KIN0331,POCO,NI,68.787
KMO0331,POCO,NI,578.515
KOE1101,TOPE,NI,41987.046
KPA1101,KAPE,NI,2885.059
KPO1101,MRPL,NI,33700.37
KPU0661,POCO,NI,351.88
KUM0661,WPOW,SI,4492.221
KWA0111,CKHK,NI,25.519
LTN0331,POCO,NI,9968.659
LTN2201,MRPL,NI,76421.742
MAN2201,MERI,SI,445754.532
MAT1101,BOPD,NI,9012.626
MAT1101,CNIR,NI,18713.959
MCH0111,TASM,SI,1051.019
MGM0331,POCO,NI,48.335
MHO0331,ELEC,NI,11255.65
MKE1101,TODD,NI,176.915
MLG0111,CKHK,NI,48.566
MLG0331,CKHK,NI,69.039
MNG0331,VECT,NI,314.853
MPE1101,NPOW,NI,1316.074
MST0331,POCO,NI,568.778
MTI2201,MRPL,NI,54830.14
MTM0331,POCO,NI,791.306
MTN0331,POCO,NI,84.948
MTO0331,NPOW,NI,1870.645
MTR0331,POCO,NI,11.623
