point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,3515.663
ALB0331,UNET,NI,492.915
ALB1101,UNET,NI,127.781
ARA2201,MRPL,NI,26178.143
ARG1101,CNIR,SI,3983.783
ARI1101,MRPL,NI,40446.782
ARI1102,MRPL,NI,24624.934
ARI1102,POCO,NI,58.747
ASB0661,EASH,SI,3602.969
ASY0111,MPOW,SI,118.032
ATI2201,MRPL,NI,21516.138
AVI2201,MERI,SI,89703.213
BAL0331,OTPO,SI,1681.059
BEN2202,MERI,SI,216166.217
BLN0331,MARL,SI,2956.025
BOB1101,COUP,NI,4587.387
BPD1101,ALPE,SI,5.43
BPE0331,POCO,NI,10366.301
BPE0551,NZRN,NI,7.559
BRB0331,NPOW,NI,161.373
BRK0331,POCO,NI,138.175
BRY0661,ORON,SI,1003.182
BWK1101,CNIR,SI,272.809
CBG0111,WAIP,NI,379.039
CLH0111,ORON,SI,11.065
CML0331,DUNE,SI,3777.9
COL0661,CNIR,SI,26239.158
CPK0111,CKHK,NI,1057.23
CPK0331,CKHK,NI,166.185
CST0331,POCO,NI,1946.399
CUL0331,MPOW,SI,34.744
CUL0661,MPOW,SI,33.489
CYD0331,DUNE,SI,11926.028
CYD2201,CTCT,SI,224858.927
DOB0331,WPOW,SI,941.858
DVK0111,SCAN,NI,54.526
EDG0331,HEDL,NI,5356.487
EDN0331,TPCO,SI,3.021
FHL0331,HAWK,NI,359.051
FKN0331,DUNE,SI,1828.117
FKN0331,LLNW,SI,88.538
GFD0331,CKHK,NI,270.307
GLN0332,COUP,NI,1217.396
GLN0332,NZST,NI,41825.596
GOR0331,TPCO,SI,9257.495
GYM0661,WPOW,SI,14.888
GYT0331,POCO,NI,1550.278
HAM0111,WAIK,NI,109.274
HAM0331,WAIK,NI,642.113
HAM0551,NZRN,NI,4.564
HAY0111,CKHK,NI,50.629
HAY0331,CKHK,NI,1121.111
HEN0331,UNET,NI,347.985
HEP0331,UNET,NI,249.674
HEP0331,VECT,NI,34.596
HIN0331,POCO,NI,109.543
HKK0661,WPOW,SI,7544.326
HLY0331,WAIK,NI,985.205
HLY2201,GENE,NI,40676.045
HOB1101,VECT,NI,26.082
HOR0331,ORON,SI,99.248
HOR0661,ORON,SI,8.034
HRP2201,MERI,NI,43094.816
HTI0331,LINE,NI,2348.392
HUI0331,POCO,NI,1961.471
HWA0331,POCO,NI,478.778
HWA1101,CNIR,NI,7155.513
HWA1101,TODD,NI,1211.068
HWA1102,TODD,NI,928.188
HWB0331,DUNE,SI,9795.188
HWB0331,OTPO,SI,50.528
INV0331,ELIN,SI,72.685
INV0331,TPCO,SI,2324.468
ISL0331,ORON,SI,737.11
ISL0661,ORON,SI,3124.875
KAI0111,MPOW,SI,279.874
KAW0111,HEDL,NI,17241.99
KAW0112,CHHE,NI,19633.21
KAW1101,KRGL,NI,75801.559
KBY0661,ORON,SI,17.238
KIK0111,TASM,SI,18.452
KIN0112,POCO,NI,21737.061
KIN0331,POCO,NI,54.346
KMO0331,POCO,NI,508.5
KOE1101,TOPE,NI,35929.99
KPA1101,KAPE,NI,2786.47
KPO1101,MRPL,NI,38252.24
KPU0661,POCO,NI,278.986
KUM0661,WPOW,SI,3892.248
KWA0111,CKHK,NI,21.507
LTN0331,POCO,NI,9905.475
LTN2201,MRPL,NI,70336.438
MAN2201,MERI,SI,447909.055
MAT1101,BOPD,NI,10051.629
MAT1101,CNIR,NI,20121.119
MCH0111,TASM,SI,2247.576
MGM0331,POCO,NI,43.531
MHO0331,ELEC,NI,11254.07
MKE1101,TODD,NI,174.847
MLG0111,CKHK,NI,43.898
MLG0331,CKHK,NI,68.186
MNG0331,VECT,NI,241.239
MPE1101,NPOW,NI,1604.298
MST0331,POCO,NI,568.534
MTI2201,MRPL,NI,67174.0
MTM0331,POCO,NI,886.901
MTN0331,POCO,NI,89.224
MTO0331,NPOW,NI,702.082
MTR0331,POCO,NI,10.033
NAP2201,NAPJ,NI,65164.05
NAP2202,MRPL,NI,56204.561
NMA0331,TPCO,SI,14219.49
NPK0331,LINE,NI,4.331
NSY0331,OTPO,SI,5083.671
NWD0661,ORON,SI,44.465
OAM0331,WATA,SI,123.875
OHA2201,MERI,SI,83968.985
OHB2201,MERI,SI,73083.763
OHC2201,MERI,SI,72878.979
OHK2201,MRPL,NI,30846.18
OKI2201,CTCT,NI,23130.093
OKN0111,LINE,NI,12.941
OKN0111,POCO,NI,180.464
ONG0331,LINE,NI,1993.759
OPK0331,POCO,NI,32.88
ORO1101,BUEL,SI,6.15
ORO1102,BUEL,SI,1882.027
OTA0221,VECT,NI,223.721
OWH0111,HAWK,NI,66.794
PAK0331,VECT,NI,337.046
PAO1101,POCO,NI,102.054
PEN0221,VECT,NI,82.188
PEN0251,NZRN,NI,95.953
PEN0331,VECT,NI,426.462
PEN1101,VECT,NI,105.337
PNI0331,CKHK,NI,84.157
PPI2201,CTCT,NI,26669.82
PRM0331,ELEC,NI,476.294
RDF0331,HAWK,NI,1827.933
RFN1101,WPOW,SI,0.36
RFN1102,WPOW,SI,0.407
ROS0221,VECT,NI,214.48
ROS1101,VECT,NI,135.36
ROT0111,HAWK,NI,77.537
ROT0331,HAWK,NI,647.065
ROT1101,CNIR,NI,7752.811
ROX1101,CTCT,SI,66597.327
ROX2201,CTCT,SI,99851.28
RPO2201,GENE,NI,48960.287
SBK0661,MPOW,SI,626.131
SDN0331,DUNE,SI,81.188
SFD0331,POCO,NI,249.767
SFD2201,CTCT,NI,20199.105
STK0331,NELS,SI,153.248
STK0331,TASM,SI,1110.872
STK0661,TASM,SI,13322.545
STU0111,ALPE,SI,26.584
SVL0331,UNET,NI,7833.109
SWN0251,NZRN,NI,123.31
TAB0331,HAWK,NI,6461.62
TAB2201,CTCT,NI,49522.741
TAK0331,VECT,NI,3773.879
TGA0111,POCO,NI,160.743
TGA0331,POCO,NI,13789.813
THI2201,CTCT,NI,116391.459
TIM0111,ALPE,SI,179.188
TKA0111,GENE,SI,11616.102
TKA0331,ALPE,SI,15.593
TKB2201,GENE,SI,104544.201
TKR0331,CKHK,NI,277.322
TKU0331,GENE,NI,468.806
TKU0331,LINE,NI,29.946
TKU2201,GENE,NI,68326.63
TMI0331,POCO,NI,225.548
TMK0331,ALPE,SI,84.491
TMN0551,NZRN,NI,14.816
TMU0111,WAIP,NI,312.122
TNG0551,NZRN,NI,19.052
TRK0111,HAWK,NI,61.329
TUI1101,EAST,NI,1097.541
TUI1101,GENE,NI,21909.075
TWC2201,TRPG,NI,38060.805
TWH0331,WAIK,NI,17246.412
TWZ0331,ALPE,SI,63.503
TWZ0331,WATA,SI,12.629
UHT0331,CKHK,NI,107.021
WAI0111,HEDL,NI,46.755
WAI0501,HEDL,NI,2.16
WDV0111,SCAN,NI,6.875
WDV1101,MERI,NI,21065.915
WEL0331,UNET,NI,262.59
WGN0331,POCO,NI,92.648
WHI2201,CTCT,NI,22.008
WHU0331,POCO,NI,94.918
WIL0331,CKHK,NI,22597.903
WIR0331,VECT,NI,280.748
WKM2201,MRPL,NI,38652.49
WKM2201,TUAR,NI,71535.489
WKO0331,POCO,NI,1018.055
WPA2201,MRPL,NI,18041.0
WPR0331,MPOW,SI,120.835
WPR0661,MPOW,SI,1683.285
WPW0331,CHBP,NI,203.939
WRD0331,UNET,NI,123.195
WRK0331,HAWK,NI,22963.832
WRK2201,CTCT,NI,89083.171
WTK0111,MERI,SI,46053.812
WTK0111,WATA,SI,83.404
WTU0331,HAWK,NI,488.882
WVY0111,POCO,NI,7.474
WVY1101,WPWF,NI,41725.885
WWD1102,MERI,NI,32954.262
WWD1103,MERI,NI,15671.612
