point_of_connection,network,island,reconciled_injection_mwh
ABY0111,ALPE,SI,236.204
ALB0331,UNET,NI,101.429
ALB1101,UNET,NI,28.23
ARA2201,MRPL,NI,28733.0
ARG1101,CNIR,SI,3851.387
ARI1101,MRPL,NI,40683.844
ARI1102,MRPL,NI,33111.876
ARI1102,POCO,NI,17.227
ASB0661,EASH,SI,15404.422
ASY0111,MPOW,SI,22.75
ATI2201,MRPL,NI,24238.392
AVI2201,MERI,SI,72934.934
BAL0331,OTPO,SI,1268.782
BEN2202,MERI,SI,176450.137
BLN0331,MARL,SI,1373.576
BOB1101,COUP,NI,4894.444
BPD1101,ALPE,SI,1.128
BPE0331,POCO,NI,7291.335
BPE0551,NZRN,NI,0.966
BRB0331,NPOW,NI,317.667
BRK0331,POCO,NI,30.976
BRY0661,ORON,SI,218.641
BWK1101,CNIR,SI,17766.519
CBG0111,WAIP,NI,116.788
CLH0111,ORON,SI,3.852
CML0331,DUNE,SI,1944.054
COL0661,CNIR,SI,14183.346
CPK0111,CKHK,NI,663.924
CPK0331,CKHK,NI,22.632
CST0331,POCO,NI,1801.637
CUL0331,MPOW,SI,6.655
CUL0661,MPOW,SI,6.501
CYD0331,DUNE,SI,11713.55
CYD2201,CTCT,SI,131336.486
DOB0331,WPOW,SI,2265.137
DVK0111,SCAN,NI,16.706
EDG0331,HEDL,NI,2380.738
EDN0331,TPCO,SI,0.512
FHL0331,HAWK,NI,81.338
FKN0331,DUNE,SI,995.409
FKN0331,LLNW,SI,10.69
GFD0331,CKHK,NI,60.007
GLN0332,COUP,NI,367.291
GLN0332,NZST,NI,51833.577
GOR0331,TPCO,SI,12705.112
GYM0661,WPOW,SI,3.2
GYT0331,POCO,NI,837.53
HAM0111,WAIK,NI,23.671
HAM0331,WAIK,NI,161.13
HAM0551,NZRN,NI,0.584
HAY0111,CKHK,NI,7.778
HAY0331,CKHK,NI,1337.066
HEN0331,UNET,NI,67.453
HEP0331,UNET,NI,46.211
HEP0331,VECT,NI,9.31
HIN0331,POCO,NI,30.405
HKK0661,WPOW,SI,5270.767
HLY0331,WAIK,NI,226.39
HLY2201,GENE,NI,460027.68
HOB1101,VECT,NI,7.129
HOR0331,ORON,SI,19.417
HOR0661,ORON,SI,1.945
HRP2201,MERI,NI,38040.907
HTI0331,LINE,NI,3934.129
HUI0331,POCO,NI,5546.099
HWA0331,POCO,NI,190.44
HWA1101,CNIR,NI,9368.66
HWA1101,TODD,NI,10694.668
HWA1102,TODD,NI,10763.52
HWB0331,DUNE,SI,22735.666
HWB0331,OTPO,SI,10.396
INV0331,ELIN,SI,8.795
INV0331,TPCO,SI,1396.721
ISL0331,ORON,SI,93.449
ISL0661,ORON,SI,528.19
JRD1101,TODD,NI,33826.196
KAI0111,MPOW,SI,50.271
KAW0111,HEDL,NI,15551.236
KAW0112,CHHE,NI,22125.538
KAW1101,KRGL,NI,70616.205
KBY0661,ORON,SI,2.917
KIK0111,TASM,SI,3.779
KIN0112,POCO,NI,11519.168
KIN0331,POCO,NI,12.999
KMO0331,POCO,NI,278.417
KOE1101,TOPE,NI,42591.908
KPA1101,KAPE,NI,8177.479
KPO1101,MRPL,NI,41618.72
KPU0661,POCO,NI,61.531
KUM0661,WPOW,SI,2993.154
KWA0111,CKHK,NI,19.279
LTN0331,POCO,NI,8043.919
LTN2201,MRPL,NI,58791.45
MAN2201,MERI,SI,334532.865
MAT1101,BOPD,NI,9202.813
MAT1101,CNIR,NI,19748.947
MCH0111,TASM,SI,1601.98
MGM0331,POCO,NI,5.156
MHO0331,ELEC,NI,9783.969
MKE1101,TODD,NI,14633.423
MLG0111,CKHK,NI,6.175
MLG0331,CKHK,NI,10.836
MNG0331,VECT,NI,48.13
MPE1101,NPOW,NI,1458.009
MST0331,POCO,NI,360.848
MTI2201,MRPL,NI,76108.03
MTM0331,POCO,NI,350.553
MTN0331,POCO,NI,16.132
MTO0331,NPOW,NI,49.465
MTR0331,POCO,NI,3.606
NAP2201,NAPJ,NI,103725.402
NAP2202,MRPL,NI,62261.413
NMA0331,TPCO,SI,14540.195
NPK0331,LINE,NI,2.164
NSY0331,OTPO,SI,6574.215
NWD0661,ORON,SI,122.573
OAM0331,WATA,SI,27.141
OHA2201,MERI,SI,98773.421
OHB2201,MERI,SI,81058.731
OHC2201,MERI,SI,81291.024
OHK2201,MRPL,NI,34008.04
OKI2201,CTCT,NI,26803.918
OKN0111,LINE,NI,3.927
OKN0111,POCO,NI,256.556
ONG0331,LINE,NI,3001.711
OPK0331,POCO,NI,10.529
ORO1101,BUEL,SI,1.822
ORO1102,BUEL,SI,1205.395
OTA0221,VECT,NI,140.9
OWH0111,HAWK,NI,18.758
PAK0331,VECT,NI,75.259
PAO1101,POCO,NI,32.331
PEN0221,VECT,NI,15.649
PEN0251,NZRN,NI,81.107
PEN0331,VECT,NI,91.6
PEN1101,VECT,NI,77.353
PNI0331,CKHK,NI,15.634
PPI2201,CTCT,NI,28509.007
PRM0331,ELEC,NI,115.522
RDF0331,HAWK,NI,1666.359
RFN1102,WPOW,SI,0.051
ROS0221,VECT,NI,43.279
ROS1101,VECT,NI,28.025
ROT0111,HAWK,NI,17.423
ROT0331,HAWK,NI,816.325
ROT1101,CNIR,NI,4862.918
ROX1101,CTCT,SI,43560.054
ROX2201,CTCT,SI,61976.468
RPO2201,GENE,NI,44268.095
SBK0661,MPOW,SI,124.572
SDN0331,DUNE,SI,12.038
SFD0331,POCO,NI,844.643
SFD2201,CTCT,NI,168063.906
STK0331,NELS,SI,27.087
STK0331,TASM,SI,212.439
STK0661,TASM,SI,16325.38
STU0111,ALPE,SI,5.693
SVL0331,UNET,NI,7417.229
SWN0251,NZRN,NI,108.074
TAB2201,CTCT,NI,93159.334
TAK0331,VECT,NI,2475.501
TGA0111,POCO,NI,36.436
TGA0331,POCO,NI,17090.094
THI2201,CTCT,NI,105239.885
TIM0111,ALPE,SI,31.507
TKA0111,GENE,SI,8844.516
TKA0331,ALPE,SI,3.058
TKB2201,GENE,SI,61064.765
TKR0331,CKHK,NI,51.119
TKU0331,GENE,NI,410.417
TKU0331,LINE,NI,6.353
TKU2201,GENE,NI,55013.824
TMI0331,POCO,NI,53.158
TMK0331,ALPE,SI,16.214
TMN0551,NZRN,NI,1.58
TMU0111,WAIP,NI,92.461
TNG0551,NZRN,NI,1.844
TRK0111,HAWK,NI,16.401
TUI1101,EAST,NI,1277.381
TUI1101,GENE,NI,20676.851
TWC2201,TRPG,NI,29240.969
TWH0331,WAIK,NI,17429.163
TWZ0331,ALPE,SI,10.455
TWZ0331,WATA,SI,16.92
UHT0331,CKHK,NI,21.299
WAI0111,HEDL,NI,12.271
WAI0501,HEDL,NI,1.08
WDV0111,SCAN,NI,2.471
WDV1101,MERI,NI,18297.926
WEL0331,UNET,NI,83.313
WGN0331,POCO,NI,20.069
WHU0331,POCO,NI,35.796
WIL0331,CKHK,NI,13951.751
WIR0331,VECT,NI,72.803
WKM2201,MRPL,NI,44245.88
WKM2201,TUAR,NI,40827.713
WKO0331,POCO,NI,634.046
WPA2201,MRPL,NI,20257.04
WPR0331,MPOW,SI,28.943
WPR0661,MPOW,SI,1279.398
WPW0331,CHBP,NI,52.891
WRD0331,UNET,NI,25.414
WRK0331,HAWK,NI,39177.436
WRK2201,CTCT,NI,90948.328
WTK0111,MERI,SI,38011.523
WTK0111,WATA,SI,37.494
WTU0331,HAWK,NI,97.19
WVY0111,POCO,NI,6.112
WVY1101,WPWF,NI,29618.332
WWD1102,MERI,NI,28955.892
