date,series_type,plant_group,site_code,site,island_code,flow_type,flow_m3s,volume_mm3_day,quality_code,source_file
1980-01-05,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,160.05787037037038,13.829,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-05,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,66.5162037037037,5.747,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-05,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,162.17592592592592,14.012,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-06,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.277777777777779,1.32,200,SI_HWE_Spill_LakeHawea.csv
1980-01-06,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,8.032407407407407,0.694,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-06,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-06,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,297.85879629629625,25.735,200,SI_PKI_Spill_LakePukaki.csv
1980-01-06,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,228.59953703703704,19.751,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-06,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,157.80092592592592,13.634,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-06,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,69.56018518518518,6.01,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-06,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,185.46296296296296,16.024,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-07,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.277777777777779,1.32,200,SI_HWE_Spill_LakeHawea.csv
