date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-05,Clutha,HWE,Lake Hawea,SI,346.046,2165.419,,2165.419,320,SI_HWE_Storage_LakeHawea.csv
1980-01-05,Manapouri,MAN,Lake Manapouri,SI,178.197,323.942,,323.942,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-05,Waitaki river,OHA,Lake Ohau,SI,519.938,30.281,,30.281,320,SI_OHA_Storage_LakeOhau.csv
1980-01-05,Waitaki river,PKI,Lake Pukaki,SI,532.557,2435.212,,2435.212,320,SI_PKI_Storage_LakePukaki.csv
1980-01-05,Manapouri,TAU,Lake Te Anau,SI,203.267,846.892,,846.892,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-05,Waitaki river,TKA,Lake Tekapo,SI,711.119,654.281,0.0,654.281,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-05,Waikato river,TPO,Lake Taupo,NI,357.052,734.75,,734.75,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-05,Clutha,WAN,Lake Wanaka,SI,277.975,497.176,,497.176,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-05,Waikaremoana,WKA,Lake Waikaremoana,NI,583.024,143.538,,143.538,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-05,Clutha,WPU,Lake Wakatipu,SI,310.415,458.02,,458.02,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-06,Clutha,HWE,Lake Hawea,SI,346.081,2170.68,,2170.68,320,SI_HWE_Storage_LakeHawea.csv
1980-01-06,Manapouri,MAN,Lake Manapouri,SI,178.123,313.612,,313.612,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-06,Waitaki river,OHA,Lake Ohau,SI,519.835,23.87,,23.87,320,SI_OHA_Storage_LakeOhau.csv
1980-01-06,Waitaki river,PKI,Lake Pukaki,SI,532.538,2431.8,,2431.8,320,SI_PKI_Storage_LakePukaki.csv
1980-01-06,Manapouri,TAU,Lake Te Anau,SI,203.238,836.682,,836.682,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-06,Waitaki river,TKA,Lake Tekapo,SI,711.026,644.969,0.0,644.969,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-06,Waikato river,TPO,Lake Taupo,NI,357.054,736.279,,736.279,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-06,Clutha,WAN,Lake Wanaka,SI,277.904,483.47,,483.47,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-06,Waikaremoana,WKA,Lake Waikaremoana,NI,583.066,145.739,,145.739,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-06,Clutha,WPU,Lake Wakatipu,SI,310.377,447.081,,447.081,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-07,Clutha,HWE,Lake Hawea,SI,346.115,2175.774,,2175.774,320,SI_HWE_Storage_LakeHawea.csv
1980-01-07,Manapouri,MAN,Lake Manapouri,SI,178.099,310.363,,310.363,320,SI_MAN_Storage_LakeManapouri.csv
