date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2024-05-01,235.2829,219.9906,215.3633,223.5456
2024-05-02,245.6194,232.5752,223.28,233.8249
2024-05-03,255.029,237.5752,227.6092,240.0711
2024-05-04,233.8544,228.6633,220.5338,227.6838
2024-05-05,235.3602,229.7346,222.5115,229.2021
2024-05-06,246.4327,229.9296,224.6827,233.6817
2024-05-07,259.2831,243.6254,236.3677,246.4254
2024-05-08,691.5138,644.1,607.8342,647.816
2024-05-09,505.1567,465.3256,452.0298,474.1707
2024-05-10,365.0852,348.0527,330.2333,347.7904
2024-05-11,269.0348,259.561,250.9538,259.8499
2024-05-12,279.9981,266.7067,255.3194,267.3414
2024-05-13,314.7412,306.6346,298.3646,306.5801
2024-05-14,405.8244,386.5029,372.836,388.3878
2024-05-15,271.9069,268.2306,263.3881,267.8419
2024-05-16,266.0977,259.284,256.8306,260.7374
2024-05-17,275.3044,267.0183,263.4892,268.604
2024-05-18,252.2579,246.4129,249.966,249.5456
2024-05-19,272.4571,274.3125,272.6044,273.1247
2024-05-20,407.919,382.9944,370.501,387.1381
2024-05-21,253.281,239.6581,242.5379,245.159
2024-05-22,243.2721,230.1696,235.7112,236.3843
2024-05-23,296.6148,286.616,281.1675,288.1328
2024-05-24,311.2435,299.0673,291.0702,300.4603
2024-05-25,271.6281,268.1335,266.9892,268.9169
2024-05-26,218.7571,218.6575,222.334,219.9162
2024-05-27,310.1502,301.4598,296.7548,302.7883
2024-05-28,318.62,307.0327,300.9615,308.8714
2024-05-29,344.1604,329.4704,323.716,332.449
2024-05-30,290.231,284.6821,281.4921,285.4684
2024-05-31,231.6427,220.3831,229.4006,227.1422
