date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-02-01,221.9246,200.9554,197.1688,206.6829
2025-02-02,212.1254,189.7775,189.7571,197.22
2025-02-03,228.6719,217.5827,212.2844,219.513
2025-02-04,239.0275,227.8152,223.509,230.1172
2025-02-05,240.7277,233.8483,229.3385,234.6382
2025-02-06,243.494,243.3706,241.4088,242.7578
2025-02-07,221.5165,211.1456,209.2735,213.9785
2025-02-08,231.0163,232.1723,218.095,227.0945
2025-02-09,226.4721,224.2854,226.9119,225.8898
2025-02-10,323.0854,310.3248,304.8973,312.7692
2025-02-11,257.2133,239.7775,238.154,245.0483
2025-02-12,277.9663,270.8694,267.5175,272.1177
2025-02-13,295.5519,282.5,275.8371,284.6297
2025-02-14,302.4006,293.5292,289.6121,295.1806
2025-02-15,268.9635,271.1285,271.7837,270.6253
2025-02-16,257.0296,264.8048,268.0062,263.2802
2025-02-17,267.8796,257.095,255.6783,260.2176
2025-02-18,263.4796,259.0229,258.3373,260.2799
2025-02-19,218.8029,214.3219,218.5677,217.2308
2025-02-20,232.939,226.9031,247.8877,235.9099
2025-02-21,211.2169,198.155,233.155,214.1756
2025-02-22,249.211,251.8231,86.645,195.8931
2025-02-23,250.9148,253.0329,56.2331,186.7269
2025-02-24,493.9629,474.9608,297.7204,422.2147
2025-02-25,287.5517,268.0144,262.486,272.684
2025-02-26,368.826,350.2006,274.2129,331.0799
2025-02-27,393.5496,378.0454,321.21,364.2683
2025-02-28,378.551,362.8696,333.1596,358.1934
