date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2026-07-01,100.3365,90.1996,83.5542,91.3634
2026-07-02,80.3406,70.7692,66.9842,72.698
2026-07-03,124.7808,105.3881,94.364,108.1776
2026-07-04,76.53,69.481,67.8017,71.2709
2026-07-05,40.0558,38.4904,37.5508,38.699
2026-07-06,63.0175,55.4663,52.6485,57.0441
2026-07-07,102.9435,90.0917,83.2946,92.1099
2026-07-08,60.8056,54.911,52.3231,56.0133
2026-07-09,56.8275,50.0535,47.4198,51.4336
2026-07-10,60.7158,57.089,54.9873,57.5974
2026-07-11,110.7169,104.8392,99.2379,104.9313
2026-07-12,96.4517,90.5529,84.6131,90.5392
2026-07-13,66.2175,58.9177,54.9877,60.041
2026-07-14,19.1381,16.8217,16.1769,17.3789
2026-07-15,11.2531,9.3262,8.4523,9.6772
2026-07-16,19.255,16.0952,7.4796,14.2766
2026-07-17,6.0462,4.8312,2.0417,4.3064
2026-07-18,3.3523,2.8242,2.6731,2.9499
2026-07-19,17.9483,15.3206,13.026,15.4317
2026-07-20,64.8302,55.5477,43.3979,54.5919
2026-07-21,74.8765,64.2588,43.5648,60.9
2026-07-22,109.4067,92.5308,41.141,81.0262
2026-07-23,68.6477,56.5171,32.6704,52.6117
2026-07-24,28.0775,23.685,21.184,24.3155
2026-07-25,33.8519,30.3512,27.4733,30.5588
2026-07-26,71.9358,60.5142,36.8298,56.4266
2026-07-27,240.7375,207.8669,70.505,173.0365
2026-07-28,71.6988,61.9898,37.549,57.0792
2026-07-29,57.6887,48.905,37.74,48.1113
2026-07-30,34.4319,28.3683,24.7892,29.1965
2026-07-31,23.8625,19.9625,18.411,20.7453
