date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2024-12-01,45.214,39.8065,37.4073,40.8092
2024-12-02,71.0006,56.3338,50.5367,59.2903
2024-12-03,66.3992,44.8725,42.4365,51.236
2024-12-04,59.6313,36.369,34.2333,43.4112
2024-12-05,46.4604,35.9363,33.8742,38.7569
2024-12-06,79.9381,66.996,47.0658,64.6667
2024-12-07,32.719,28.5994,26.1935,29.1706
2024-12-08,8.411,7.4885,7.2331,7.7109
2024-12-09,42.5979,31.4775,29.8215,34.6323
2024-12-10,26.415,20.6633,19.2473,22.1085
2024-12-11,37.6302,30.0456,28.2998,31.9919
2024-12-12,271.4577,244.3256,54.5044,190.0959
2024-12-13,13.1633,7.5971,7.2687,9.3431
2024-12-14,21.6038,18.3421,17.359,19.1016
2024-12-15,37.374,31.3708,24.3108,31.0185
2024-12-16,116.0973,93.8173,32.2265,80.7137
2024-12-17,31.3677,25.3471,23.7475,26.8208
2024-12-18,22.6827,18.4563,16.9785,19.3725
2024-12-19,27.3285,20.4548,18.6054,22.1296
2024-12-20,18.394,16.0454,11.3819,15.2737
2024-12-21,4.6219,4.026,3.6423,4.0967
2024-12-22,2.8546,2.539,2.4258,2.6065
2024-12-23,9.7687,8.401,7.8983,8.6894
2024-12-24,13.756,11.7492,10.3502,11.9518
2024-12-25,7.5667,6.924,6.5435,7.0114
2024-12-26,3.859,3.5783,3.4417,3.6263
2024-12-27,2.9027,2.6133,2.6027,2.7063
2024-12-28,4.825,4.5435,4.3502,4.5729
2024-12-29,4.2237,3.8058,3.6808,3.9035
2024-12-30,4.3504,3.8233,3.6133,3.929
2024-12-31,4.0279,3.7654,3.6765,3.8233
