date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-11-01,5.4677,5.0869,4.9025,5.1524
2025-11-02,4.489,4.0873,3.9692,4.1818
2025-11-03,83.5981,71.6804,67.5367,74.2717
2025-11-04,92.9631,78.2137,74.5804,81.9191
2025-11-05,129.7631,111.5527,104.34,115.2186
2025-11-06,108.6454,89.5496,84.8106,94.3352
2025-11-07,143.0169,120.066,111.6446,124.9092
2025-11-08,93.2771,80.4919,77.1829,83.6506
2025-11-09,95.141,83.68,79.744,86.1883
2025-11-10,141.285,121.765,116.3829,126.4776
2025-11-11,111.5948,92.3904,79.4146,94.4666
2025-11-12,108.8642,87.7869,81.8371,92.8294
2025-11-13,78.1188,67.6229,64.544,70.0952
2025-11-14,47.4802,34.8602,24.3012,35.5472
2025-11-15,9.9944,8.5558,8.2513,8.9338
2025-11-16,6.0681,5.4783,5.1008,5.5491
2025-11-17,70.5571,62.6531,51.4348,61.5483
2025-11-18,144.5806,125.9079,110.785,127.0912
2025-11-19,115.9146,100.4937,87.865,101.4244
2025-11-20,91.2394,76.3585,68.1915,78.5965
2025-11-21,7.66,6.6583,6.3998,6.906
2025-11-22,19.7273,18.0121,16.9842,18.2412
2025-11-23,17.6908,16.086,14.4942,16.0903
2025-11-24,68.4871,59.0735,55.3656,60.9754
2025-11-25,88.5335,76.6721,71.4669,78.8908
2025-11-26,57.3917,47.0735,40.0856,48.1836
2025-11-27,106.9842,79.1756,71.2469,85.8022
2025-11-28,37.369,30.7175,28.505,32.1972
2025-11-29,5.5548,4.8077,4.6077,4.9901
2025-11-30,14.6838,12.5906,11.9644,13.0796
