date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-10-01,65.4025,61.9898,60.6906,62.6943
2025-10-02,157.6981,149.7338,144.0446,150.4922
2025-10-03,117.045,107.0629,101.9075,108.6718
2025-10-04,54.6438,53.8498,53.3256,53.9397
2025-10-05,45.1854,43.7573,42.8192,43.9206
2025-10-06,98.6746,88.3692,83.85,90.2979
2025-10-07,78.0415,67.9838,64.9544,70.3265
2025-10-08,22.5402,19.5635,18.6985,20.2674
2025-10-09,27.6846,23.4567,22.4975,24.5463
2025-10-10,6.3656,5.544,5.3933,5.7676
2025-10-11,1.2973,1.1417,1.1254,1.1881
2025-10-12,3.9223,3.5196,3.405,3.6156
2025-10-13,54.3462,49.4071,47.8225,50.5253
2025-10-14,64.3073,57.8196,55.9688,59.3652
2025-10-15,28.8423,26.5106,25.6225,26.9918
2025-10-16,9.6927,8.9608,8.3719,9.0085
2025-10-17,24.0487,22.4413,21.2069,22.5656
2025-10-18,0.7327,0.6869,1.039,0.8195
2025-10-19,0.2787,0.2687,0.2929,0.2801
2025-10-20,2.2383,2.0152,1.9923,2.0819
2025-10-21,2.7287,2.4029,2.3194,2.4837
2025-10-22,1.6867,1.4458,1.3877,1.5067
2025-10-23,55.3223,49.306,6.3637,36.9974
2025-10-24,2.3304,2.0202,1.9152,2.0886
2025-10-25,0.8952,0.7985,0.9198,0.8712
2025-10-26,2.0771,1.8708,1.8479,1.9319
2025-10-27,11.7635,10.7479,10.4492,10.9869
2025-10-28,43.4933,39.7796,38.3673,40.5467
2025-10-29,10.695,9.4688,8.996,9.7199
2025-10-30,4.3219,3.7125,3.486,3.8401
2025-10-31,2.2569,2.0362,1.9846,2.0926
