date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-04-01,419.0544,400.479,392.2077,403.9137
2025-04-02,414.4392,406.4406,398.0502,406.31
2025-04-03,393.6365,398.4854,396.3637,396.1619
2025-04-04,399.8612,393.191,390.3525,394.4683
2025-04-05,263.2894,264.5827,278.6448,268.839
2025-04-06,308.3356,319.6674,324.415,317.4727
2025-04-07,292.8233,291.624,302.0708,295.506
2025-04-08,326.1171,322.0046,326.399,324.8402
2025-04-09,376.2287,373.1894,367.3877,372.2686
2025-04-10,377.6421,368.5656,362.6217,369.6098
2025-04-11,318.9604,316.9598,320.6417,318.854
2025-04-12,273.2019,280.3535,304.666,286.0738
2025-04-13,311.55,320.7267,324.2004,318.8257
2025-04-14,314.101,309.5138,315.0471,312.8873
2025-04-15,317.5804,315.1525,325.5506,319.4278
2025-04-16,258.2671,254.9692,261.6985,258.3116
2025-04-17,259.2054,258.1604,280.9696,266.1118
2025-04-18,283.3996,281.8196,296.3946,287.2046
2025-04-19,285.6267,292.421,307.4427,295.1635
2025-04-20,289.6944,298.6425,306.7806,298.3725
2025-04-21,337.944,336.7425,341.261,338.6492
2025-04-22,328.2117,318.1765,316.1067,320.8316
2025-04-23,288.2794,293.0531,296.7729,292.7018
2025-04-24,297.5248,304.7788,304.3021,302.2019
2025-04-25,298.1527,313.1423,314.7981,308.6977
2025-04-26,273.8804,288.4933,291.456,284.6099
2025-04-27,287.7275,299.5827,302.1179,296.476
2025-04-28,321.8479,322.4908,321.8533,322.064
2025-04-29,319.9223,311.5996,305.3677,312.2965
2025-04-30,351.4038,351.4927,359.0925,353.9963
