date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-05-01,383.7283,393.4796,395.076,390.7613
2025-05-02,357.346,358.965,381.8183,366.0431
2025-05-03,341.9231,366.69,371.7985,360.1372
2025-05-04,355.6435,379.5602,389.5481,374.9173
2025-05-05,367.5113,374.1165,371.116,370.9146
2025-05-06,346.0871,346.9044,348.7819,347.2578
2025-05-07,234.6729,229.6081,245.1531,236.4781
2025-05-08,250.7675,251.6981,263.7202,255.3953
2025-05-09,269.791,272.2598,275.0179,272.3562
2025-05-10,218.5481,225.475,228.1742,224.0658
2025-05-11,202.504,204.8967,204.799,204.0665
2025-05-12,216.809,209.051,205.2035,210.3545
2025-05-13,187.184,171.3623,170.0881,176.2115
2025-05-14,170.7815,162.6817,158.3583,163.9405
2025-05-15,101.4844,92.8267,92.655,95.6553
2025-05-16,72.5771,66.219,65.3915,68.0625
2025-05-17,59.6352,55.8821,55.9185,57.1453
2025-05-18,104.1165,101.1581,106.844,104.0395
2025-05-19,160.7002,152.4115,150.5315,154.5477
2025-05-20,193.0365,185.6096,181.3825,186.6762
2025-05-21,190.9048,182.571,176.9975,183.4911
2025-05-22,160.7767,150.4544,146.3469,152.526
2025-05-23,160.3348,148.9265,141.9106,150.3906
2025-05-24,184.5275,181.8187,178.6142,181.6535
2025-05-25,94.9019,93.021,97.5063,95.1431
2025-05-26,139.9808,130.5246,128.3654,132.9569
2025-05-27,186.4512,180.2038,122.7627,163.1392
2025-05-28,212.0821,204.3481,200.1131,205.5144
2025-05-29,159.5569,150.6952,146.7237,152.3253
2025-05-30,127.0979,118.9433,118.0856,121.3756
2025-05-31,76.8571,74.5517,77.5815,76.3301
