date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2024-01-01,46.3621,46.0662,48.4308,46.9531
2024-01-02,106.4337,102.8073,106.6285,105.2899
2024-01-03,163.7469,157.0687,154.1123,158.3093
2024-01-04,173.4538,162.5106,165.3448,167.1031
2024-01-05,190.9185,181.346,180.6702,184.3116
2024-01-06,195.2596,192.4827,195.2902,194.3442
2024-01-07,214.0785,209.4477,208.9204,210.8156
2024-01-08,211.7967,203.8992,205.084,206.9266
2024-01-09,225.5223,213.2458,217.4983,218.7555
2024-01-10,232.9498,222.5427,222.7281,226.0735
2024-01-11,226.3835,217.7173,223.2702,222.457
2024-01-12,260.0633,247.2946,247.5269,251.6283
2024-01-13,249.815,238.715,244.4229,244.3176
2024-01-14,232.7,218.2567,226.4667,225.8078
2024-01-15,256.6133,230.5446,227.8248,238.3276
2024-01-16,244.9765,223.0869,222.5292,230.1975
2024-01-17,354.4121,317.9544,306.4421,326.2695
2024-01-18,364.5017,327.0494,314.4715,335.3408
2024-01-19,305.4513,275.7717,269.704,283.6423
2024-01-20,255.264,231.0869,226.1929,237.5146
2024-01-21,250.3019,229.7942,220.2788,233.4583
2024-01-22,266.435,235.5248,226.0525,242.6708
2024-01-23,157.4994,118.3521,112.899,129.5835
2024-01-24,159.3083,135.12,110.9452,135.1245
2024-01-25,152.0402,128.7385,118.0604,132.9464
2024-01-26,163.7788,144.3354,125.7094,144.6078
2024-01-27,46.06,41.3725,39.9894,42.474
2024-01-28,109.7792,101.3248,98.2554,103.1198
2024-01-29,31.574,29.8625,29.3073,30.2479
2024-01-30,198.0233,168.475,157.7,174.7328
2024-01-31,234.5054,197.9771,147.6415,193.3747
