date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-06-01,61.6871,60.0679,59.9779,60.5776
2025-06-02,88.9206,83.0917,81.8552,84.6225
2025-06-03,122.0698,107.0177,104.279,111.1222
2025-06-04,152.4156,141.4042,138.1671,143.9956
2025-06-05,113.9394,105.2496,104.2444,107.8111
2025-06-06,189.0083,179.2233,175.3427,181.1915
2025-06-07,195.4729,191.9771,192.4819,193.3106
2025-06-08,188.7144,189.5342,187.9844,188.7443
2025-06-09,182.4698,172.8302,168.3731,174.5577
2025-06-10,173.261,161.0348,158.0006,164.0988
2025-06-11,132.7431,127.6675,131.4144,130.6083
2025-06-12,134.2558,128.6342,127.2106,130.0335
2025-06-13,138.4296,135.4198,134.4815,136.1103
2025-06-14,80.551,80.3623,83.461,81.4581
2025-06-15,155.5481,156.7465,158.0683,156.7876
2025-06-16,155.9931,146.214,144.9335,149.0469
2025-06-17,167.0527,156.431,152.2598,158.5812
2025-06-18,193.1981,184.4665,179.6946,185.7864
2025-06-19,154.2512,145.2192,146.1883,148.5529
2025-06-20,113.5573,112.375,116.4058,114.1127
2025-06-21,120.3406,122.0154,124.3813,122.2458
2025-06-22,144.0106,145.5927,148.969,146.1908
2025-06-23,141.515,136.8554,133.9335,137.4347
2025-06-24,156.6902,147.4942,144.5304,149.5716
2025-06-25,134.879,124.3123,121.7031,126.9648
2025-06-26,59.8508,56.1271,56.201,57.393
2025-06-27,96.5575,93.991,91.3642,93.9709
2025-06-28,25.9329,26.2879,26.3363,26.1857
2025-06-29,23.2702,22.8185,22.3938,22.8275
2025-06-30,14.9385,14.4002,14.8656,14.7348
