date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-09-01,200.8567,199.7265,202.9498,201.1776
2025-09-02,181.9779,179.5687,182.7162,181.421
2025-09-03,198.0035,198.0113,196.2038,197.4062
2025-09-04,163.3129,156.9198,159.1771,159.8033
2025-09-05,167.8015,161.1012,163.476,164.1262
2025-09-06,198.4673,194.5935,192.4404,195.1671
2025-09-07,166.1975,164.0531,164.2275,164.826
2025-09-08,166.3719,163.871,160.5265,163.5898
2025-09-09,168.7715,157.576,155.0181,160.4552
2025-09-10,156.4387,151.256,155.1196,154.2715
2025-09-11,180.0454,174.1387,172.3079,175.4974
2025-09-12,189.3231,184.3238,179.4162,184.3544
2025-09-13,177.1794,177.2665,178.7304,177.7254
2025-09-14,177.1344,180.7335,181.356,179.7413
2025-09-15,163.6515,158.8233,159.0065,160.4938
2025-09-16,129.6852,123.7848,122.4817,125.3172
2025-09-17,86.9787,81.2342,79.7571,82.6567
2025-09-18,112.0935,99.6006,96.459,102.7177
2025-09-19,114.19,105.246,100.9081,106.7814
2025-09-20,97.3525,92.2079,88.7417,92.7674
2025-09-21,17.4708,15.684,15.1167,16.0905
2025-09-22,76.6329,69.276,66.2331,70.714
2025-09-23,53.935,50.2321,48.5592,50.9087
2025-09-24,86.6927,81.6729,77.8179,82.0612
2025-09-25,12.4,11.7281,12.2042,12.1108
2025-09-26,8.7062,8.0529,9.8875,8.8822
2025-09-27,6.2315,5.8894,5.7462,5.9557
2025-09-28,0.5572,0.5441,0.6765,0.5926
2025-09-29,11.4338,10.8433,10.6915,10.9895
2025-09-30,3.3985,3.2227,3.2179,3.2797
