date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2026-02-01,0.9681,0.8312,0.7158,0.8384
2026-02-02,73.436,60.6788,2.0633,45.3927
2026-02-03,31.3581,27.6121,22.0442,27.0048
2026-02-04,26.0006,23.9848,2.6696,17.5517
2026-02-05,7.4242,6.3585,1.9429,5.2419
2026-02-06,2.9981,2.784,2.8869,2.8897
2026-02-07,3.8271,3.4702,3.3875,3.5616
2026-02-08,12.9598,11.8515,11.5123,12.1078
2026-02-09,62.5473,55.0552,46.3625,54.655
2026-02-10,57.3938,50.11,46.159,51.2209
2026-02-11,92.1248,81.6698,77.0631,83.6192
2026-02-12,88.9506,80.1533,74.4265,81.1768
2026-02-13,89.3263,79.756,74.4585,81.1803
2026-02-14,19.4363,18.5894,18.3233,18.783
2026-02-15,11.3598,11.3502,11.6023,11.4374
2026-02-16,52.3862,51.0004,36.4883,46.625
2026-02-17,60.4985,57.0842,49.4837,55.6888
2026-02-18,63.3817,57.8221,55.7875,58.9971
2026-02-19,52.2171,47.4131,45.4208,48.3503
2026-02-20,17.6687,16.5731,16.1546,16.7988
2026-02-21,51.0417,51.524,5.8683,36.1447
2026-02-22,35.8435,35.3415,12.2802,27.8217
2026-02-23,82.3679,78.9404,62.0229,74.4437
2026-02-24,72.5388,67.6098,60.7392,66.9626
2026-02-25,99.1683,92.189,71.7848,87.714
2026-02-26,98.7352,92.1533,89.9021,93.5969
2026-02-27,99.3833,93.9029,86.5415,93.2759
2026-02-28,61.0581,59.1752,61.0883,60.4406
