date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2025-03-01,256.0758,247.1469,297.7042,266.9756
2025-03-02,222.3577,218.42,265.8733,235.5503
2025-03-03,235.014,221.5581,257.5533,238.0418
2025-03-04,266.1021,260.8742,271.2877,266.088
2025-03-05,305.6687,303.2706,281.8688,296.936
2025-03-06,271.3402,277.0356,297.8683,282.0814
2025-03-07,267.0981,277.8498,277.5023,274.1501
2025-03-08,252.5952,264.7771,266.916,261.4294
2025-03-09,258.515,279.8725,286.526,274.9712
2025-03-10,298.0465,300.7752,305.3652,301.3956
2025-03-11,291.8052,282.686,288.0121,287.5011
2025-03-12,339.5881,342.9133,350.1508,344.2174
2025-03-13,311.6619,317.3342,327.0075,318.6678
2025-03-14,288.3692,291.0958,292.4996,290.6549
2025-03-15,221.7373,228.8104,242.8273,231.125
2025-03-16,237.5938,243.3727,252.8585,244.6083
2025-03-17,303.8804,299.3929,309.2017,304.1583
2025-03-18,286.5158,286.5385,295.5573,289.5372
2025-03-19,281.5423,281.8781,283.3756,282.2653
2025-03-20,265.6733,265.3263,270.3819,267.1272
2025-03-21,269.4663,270.5144,271.3756,270.4521
2025-03-22,224.5946,232.2283,238.736,231.853
2025-03-23,162.9038,163.8523,189.7256,172.1606
2025-03-24,299.4533,288.7933,291.8917,293.3794
2025-03-25,356.7098,347.1848,341.3052,348.3999
2025-03-26,385.454,371.0225,363.3321,373.2695
2025-03-27,328.1235,314.2748,315.8815,319.4266
2025-03-28,331.966,320.4885,317.0973,323.184
2025-03-29,295.7517,296.7912,298.1706,296.9045
2025-03-30,290.5733,291.7219,294.8435,292.3796
2025-03-31,376.4079,364.1731,357.63,366.0703
