date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2026-06-01,63.4717,61.0998,60.129,61.5668
2026-06-02,44.7425,44.3581,44.5956,44.5654
2026-06-03,48.6958,45.1165,43.0027,45.605
2026-06-04,25.6217,23.0925,22.6035,23.7726
2026-06-05,14.2048,13.0929,12.7275,13.3417
2026-06-06,10.7313,10.0638,9.8719,10.2223
2026-06-07,12.746,11.824,11.516,12.0287
2026-06-08,5.8042,5.0577,4.9456,5.2692
2026-06-09,23.0123,21.6146,20.9925,21.8731
2026-06-10,66.084,60.8342,57.8077,61.5753
2026-06-11,87.8356,77.5781,72.7381,79.384
2026-06-12,49.3225,43.2458,40.0275,44.1986
2026-06-13,50.601,48.1079,46.5219,48.4103
2026-06-14,15.1565,13.6275,7.8621,12.2153
2026-06-15,28.2744,25.6025,24.7235,26.2001
2026-06-16,56.4712,49.4252,45.7983,50.5649
2026-06-17,62.8123,53.5915,49.8623,55.422
2026-06-18,33.5325,29.8856,28.4635,30.6272
2026-06-19,38.4458,34.1365,32.3448,34.9757
2026-06-20,23.5623,20.2925,19.7817,21.2122
2026-06-21,15.0142,13.2404,12.5033,13.586
2026-06-22,44.566,38.8044,34.6581,39.3428
2026-06-23,58.0165,52.4238,49.0819,53.174
2026-06-24,67.7694,59.8963,56.4392,61.3683
2026-06-25,47.295,42.3156,40.6646,43.4251
2026-06-26,72.6317,66.0054,63.0163,67.2178
2026-06-27,26.4644,25.4587,25.3067,25.7433
2026-06-28,9.0083,8.4331,8.3171,8.5862
2026-06-29,44.3096,40.8117,39.0465,41.3892
2026-06-30,81.1381,73.7638,68.741,74.5476
