date,otahuhu_nzd_mwh,haywards_nzd_mwh,benmore_nzd_mwh,reference_mean_nzd_mwh
2024-04-01,247.646,247.3915,257.6871,250.9082
2024-04-02,278.7096,270.5962,263.9548,271.0869
2024-04-03,261.2852,248.0856,246.6375,252.0028
2024-04-04,282.0702,262.751,263.9508,269.5907
2024-04-05,270.0613,259.3898,262.5256,263.9922
2024-04-06,248.8338,250.735,251.5915,250.3867
2024-04-07,248.8022,254.8378,256.8176,253.4859
2024-04-08,265.5637,252.384,247.4787,255.1422
2024-04-09,220.9144,210.0442,209.0917,213.3501
2024-04-10,228.345,215.7785,215.7892,219.9709
2024-04-11,268.2327,244.6248,237.0792,249.9789
2024-04-12,235.8656,218.1648,209.6456,221.2253
2024-04-13,180.526,175.3869,171.0729,175.6619
2024-04-14,160.33,153.114,147.2654,153.5698
2024-04-15,204.2644,181.9904,171.7287,185.9945
2024-04-16,178.5952,156.6235,149.199,161.4726
2024-04-17,180.064,158.7396,150.1575,162.987
2024-04-18,141.8225,122.8492,117.4644,127.3787
2024-04-19,213.146,193.1165,185.9417,197.4014
2024-04-20,271.4823,262.8415,157.7825,230.7021
2024-04-21,208.6292,204.8873,199.8133,204.4433
2024-04-22,232.1123,215.5083,207.0431,218.2212
2024-04-23,260.0035,241.4117,231.5585,244.3246
2024-04-24,234.77,212.1244,208.0354,218.3099
2024-04-25,208.1644,190.8354,188.2204,195.7401
2024-04-26,194.6179,181.2921,178.9079,184.9393
2024-04-27,219.7554,216.1354,211.6942,215.8617
2024-04-28,240.5073,237.3973,230.3265,236.077
2024-04-29,267.5487,255.7371,245.7102,256.332
2024-04-30,248.2979,234.5281,227.6515,236.8258
