date,fuel,generation_mwh
2020-01-25,Hydro,56999.856
2020-01-25,Liquid fuel,0.0
2020-01-25,Wind,8068.347
2020-01-25,Wood,732.278
2020-01-26,Coal,4835.099
2020-01-26,Gas,13649.617
2020-01-26,Geothermal,20581.46
2020-01-26,Hydro,59595.722
2020-01-26,Liquid fuel,0.0
2020-01-26,Wind,6175.76
2020-01-26,Wood,756.386
2020-01-27,Coal,4948.369
2020-01-27,Gas,14001.043
2020-01-27,Geothermal,20202.451
2020-01-27,Hydro,63659.237
2020-01-27,Liquid fuel,0.0
2020-01-27,Wind,8710.377
2020-01-27,Wood,721.274
2020-01-28,Coal,7172.695
2020-01-28,Gas,16128.757
2020-01-28,Geothermal,20285.44
2020-01-28,Hydro,67191.322
2020-01-28,Liquid fuel,0.0
2020-01-28,Wind,6761.535
2020-01-28,Wood,750.859
2020-01-29,Coal,8123.766
2020-01-29,Gas,15819.18
2020-01-29,Geothermal,19576.845
2020-01-29,Hydro,67224.083
2020-01-29,Liquid fuel,0.0
2020-01-29,Wind,7883.201
2020-01-29,Wood,796.336
2020-01-30,Coal,7979.479
2020-01-30,Gas,15137.774
2020-01-30,Geothermal,20518.566
2020-01-30,Hydro,65393.638
2020-01-30,Liquid fuel,7.254
2020-01-30,Wind,8466.622
2020-01-30,Wood,683.47
2020-01-31,Coal,6621.265
2020-01-31,Gas,14697.537
2020-01-31,Geothermal,20649.654
2020-01-31,Hydro,62670.587
2020-01-31,Liquid fuel,0.0
2020-01-31,Wind,10659.071
2020-01-31,Wood,699.191
2020-02-01,Coal,5697.75
2020-02-01,Gas,14272.104
2020-02-01,Geothermal,20592.031
2020-02-01,Hydro,56733.152
2020-02-01,Liquid fuel,0.0
2020-02-01,Wind,10473.572
2020-02-01,Wood,756.377
2020-02-02,Coal,3765.874
2020-02-02,Gas,12996.645
2020-02-02,Geothermal,20696.52
2020-02-02,Hydro,59422.939
2020-02-02,Liquid fuel,0.0
2020-02-02,Wind,10075.001
2020-02-02,Wood,758.915
2020-02-03,Coal,5362.5
2020-02-03,Gas,14175.941
2020-02-03,Geothermal,20338.274
2020-02-03,Hydro,69022.323
2020-02-03,Liquid fuel,156.59
2020-02-03,Wind,10125.255
2020-02-03,Wood,783.342
2020-02-04,Coal,5774.873
2020-02-04,Gas,12753.255
2020-02-04,Geothermal,20350.327
2020-02-04,Hydro,71396.881
2020-02-04,Liquid fuel,74.94
2020-02-04,Wind,9195.007
2020-02-04,Wood,767.858
2020-02-05,Coal,5222.53
2020-02-05,Gas,13853.876
2020-02-05,Geothermal,20726.931
2020-02-05,Hydro,64799.407
2020-02-05,Liquid fuel,0.0
2020-02-05,Wind,6229.806
2020-02-05,Wood,800.906
2020-02-06,Coal,4538.614
2020-02-06,Gas,10133.939
2020-02-06,Geothermal,21007.357
2020-02-06,Hydro,59976.41
