date,active_storage_mm3,contingent_storage_mm3,total_usable_storage_mm3
1980-05-18,6865.519,0.0,0.0
1980-05-19,6854.705,0.0,0.0
1980-05-20,6864.05,0.0,0.0
1980-05-21,7080.608,0.0,0.0
1980-05-22,7214.665,0.0,0.0
1980-05-23,7310.414,0.0,0.0
1980-05-24,7557.704,0.0,0.0
1980-05-25,7724.355,0.0,0.0
1980-05-26,7774.396,0.0,0.0
1980-05-27,7772.417,0.0,0.0
1980-05-28,7740.824,0.0,0.0
1980-05-29,7697.19,0.0,0.0
1980-05-30,7652.668,0.0,0.0
1980-05-31,7602.716,0.0,0.0
1980-06-01,7549.892,0.0,0.0
1980-06-02,7502.748,0.0,0.0
1980-06-03,7468.721,0.0,0.0
1980-06-04,7461.683,0.0,0.0
1980-06-05,7523.241,0.0,0.0
1980-06-06,7593.747,0.0,0.0
1980-06-07,7636.885,0.0,0.0
1980-06-08,7649.552,0.0,0.0
1980-06-09,7623.937,0.0,0.0
1980-06-10,7635.224,0.0,0.0
1980-06-11,7810.726,0.0,0.0
1980-06-12,7873.393,0.0,0.0
1980-06-13,7889.141,0.0,0.0
1980-06-14,7880.107,0.0,0.0
1980-06-15,7843.873,0.0,0.0
1980-06-16,7798.396,0.0,0.0
1980-06-17,7750.556,0.0,0.0
1980-06-18,7704.478,0.0,0.0
1980-06-19,7653.779,0.0,0.0
1980-06-20,7595.089,0.0,0.0
1980-06-21,7538.007,0.0,0.0
1980-06-22,7486.493,0.0,0.0
1980-06-23,7450.338,0.0,0.0
1980-06-24,7423.925,0.0,0.0
1980-06-25,7388.071,0.0,0.0
1980-06-26,7330.683,0.0,0.0
1980-06-27,7265.046,0.0,0.0
1980-06-28,7199.308,0.0,0.0
1980-06-29,7134.516,0.0,0.0
1980-06-30,7122.394,0.0,0.0
1980-07-01,7174.825,0.0,0.0
1980-07-02,7244.464,0.0,0.0
1980-07-03,7312.797,0.0,0.0
1980-07-04,7336.485,0.0,0.0
1980-07-05,7330.483,0.0,0.0
1980-07-06,7310.542,0.0,0.0
1980-07-07,7273.958,0.0,0.0
1980-07-08,7241.759,0.0,0.0
1980-07-09,7242.408,0.0,0.0
1980-07-10,7234.797,0.0,0.0
1980-07-11,7201.251,0.0,0.0
1980-07-12,7157.635,0.0,0.0
1980-07-13,7112.034,0.0,0.0
1980-07-14,7061.56,0.0,0.0
1980-07-15,6999.329,0.0,0.0
1980-07-16,6938.639,0.0,0.0
1980-07-17,6879.173,0.0,0.0
1980-07-18,6810.326,0.0,0.0
1980-07-19,6737.926,0.0,0.0
1980-07-20,6664.241,0.0,0.0
1980-07-21,6588.773,0.0,0.0
1980-07-22,6519.776,0.0,0.0
1980-07-23,6456.505,0.0,0.0
1980-07-24,6396.417,0.0,0.0
1980-07-25,6328.817,0.0,0.0
1980-07-26,6260.638,0.0,0.0
1980-07-27,6205.797,0.0,0.0
1980-07-28,6140.367,0.0,0.0
1980-07-29,6064.769,0.0,0.0
1980-07-30,5983.779,0.0,0.0
1980-07-31,5915.777,0.0,0.0
1980-08-01,5862.161,0.0,0.0
1980-08-02,5832.466,0.0,0.0
1980-08-03,5800.577,0.0,0.0
1980-08-04,5753.658,0.0,0.0
1980-08-05,5708.588,0.0,0.0
1980-08-06,5682.525,0.0,0.0
1980-08-07,5641.379,0.0,0.0
1980-08-08,5580.51,0.0,0.0
1980-08-09,5519.363,0.0,0.0
1980-08-10,5465.435,0.0,0.0
1980-08-11,5430.029,0.0,0.0
1980-08-12,5567.771,0.0,0.0
1980-08-13,5822.152,0.0,0.0
1980-08-14,5931.206,0.0,0.0
1980-08-15,6010.213,0.0,0.0
1980-08-16,6313.068,0.0,0.0
1980-08-17,6406.584,0.0,0.0
1980-08-18,6401.85,0.0,0.0
1980-08-19,6392.506,0.0,0.0
1980-08-20,6382.726,0.0,0.0
1980-08-21,6355.449,0.0,0.0
1980-08-22,6311.889,0.0,0.0
1980-08-23,6279.633,0.0,0.0
1980-08-24,6260.281,0.0,0.0
1980-08-25,6326.625,0.0,0.0
1980-08-26,6770.75,0.0,0.0
1980-08-27,6943.302,0.0,0.0
1980-08-28,6971.354,0.0,0.0
1980-08-29,6982.451,0.0,0.0
1980-08-30,7028.139,0.0,0.0
1980-08-31,7082.961,0.0,0.0
1980-09-01,7058.792,0.0,0.0
1980-09-02,7112.65,0.0,0.0
1980-09-03,7151.939,0.0,0.0
1980-09-04,7190.9,0.0,0.0
1980-09-05,7187.221,0.0,0.0
1980-09-06,7147.343,0.0,0.0
1980-09-07,7094.477,0.0,0.0
1980-09-08,7034.482,0.0,0.0
1980-09-09,6959.514,0.0,0.0
1980-09-10,6915.628,0.0,0.0
1980-09-11,6889.028,0.0,0.0
1980-09-12,6902.88,0.0,0.0
1980-09-13,6979.031,0.0,0.0
1980-09-14,6968.185,0.0,0.0
1980-09-15,6949.29,0.0,0.0
1980-09-16,6949.515,0.0,0.0
1980-09-17,6971.729,0.0,0.0
1980-09-18,6936.574,0.0,0.0
1980-09-19,6892.71,0.0,0.0
1980-09-20,6875.171,0.0,0.0
1980-09-21,6843.491,0.0,0.0
1980-09-22,6912.31,0.0,0.0
1980-09-23,7015.005,0.0,0.0
1980-09-24,7030.674,0.0,0.0
1980-09-25,7010.272,0.0,0.0
1980-09-26,7096.262,0.0,0.0
1980-09-27,7201.475,0.0,0.0
1980-09-28,7203.534,0.0,0.0
1980-09-29,7199.67,0.0,0.0
1980-09-30,6989.376,0.0,0.0
1980-10-01,6987.352,0.0,0.0
1980-10-02,7008.271,0.0,0.0
1980-10-03,7029.634,0.0,0.0
1980-10-04,7128.01,0.0,0.0
1980-10-05,7127.117,0.0,0.0
1980-10-06,7079.465,0.0,0.0
1980-10-07,7027.434,0.0,0.0
1980-10-08,6991.748,0.0,0.0
1980-10-09,6993.575,0.0,0.0
1980-10-10,7021.232,0.0,0.0
1980-10-11,6995.955,0.0,0.0
1980-10-12,6945.489,0.0,0.0
1980-10-13,6881.731,0.0,0.0
1980-10-14,6828.062,0.0,0.0
1980-10-15,6749.221,0.0,0.0
1980-10-16,6664.895,0.0,0.0
1980-10-17,6584.005,0.0,0.0
1980-10-18,6520.245,0.0,0.0
1980-10-19,6447.158,0.0,0.0
1980-10-20,6383.343,0.0,0.0
1980-10-21,6320.492,0.0,0.0
1980-10-22,6272.94,0.0,0.0
1980-10-23,6225.738,0.0,0.0
1980-10-24,6176.642,0.0,0.0
1980-10-25,6132.745,0.0,0.0
1980-10-26,6125.058,0.0,0.0
1980-10-27,6153.801,0.0,0.0
1980-10-28,6197.536,0.0,0.0
1980-10-29,6334.063,0.0,0.0
1980-10-30,6485.693,0.0,0.0
1980-10-31,6528.897,0.0,0.0
1980-11-01,6574.595,0.0,0.0
1980-11-02,6565.486,0.0,0.0
1980-11-03,6568.29,0.0,0.0
1980-11-04,6528.081,0.0,0.0
1980-11-05,6496.556,0.0,0.0
1980-11-06,6453.242,0.0,0.0
1980-11-07,6381.267,0.0,0.0
1980-11-08,6329.624,0.0,0.0
1980-11-09,6275.759,0.0,0.0
1980-11-10,6208.242,0.0,0.0
1980-11-11,6140.318,0.0,0.0
1980-11-12,6080.126,0.0,0.0
1980-11-13,6031.989,0.0,0.0
1980-11-14,5989.484,0.0,0.0
1980-11-15,5974.94,0.0,0.0
1980-11-16,5946.455,0.0,0.0
1980-11-17,5915.747,0.0,0.0
1980-11-18,5893.624,0.0,0.0
1980-11-19,5881.797,0.0,0.0
1980-11-20,5943.725,0.0,0.0
1980-11-21,6064.628,0.0,0.0
1980-11-22,6191.49,0.0,0.0
1980-11-23,6253.05,0.0,0.0
1980-11-24,6255.734,0.0,0.0
1980-11-25,6248.742,0.0,0.0
1980-11-26,6240.797,0.0,0.0
1980-11-27,6253.117,0.0,0.0
1980-11-28,6412.797,0.0,0.0
1980-11-29,6456.737,0.0,0.0
1980-11-30,6448.404,0.0,0.0
1980-12-01,6449.143,0.0,0.0
1980-12-02,6411.309,0.0,0.0
1980-12-03,6368.746,0.0,0.0
1980-12-04,6348.335,0.0,0.0
1980-12-05,6328.905,0.0,0.0
1980-12-06,6315.996,0.0,0.0
1980-12-07,6311.206,0.0,0.0
1980-12-08,6282.926,0.0,0.0
1980-12-09,6251.966,0.0,0.0
1980-12-10,6237.507,0.0,0.0
1980-12-11,6226.863,0.0,0.0
1980-12-12,6227.44,0.0,0.0
1980-12-13,6228.799,0.0,0.0
1980-12-14,6244.853,0.0,0.0
1980-12-15,6290.617,0.0,0.0
1980-12-16,6456.281,0.0,0.0
1980-12-17,6585.527,0.0,0.0
1980-12-18,6654.258,0.0,0.0
1980-12-19,6848.622,0.0,0.0
1980-12-20,7045.675,0.0,0.0
1980-12-21,7159.204,0.0,0.0
1980-12-22,7178.155,0.0,0.0
1980-12-23,7174.979,0.0,0.0
1980-12-24,7172.282,0.0,0.0
1980-12-25,7175.746,0.0,0.0
1980-12-26,7207.635,0.0,0.0
1980-12-27,7238.202,0.0,0.0
1980-12-28,7258.803,0.0,0.0
1980-12-29,7275.845,0.0,0.0
1980-12-30,7296.025,0.0,0.0
1980-12-31,7293.25,0.0,0.0
1981-01-01,7289.173,0.0,0.0
1981-01-02,7303.655,0.0,0.0
1981-01-03,7291.771,0.0,0.0
1981-01-04,7308.731,0.0,0.0
1981-01-05,7407.063,0.0,0.0
1981-01-06,7423.191,0.0,0.0
1981-01-07,7423.543,0.0,0.0
1981-01-08,7408.603,0.0,0.0
1981-01-09,7382.395,0.0,0.0
1981-01-10,7349.113,0.0,0.0
1981-01-11,7328.011,0.0,0.0
1981-01-12,7292.299,0.0,0.0
1981-01-13,7266.221,0.0,0.0
1981-01-14,7242.988,0.0,0.0
1981-01-15,7211.505,0.0,0.0
1981-01-16,7190.579,0.0,0.0
1981-01-17,7161.141,0.0,0.0
1981-01-18,7147.018,0.0,0.0
1981-01-19,7125.384,0.0,0.0
1981-01-20,7118.75,0.0,0.0
1981-01-21,7115.383,0.0,0.0
1981-01-22,7096.254,0.0,0.0
1981-01-23,7094.048,0.0,0.0
1981-01-24,7092.555,0.0,0.0
1981-01-25,7068.986,0.0,0.0
1981-01-26,7040.637,0.0,0.0
1981-01-27,7068.314,0.0,0.0
1981-01-28,7199.95,0.0,0.0
1981-01-29,7189.89,0.0,0.0
1981-01-30,7170.629,0.0,0.0
1981-01-31,7155.368,0.0,0.0
1981-02-01,7146.216,0.0,0.0
1981-02-02,7105.829,0.0,0.0
1981-02-03,7062.66,0.0,0.0
1981-02-04,7028.461,0.0,0.0
1981-02-05,7021.995,0.0,0.0
1981-02-06,7029.809,0.0,0.0
1981-02-07,7006.61,0.0,0.0
1981-02-08,6994.155,0.0,0.0
1981-02-09,6976.969,0.0,0.0
1981-02-10,6984.027,0.0,0.0
1981-02-11,7189.977,0.0,0.0
1981-02-12,7366.828,0.0,0.0
1981-02-13,7397.742,0.0,0.0
1981-02-14,7390.037,0.0,0.0
1981-02-15,7399.086,0.0,0.0
1981-02-16,7419.111,0.0,0.0
1981-02-17,7498.935,0.0,0.0
