Date,Time,Spill (Mm³),QualityCode
1995-08-12,23:59:59,23.180,200
1996-12-13,23:59:59,19.354,200
1997-03-01,23:59:59,11.434,200
1997-12-15,23:59:59,15.782,200
1998-11-30,23:59:59,17.532,200
1999-04-22,23:59:59,18.771,200
1999-09-13,23:59:59,13.293,200
2000-05-10,23:59:59,12.947,200
2000-05-25,23:59:59,13.966,200
2000-07-30,23:59:59,8.928,200
2000-08-21,23:59:59,14.866,200
2000-10-22,23:59:59,5.652,200
2001-07-14,23:59:59,7.777,200
2001-10-02,23:59:59,6.554,200
2002-08-07,23:59:59,21.426,200
2003-03-19,23:59:59,11.593,200
2003-07-30,23:59:59,16.127,200
2003-09-11,23:59:59,16.719,200
2005-06-30,23:59:59,15.277,200
2005-07-04,23:59:59,17.286,200
2005-09-13,23:59:59,9.406,200
2006-02-04,23:59:59,19.908,200
2006-09-11,23:59:59,15.238,200
2007-03-11,23:59:59,8.443,200
2007-08-31,23:59:59,14.330,200
2007-10-21,23:59:59,6.954,200
2009-05-07,23:59:59,13.414,200
2009-06-09,23:59:59,17.250,200
2010-07-17,23:59:59,18.495,200
2011-03-29,23:59:59,15.896,200
2012-01-11,23:59:59,15.968,200
2012-12-06,23:59:59,14.404,200
2013-08-06,23:59:59,9.231,200
2014-02-21,23:59:59,17.574,200
2014-11-06,23:59:59,13.206,200
2015-12-22,23:59:59,10.524,200
2016-01-25,23:59:59,13.116,200
2016-08-29,23:59:59,17.657,200
2016-10-05,23:59:59,20.318,200
2017-05-31,23:59:59,24.826,200
2017-06-10,23:59:59,14.155,200
2017-11-14,23:59:59,18.106,200
2017-12-05,23:59:59,18.328,200
2018-05-27,23:59:59,14.615,200
2018-08-22,23:59:59,17.982,200
2020-02-12,23:59:59,15.750,200
2020-08-03,23:59:59,14.324,200
2020-11-24,23:59:59,15.039,200
2022-11-19,23:59:59,10.873,200
2023-01-06,23:59:59,21.194,200
2023-11-06,23:59:59,14.085,200
2023-11-13,23:59:59,8.014,200
2024-01-26,23:59:59,13.424,200
1980-11-06,23:59:59,15.812,200
1981-01-24,23:59:59,12.904,200
1981-05-14,23:59:59,17.241,200
1981-06-09,23:59:59,14.697,200
1981-12-07,23:59:59,15.304,200
1982-02-22,23:59:59,10.205,200
1982-03-22,23:59:59,11.755,200
1982-06-13,23:59:59,11.535,200
1982-07-28,23:59:59,16.173,200
1984-05-01,23:59:59,11.462,200
1985-12-25,23:59:59,7.903,200
1986-06-14,23:59:59,14.893,200
1987-02-07,23:59:59,6.225,200
1987-09-24,23:59:59,16.814,200
1987-12-10,23:59:59,17.079,200
1988-01-02,23:59:59,14.880,200
1988-02-25,23:59:59,12.314,200
1988-05-21,23:59:59,3.998,200
1988-06-06,23:59:59,10.524,200
1989-08-24,23:59:59,14.010,200
1993-01-21,23:59:59,13.338,200
1993-08-05,23:59:59,10.355,200
1993-09-15,23:59:59,6.088,200
