Date,Time,Spill (Mm³),QualityCode
2021-07-26,23:59:59,1.087,200
2023-03-13,23:59:59,1.453,200
2023-09-21,23:59:59,42.897,200
2023-10-28,23:59:59,23.290,200
2024-05-22,23:59:59,1.093,200
1980-03-09,23:59:59,0.026,200
1980-05-29,23:59:59,2.861,200
1980-12-26,23:59:59,0.024,200
1981-04-14,23:59:59,0.023,200
1981-09-18,23:59:59,0.034,200
1981-12-07,23:59:59,0.000,200
1981-12-22,23:59:59,0.037,200
1982-09-07,23:59:59,0.024,200
1982-09-12,23:59:59,0.024,200
1982-09-26,23:59:59,0.024,200
1982-10-23,23:59:59,0.027,200
1982-12-10,23:59:59,13.947,200
1984-05-02,23:59:59,11.900,200
1985-05-14,23:59:59,3.197,200
1985-07-28,23:59:59,0.043,200
1985-12-10,23:59:59,0.014,200
1986-01-01,23:59:59,0.026,200
1986-06-16,23:59:59,11.486,200
1986-11-26,23:59:59,3.036,200
1986-12-18,23:59:59,0.002,200
1988-09-06,23:59:59,0.020,200
1989-02-06,23:59:59,0.001,200
1989-04-03,23:59:59,0.002,200
1989-05-04,23:59:59,6.103,200
1989-07-24,23:59:59,0.004,200
1990-12-04,23:59:59,0.026,200
1991-10-28,23:59:59,28.658,200
1991-11-28,23:59:59,0.000,200
1992-01-18,23:59:59,0.000,200
1992-09-17,23:59:59,0.000,200
1992-11-15,23:59:59,2.430,200
1993-08-08,23:59:59,0.000,200
1993-11-28,23:59:59,0.174,200
1994-06-08,23:59:59,0.087,200
1995-05-02,23:59:59,0.653,200
1995-05-29,23:59:59,1.275,200
1995-06-06,23:59:59,5.567,200
1995-12-01,23:59:59,0.028,200
1996-04-06,23:59:59,1.530,200
1996-05-05,23:59:59,0.021,200
1996-06-04,23:59:59,8.343,200
1996-06-28,23:59:59,0.017,200
1997-10-23,23:59:59,1.477,200
1998-03-20,23:59:59,27.254,200
1999-06-09,23:59:59,17.756,200
2000-02-29,23:59:59,1.479,200
2000-09-15,23:59:59,2.730,200
2001-04-08,23:59:59,1.259,200
2003-08-31,23:59:59,2.767,200
2003-11-29,23:59:59,14.064,200
2004-11-01,23:59:59,1.518,200
2004-12-18,23:59:59,1.485,200
2006-11-19,23:59:59,8.377,200
2006-12-16,23:59:59,3.671,200
2009-02-15,23:59:59,1.415,200
2010-02-15,23:59:59,1.426,200
2010-09-30,23:59:59,8.868,200
2010-10-31,23:59:59,3.116,200
2010-12-29,23:59:59,8.016,200
2011-07-30,23:59:59,6.567,200
2012-02-12,23:59:59,1.431,200
2012-07-26,23:59:59,1.064,200
2012-11-23,23:59:59,1.377,200
2013-06-03,23:59:59,19.998,200
2013-07-15,23:59:59,16.017,200
2013-07-22,23:59:59,14.784,200
2014-03-01,23:59:59,1.376,200
2014-07-14,23:59:59,13.809,200
2014-10-21,23:59:59,4.710,200
2015-01-02,23:59:59,1.357,200
2015-04-14,23:59:59,1.387,200
2015-09-12,23:59:59,1.071,200
2015-12-19,23:59:59,1.434,200
2016-02-15,23:59:59,1.439,200
2016-05-15,23:59:59,50.046,200
2016-06-24,23:59:59,2.144,200
2016-10-08,23:59:59,1.281,200
2017-02-23,23:59:59,1.468,200
2017-03-17,23:59:59,1.512,200
2017-06-26,23:59:59,1.104,200
2017-12-30,23:59:59,1.452,200
2018-04-29,23:59:59,6.160,200
2018-08-28,23:59:59,1.106,200
2019-04-19,23:59:59,1.277,200
2019-09-20,23:59:59,1.010,200
2020-02-08,23:59:59,27.904,200
2020-02-27,23:59:59,2.127,200
2020-04-27,23:59:59,2.851,200
2020-05-19,23:59:59,1.722,200
2020-07-24,23:59:59,4.272,200
2020-09-22,23:59:59,5.402,200
2021-06-27,23:59:59,12.346,200
2022-02-13,23:59:59,1.447,200
2022-04-08,23:59:59,1.262,200
2022-07-01,23:59:59,2.561,200
2022-10-30,23:59:59,3.780,200
2022-12-14,23:59:59,1.860,200
2023-04-13,23:59:59,1.269,200
2023-08-31,23:59:59,1.098,200
2024-07-26,23:59:59,1.100,200
2024-10-17,23:59:59,26.298,200
1980-04-08,23:59:59,0.023,200
1980-08-15,23:59:59,10.782,200
1980-09-20,23:59:59,31.734,200
1981-01-04,23:59:59,0.064,200
1982-10-25,23:59:59,1.182,200
1983-05-08,23:59:59,0.034,200
1983-08-17,23:59:59,0.036,200
1984-05-27,23:59:59,0.034,200
1984-08-03,23:59:59,7.645,200
1985-01-02,23:59:59,1.831,200
1985-03-11,23:59:59,0.052,200
1985-07-01,23:59:59,0.028,200
1985-10-28,23:59:59,0.004,200
1985-12-11,23:59:59,0.014,200
1986-07-03,23:59:59,4.256,200
1987-03-16,23:59:59,13.161,200
1989-01-05,23:59:59,8.635,200
1989-04-05,23:59:59,0.002,200
1989-07-14,23:59:59,0.004,200
1990-04-09,23:59:59,0.039,200
1991-11-20,23:59:59,0.000,200
1991-12-17,23:59:59,0.000,200
1991-12-25,23:59:59,0.000,200
1992-03-15,23:59:59,0.004,200
1993-05-29,23:59:59,0.008,200
1994-07-02,23:59:59,7.012,200
1994-10-01,23:59:59,0.081,200
1994-10-31,23:59:59,0.073,200
1996-03-04,23:59:59,0.024,200
1996-07-19,23:59:59,0.015,200
1997-03-14,23:59:59,1.589,200
1997-12-23,23:59:59,37.151,200
1998-09-26,23:59:59,6.053,200
1998-10-09,23:59:59,35.553,200
1999-06-04,23:59:59,15.930,200
2000-03-17,23:59:59,1.457,200
2000-07-09,23:59:59,1.847,200
2000-08-27,23:59:59,1.079,200
2001-02-03,23:59:59,1.406,200
2001-12-22,23:59:59,1.503,200
2003-05-28,23:59:59,1.127,200
2004-06-12,23:59:59,1.200,200
2004-07-27,23:59:59,1.221,200
2004-11-10,23:59:59,1.467,200
2004-11-19,23:59:59,1.497,200
2005-06-18,23:59:59,1.183,200
2005-11-16,23:59:59,2.183,200
2006-05-02,23:59:59,2.126,200
2006-06-10,23:59:59,1.413,200
2007-05-26,23:59:59,2.853,200
2007-06-26,23:59:59,1.687,200
2008-01-02,23:59:59,1.386,200
2008-04-01,23:59:59,1.255,200
2008-04-16,23:59:59,1.202,200
2008-07-19,23:59:59,1.357,200
2009-02-17,23:59:59,1.432,200
2009-11-17,23:59:59,1.344,200
2009-11-29,23:59:59,1.358,200
2010-09-12,23:59:59,0.989,200
2011-03-11,23:59:59,1.502,200
2011-12-10,23:59:59,1.423,200
2012-01-25,23:59:59,1.424,200
2012-04-26,23:59:59,1.248,200
2012-09-16,23:59:59,15.480,200
2012-09-19,23:59:59,8.100,200
2012-11-01,23:59:59,22.650,200
2013-01-24,23:59:59,25.310,200
2013-07-07,23:59:59,43.408,200
2014-03-22,23:59:59,1.382,200
2014-12-23,23:59:59,1.362,200
2015-01-27,23:59:59,1.366,200
2015-03-28,23:59:59,1.349,200
2015-09-09,23:59:59,1.069,200
2016-03-07,23:59:59,11.638,200
2016-05-23,23:59:59,56.505,200
2016-09-07,23:59:59,2.928,200
2016-11-10,23:59:59,2.003,200
2017-07-08,23:59:59,1.104,200
2017-12-02,23:59:59,1.448,200
2018-06-15,23:59:59,1.101,200
2018-07-11,23:59:59,9.953,200
2018-08-18,23:59:59,2.785,200
2018-09-04,23:59:59,1.099,200
2019-05-18,23:59:59,14.089,200
2019-08-30,23:59:59,1.005,200
2020-01-28,23:59:59,1.440,200
2020-08-10,23:59:59,2.556,200
2020-11-16,23:59:59,1.402,200
2021-03-27,23:59:59,1.453,200
1980-12-28,23:59:59,0.025,200
1981-08-17,23:59:59,0.023,200
1981-11-04,23:59:59,0.000,200
1982-02-03,23:59:59,45.396,200
1982-04-12,23:59:59,0.034,200
1982-05-03,23:59:59,0.100,200
1983-03-26,23:59:59,0.003,200
1983-04-27,23:59:59,0.000,200
1984-04-06,23:59:59,0.186,200
1984-04-11,23:59:59,0.036,200
1984-06-08,23:59:59,0.032,200
1984-12-06,23:59:59,0.041,200
1985-01-14,23:59:59,46.766,200
1985-09-05,23:59:59,8.336,200
1986-01-13,23:59:59,4.867,200
1987-07-09,23:59:59,0.014,200
1987-10-07,23:59:59,37.767,200
1987-12-29,23:59:59,0.016,200
1988-06-21,23:59:59,0.015,200
1988-12-23,23:59:59,20.699,200
1989-07-31,23:59:59,0.004,200
1989-08-13,23:59:59,0.005,200
1989-12-25,23:59:59,0.042,200
1991-02-19,23:59:59,37.412,200
1993-08-02,23:59:59,0.000,200
1994-05-01,23:59:59,0.000,200
1994-08-29,23:59:59,3.242,200
1995-06-29,23:59:59,0.032,200
1995-09-21,23:59:59,11.710,200
1996-10-06,23:59:59,6.191,200
1998-12-27,23:59:59,1.404,200
1999-09-19,23:59:59,1.180,200
2000-01-22,23:59:59,1.621,200
2000-02-07,23:59:59,1.472,200
2000-06-17,23:59:59,10.316,200
2000-06-22,23:59:59,30.691,200
2000-10-23,23:59:59,20.102,200
2000-11-30,23:59:59,1.452,200
2001-07-05,23:59:59,1.697,200
2001-07-24,23:59:59,1.167,200
2002-02-16,23:59:59,1.408,200
2002-12-15,23:59:59,36.625,200
2003-07-26,23:59:59,1.115,200
2003-12-22,23:59:59,1.457,200
2004-04-30,23:59:59,1.312,200
2005-01-26,23:59:59,1.463,200
2005-02-15,23:59:59,4.282,200
2006-03-14,23:59:59,2.863,200
2006-05-14,23:59:59,1.947,200
2006-09-10,23:59:59,2.632,200
2007-12-02,23:59:59,2.183,200
2007-12-12,23:59:59,1.385,200
2008-02-26,23:59:59,1.384,200
2008-03-18,23:59:59,1.390,200
2008-06-02,23:59:59,1.049,200
2008-08-11,23:59:59,1.084,200
2008-10-24,23:59:59,1.825,200
2008-11-19,23:59:59,1.281,200
2009-07-24,23:59:59,7.507,200
2011-01-04,23:59:59,5.701,200
2014-02-02,23:59:59,1.374,200
2014-08-27,23:59:59,1.056,200
2015-03-27,23:59:59,1.340,200
2016-03-04,23:59:59,14.394,200
2016-07-30,23:59:59,10.785,200
2016-11-09,23:59:59,1.644,200
2017-07-20,23:59:59,1.109,200
2017-07-31,23:59:59,1.114,200
2017-10-11,23:59:59,1.278,200
2018-02-24,23:59:59,1.524,200
2019-05-07,23:59:59,5.551,200
2019-05-21,23:59:59,4.058,200
2020-07-01,23:59:59,2.156,200
2020-09-26,23:59:59,24.190,200
2021-06-02,23:59:59,4.032,200
2022-03-05,23:59:59,1.448,200
2022-05-14,23:59:59,1.097,200
2022-09-18,23:59:59,1.096,200
2022-10-17,23:59:59,1.270,200
2022-10-18,23:59:59,1.271,200
2024-03-25,23:59:59,1.496,200
2024-10-20,23:59:59,5.751,200
1980-03-08,23:59:59,0.028,200
1980-06-13,23:59:59,5.608,200
1982-05-09,23:59:59,0.105,200
1982-08-01,23:59:59,0.024,200
1982-09-08,23:59:59,0.024,200
1983-09-10,23:59:59,0.038,200
1983-11-06,23:59:59,0.000,200
1983-11-19,23:59:59,20.743,200
1984-01-28,23:59:59,73.124,200
1984-02-19,23:59:59,11.999,200
1986-02-10,23:59:59,0.000,200
1986-02-26,23:59:59,8.507,200
1987-05-21,23:59:59,0.032,200
1987-06-16,23:59:59,17.075,200
1987-12-14,23:59:59,0.016,200
1989-02-24,23:59:59,1.692,200
1989-11-05,23:59:59,0.004,200
1990-04-21,23:59:59,0.039,200
1990-11-15,23:59:59,0.026,200
1992-05-05,23:59:59,0.000,200
1992-07-11,23:59:59,0.000,200
1993-04-05,23:59:59,0.006,200
1993-09-17,23:59:59,0.000,200
1994-04-12,23:59:59,0.000,200
1994-05-07,23:59:59,0.000,200
1994-08-18,23:59:59,11.467,200
1995-12-08,23:59:59,5.389,200
1996-05-13,23:59:59,0.021,200
1997-07-11,23:59:59,6.035,200
1998-11-21,23:59:59,1.483,200
1998-12-09,23:59:59,1.606,200
1999-05-23,23:59:59,2.373,200
2001-08-30,23:59:59,2.295,200
2002-05-30,23:59:59,1.094,200
2002-05-31,23:59:59,1.087,200
2002-07-04,23:59:59,7.283,200
2002-09-27,23:59:59,46.148,200
2003-05-09,23:59:59,1.141,200
2003-06-19,23:59:59,5.239,200
2003-10-27,23:59:59,1.983,200
2004-10-16,23:59:59,1.685,200
2004-11-18,23:59:59,1.474,200
2004-12-20,23:59:59,1.446,200
2004-12-27,23:59:59,1.471,200
2005-03-14,23:59:59,24.762,200
2005-10-06,23:59:59,3.824,200
2006-03-22,23:59:59,1.442,200
2006-06-23,23:59:59,3.286,200
2006-11-15,23:59:59,6.466,200
2007-01-19,23:59:59,1.389,200
2007-11-20,23:59:59,2.182,200
2008-06-11,23:59:59,1.647,200
2008-08-30,23:59:59,1.082,200
2008-09-29,23:59:59,7.534,200
2009-07-25,23:59:59,5.534,200
2010-03-26,23:59:59,4.880,200
2012-01-19,23:59:59,1.438,200
2012-03-31,23:59:59,1.424,200
2014-06-13,23:59:59,18.499,200
2014-10-05,23:59:59,1.218,200
2015-11-08,23:59:59,1.434,200
2016-01-24,23:59:59,3.063,200
2017-06-08,23:59:59,1.104,200
2017-07-06,23:59:59,1.106,200
2017-10-06,23:59:59,1.276,200
2018-08-01,23:59:59,1.111,200
2018-12-28,23:59:59,1.443,200
2020-04-06,23:59:59,1.267,200
2020-08-09,23:59:59,2.745,200
2020-09-10,23:59:59,2.284,200
2021-01-03,23:59:59,4.903,200
2021-03-05,23:59:59,1.461,200
2021-04-17,23:59:59,1.278,200
2022-01-15,23:59:59,1.574,200
2022-02-12,23:59:59,1.445,200
2022-03-07,23:59:59,1.452,200
2022-12-12,23:59:59,1.447,200
2023-02-15,23:59:59,1.547,200
2023-08-29,23:59:59,1.098,200
2023-12-02,23:59:59,1.446,200
2024-04-07,23:59:59,1.266,200
1980-06-03,23:59:59,0.017,200
1981-04-26,23:59:59,17.802,200
1981-05-12,23:59:59,2.541,200
1981-06-18,23:59:59,0.030,200
1981-08-15,23:59:59,0.025,200
1982-12-27,23:59:59,37.157,200
1983-04-21,23:59:59,0.158,200
1984-05-11,23:59:59,6.646,200
1984-05-23,23:59:59,0.034,200
1984-10-19,23:59:59,40.456,200
1986-01-11,23:59:59,6.684,200
1986-03-20,23:59:59,0.000,200
1986-05-28,23:59:59,0.056,200
1986-06-21,23:59:59,4.890,200
1987-03-06,23:59:59,1.805,200
1988-06-18,23:59:59,1.080,200
1988-09-20,23:59:59,42.702,200
1989-10-03,23:59:59,0.005,200
1990-05-28,23:59:59,31.419,200
1992-04-11,23:59:59,4.771,200
1992-08-18,23:59:59,0.000,200
1992-12-27,23:59:59,0.000,200
1993-03-20,23:59:59,0.006,200
1994-07-29,23:59:59,0.173,200
1995-03-22,23:59:59,24.086,200
1995-06-17,23:59:59,0.128,200
1996-02-01,23:59:59,0.028,200
1997-02-06,23:59:59,1.409,200
1998-06-21,23:59:59,2.565,200
1999-02-12,23:59:59,1.500,200
1999-04-13,23:59:59,1.266,200
1999-09-15,23:59:59,1.190,200
1999-09-28,23:59:59,1.106,200
2000-01-16,23:59:59,1.423,200
2000-03-30,23:59:59,1.425,200
2000-09-03,23:59:59,1.078,200
2001-12-29,23:59:59,1.466,200
2002-08-26,23:59:59,1.079,200
2002-09-07,23:59:59,1.131,200
2002-10-10,23:59:59,22.750,200
2004-10-17,23:59:59,3.232,200
2005-05-03,23:59:59,5.022,200
2005-07-04,23:59:59,1.159,200
2005-10-26,23:59:59,1.430,200
2006-02-17,23:59:59,1.784,200
2006-12-25,23:59:59,1.674,200
2007-08-15,23:59:59,11.016,200
2007-11-13,23:59:59,11.071,200
2008-01-30,23:59:59,1.378,200
2008-03-14,23:59:59,1.385,200
2008-04-20,23:59:59,1.204,200
2008-05-15,23:59:59,1.066,200
2008-10-23,23:59:59,4.434,200
2008-11-01,23:59:59,1.279,200
2009-04-05,23:59:59,1.258,200
2011-03-31,23:59:59,1.428,200
2011-10-12,23:59:59,1.293,200
2013-04-18,23:59:59,1.378,200
2013-06-18,23:59:59,1.159,200
2013-06-30,23:59:59,1.155,200
2013-12-21,23:59:59,1.383,200
2014-03-30,23:59:59,1.382,200
2014-11-15,23:59:59,3.794,200
2015-02-24,23:59:59,1.340,200
2016-04-25,23:59:59,1.554,200
2016-11-19,23:59:59,4.666,200
2017-05-23,23:59:59,1.120,200
2017-08-11,23:59:59,1.107,200
2017-10-02,23:59:59,1.287,200
2019-11-28,23:59:59,49.257,200
2021-03-20,23:59:59,1.447,200
2021-04-24,23:59:59,1.277,200
2021-10-31,23:59:59,1.238,200
2022-02-28,23:59:59,1.455,200
2023-04-20,23:59:59,1.269,200
2023-06-09,23:59:59,42.354,200
2024-03-11,23:59:59,1.455,200
2024-12-18,23:59:59,1.358,200
1980-02-12,23:59:59,43.092,200
1980-04-27,23:59:59,0.022,200
1980-11-23,23:59:59,17.037,200
1981-08-09,23:59:59,0.025,200
1982-03-29,23:59:59,0.034,200
1982-08-02,23:59:59,0.024,200
1983-10-30,23:59:59,5.052,200
1985-03-31,23:59:59,0.046,200
1985-04-24,23:59:59,10.218,200
1985-08-18,23:59:59,0.008,200
1986-02-16,23:59:59,0.000,200
1986-04-11,23:59:59,5.600,200
1986-06-09,23:59:59,12.066,200
1987-05-02,23:59:59,0.035,200
1987-05-20,23:59:59,0.037,200
1987-06-30,23:59:59,0.028,200
1987-10-26,23:59:59,13.444,200
1988-07-14,23:59:59,0.018,200
1989-03-10,23:59:59,0.001,200
1989-04-09,23:59:59,0.002,200
1989-09-15,23:59:59,0.004,200
1989-12-24,23:59:59,0.043,200
1990-03-26,23:59:59,0.039,200
1990-05-04,23:59:59,3.177,200
1991-11-13,23:59:59,0.000,200
1992-03-08,23:59:59,0.002,200
1992-07-08,23:59:59,6.721,200
1992-08-16,23:59:59,0.000,200
1993-11-21,23:59:59,0.200,200
1994-02-24,23:59:59,5.302,200
1994-05-24,23:59:59,5.935,200
1997-11-13,23:59:59,5.192,200
1999-01-22,23:59:59,1.423,200
1999-02-18,23:59:59,1.431,200
1999-03-11,23:59:59,1.501,200
2000-12-22,23:59:59,1.426,200
2001-03-04,23:59:59,1.437,200
2001-03-05,23:59:59,1.434,200
2001-09-09,23:59:59,1.128,200
2001-09-21,23:59:59,1.414,200
2001-11-17,23:59:59,1.425,200
2002-07-07,23:59:59,3.715,200
2002-12-21,23:59:59,28.383,200
2003-06-22,23:59:59,3.141,200
2003-08-06,23:59:59,1.114,200
2003-12-31,23:59:59,1.453,200
