Date,Time,Spill (Mm³),QualityCode
2023-10-08,23:59:59,1.093,200
2023-10-15,23:59:59,2.756,200
2023-10-21,23:59:59,2.170,200
2023-12-15,23:59:59,8.883,200
2024-03-04,23:59:59,1.240,200
2024-09-07,23:59:59,1.076,200
2024-10-04,23:59:59,1.056,200
1980-01-23,23:59:59,5.960,200
1980-01-29,23:59:59,5.560,200
1981-01-11,23:59:59,1.362,200
1981-02-05,23:59:59,1.436,200
1981-12-27,23:59:59,0.571,200
1982-06-07,23:59:59,0.668,200
1982-06-20,23:59:59,14.422,200
1982-07-28,23:59:59,18.298,200
1982-08-18,23:59:59,17.319,200
1983-03-28,23:59:59,0.603,200
1983-11-20,23:59:59,20.333,200
1984-03-24,23:59:59,3.843,200
1984-06-30,23:59:59,8.365,200
1985-01-20,23:59:59,18.571,200
1985-04-20,23:59:59,0.804,200
1985-05-17,23:59:59,2.853,200
1985-07-23,23:59:59,0.669,200
1986-03-01,23:59:59,3.834,200
1986-04-11,23:59:59,7.081,200
1986-07-24,23:59:59,19.682,200
1986-08-09,23:59:59,18.735,200
1987-06-21,23:59:59,5.983,200
1988-03-03,23:59:59,2.877,200
1988-04-11,23:59:59,6.463,200
1988-09-10,23:59:59,10.146,200
1990-01-04,23:59:59,0.543,200
1990-03-16,23:59:59,0.621,200
1991-10-19,23:59:59,0.432,200
1992-03-21,23:59:59,0.848,200
1992-04-16,23:59:59,0.858,200
1992-10-05,23:59:59,10.243,200
1993-02-18,23:59:59,3.562,200
1993-04-10,23:59:59,0.885,200
1994-01-15,23:59:59,0.805,200
1996-05-01,23:59:59,16.740,200
1996-05-25,23:59:59,0.908,200
1996-06-28,23:59:59,15.000,200
1996-07-06,23:59:59,13.959,200
1996-09-22,23:59:59,2.613,200
1996-10-12,23:59:59,0.763,200
1997-08-25,23:59:59,0.709,200
1997-10-04,23:59:59,0.693,200
1998-02-27,23:59:59,6.428,200
1998-05-02,23:59:59,4.278,200
1998-07-01,23:59:59,1.264,200
1999-08-17,23:59:59,10.444,200
1999-08-22,23:59:59,2.905,200
2000-01-11,23:59:59,2.038,200
2001-02-16,23:59:59,6.063,200
2002-01-25,23:59:59,11.784,200
2002-08-29,23:59:59,2.565,200
2003-04-25,23:59:59,6.862,200
2003-07-23,23:59:59,17.339,200
2003-12-19,23:59:59,0.877,200
2005-12-24,23:59:59,1.025,200
2006-09-12,23:59:59,1.007,200
2008-05-20,23:59:59,8.562,200
2008-07-17,23:59:59,2.064,200
2009-02-26,23:59:59,2.854,200
2009-08-09,23:59:59,9.353,200
2009-11-06,23:59:59,2.713,200
2010-02-06,23:59:59,3.065,200
2010-04-03,23:59:59,3.093,200
2010-07-24,23:59:59,10.658,200
2011-04-06,23:59:59,10.342,200
2011-05-27,23:59:59,9.696,200
2011-12-13,23:59:59,1.129,200
2012-01-30,23:59:59,4.098,200
2012-05-14,23:59:59,4.816,200
2013-03-23,23:59:59,15.778,200
2013-06-10,23:59:59,1.566,200
2013-06-26,23:59:59,16.639,200
2013-08-24,23:59:59,16.852,200
2013-12-21,23:59:59,4.010,200
2014-10-15,23:59:59,3.768,200
2015-03-22,23:59:59,8.276,200
2015-05-18,23:59:59,1.151,200
2015-09-29,23:59:59,4.984,200
2016-10-29,23:59:59,1.000,200
2017-02-20,23:59:59,2.888,200
2017-04-08,23:59:59,4.683,200
2019-04-17,23:59:59,1.053,200
2019-12-01,23:59:59,1.015,200
2021-03-17,23:59:59,4.299,200
2021-07-14,23:59:59,13.013,200
2021-08-03,23:59:59,2.172,200
2021-08-17,23:59:59,5.633,200
2023-03-29,23:59:59,0.710,200
2023-05-15,23:59:59,1.106,200
2023-06-25,23:59:59,15.131,200
2024-07-10,23:59:59,5.175,200
2024-12-15,23:59:59,10.712,200
1980-05-13,23:59:59,15.585,200
1980-11-29,23:59:59,1.467,200
1981-04-13,23:59:59,6.571,200
1981-06-25,23:59:59,6.718,200
1981-11-10,23:59:59,0.562,200
1982-11-13,23:59:59,0.529,200
1984-02-29,23:59:59,1.984,200
1985-03-31,23:59:59,2.847,200
1985-05-02,23:59:59,0.807,200
1986-11-20,23:59:59,2.042,200
1986-12-07,23:59:59,0.650,200
1987-10-17,23:59:59,0.591,200
1987-11-10,23:59:59,0.650,200
1988-06-15,23:59:59,7.565,200
1988-08-27,23:59:59,4.380,200
1988-10-15,23:59:59,11.344,200
1988-11-12,23:59:59,7.951,200
1989-03-26,23:59:59,3.980,200
1989-03-31,23:59:59,14.815,200
1989-08-03,23:59:59,16.251,200
1990-05-17,23:59:59,0.633,200
1990-07-17,23:59:59,0.632,200
1991-02-22,23:59:59,5.964,200
1991-12-02,23:59:59,1.703,200
1992-02-18,23:59:59,5.525,200
1992-12-31,23:59:59,4.024,200
1993-01-10,23:59:59,4.550,200
1993-05-26,23:59:59,0.814,200
1993-06-20,23:59:59,8.597,200
1994-01-06,23:59:59,0.747,200
1995-02-27,23:59:59,17.163,200
1995-12-26,23:59:59,18.093,200
1995-12-28,23:59:59,18.178,200
1996-12-18,23:59:59,1.639,200
1997-01-31,23:59:59,8.999,200
1997-04-09,23:59:59,0.896,200
1997-08-12,23:59:59,0.757,200
1998-12-07,23:59:59,3.570,200
2000-03-03,23:59:59,2.324,200
2000-06-13,23:59:59,11.441,200
2002-06-09,23:59:59,8.392,200
2003-11-19,23:59:59,0.782,200
2004-11-18,23:59:59,0.646,200
2005-07-07,23:59:59,17.005,200
2006-05-17,23:59:59,1.055,200
2006-07-28,23:59:59,10.608,200
2006-09-25,23:59:59,1.016,200
2007-01-29,23:59:59,5.233,200
2007-07-15,23:59:59,13.263,200
2007-12-12,23:59:59,1.051,200
2010-01-25,23:59:59,4.208,200
2010-02-17,23:59:59,10.015,200
2010-03-24,23:59:59,2.762,200
2010-11-05,23:59:59,1.431,200
2011-04-26,23:59:59,9.925,200
2012-03-26,23:59:59,4.282,200
2013-06-30,23:59:59,16.319,200
2013-09-01,23:59:59,5.114,200
2014-07-15,23:59:59,7.067,200
2014-11-16,23:59:59,2.487,200
2014-12-08,23:59:59,2.905,200
2015-06-08,23:59:59,10.748,200
2015-06-25,23:59:59,16.188,200
2015-08-09,23:59:59,11.605,200
2016-01-30,23:59:59,3.691,200
2016-09-30,23:59:59,3.722,200
2017-05-15,23:59:59,8.225,200
2017-08-07,23:59:59,4.535,200
2018-01-29,23:59:59,1.930,200
2018-06-05,23:59:59,17.019,200
2018-08-05,23:59:59,1.055,200
2021-01-19,23:59:59,1.079,200
2023-12-02,23:59:59,2.400,200
2024-12-03,23:59:59,5.419,200
2024-12-20,23:59:59,5.783,200
2024-12-24,23:59:59,5.824,200
1980-02-25,23:59:59,5.560,200
1980-06-16,23:59:59,0.830,200
1981-03-27,23:59:59,6.942,200
1982-08-30,23:59:59,18.223,200
1982-09-15,23:59:59,0.618,200
1983-06-14,23:59:59,4.428,200
1983-06-23,23:59:59,14.232,200
1984-04-16,23:59:59,4.589,200
1984-08-09,23:59:59,0.655,200
1984-11-20,23:59:59,0.686,200
1985-04-17,23:59:59,16.155,200
1986-07-20,23:59:59,3.713,200
1987-02-12,23:59:59,3.299,200
1987-03-31,23:59:59,20.508,200
1988-07-31,23:59:59,7.794,200
1991-02-28,23:59:59,0.637,200
1991-05-14,23:59:59,2.513,200
1992-01-07,23:59:59,3.208,200
1992-08-29,23:59:59,8.081,200
1992-09-15,23:59:59,8.003,200
1993-02-04,23:59:59,3.629,200
1994-09-30,23:59:59,12.612,200
1996-06-15,23:59:59,0.873,200
1996-08-10,23:59:59,4.426,200
1996-12-07,23:59:59,3.545,200
1997-09-18,23:59:59,0.712,200
1997-12-16,23:59:59,0.815,200
1998-05-03,23:59:59,4.329,200
1998-09-25,23:59:59,3.303,200
1999-09-13,23:59:59,0.736,200
1999-10-24,23:59:59,0.724,200
1999-12-31,23:59:59,2.029,200
2001-02-19,23:59:59,11.046,200
2001-05-31,23:59:59,4.203,200
2001-07-06,23:59:59,17.098,200
2002-11-10,23:59:59,4.207,200
2003-04-27,23:59:59,6.847,200
2004-05-03,23:59:59,7.395,200
2004-09-05,23:59:59,11.969,200
2006-04-27,23:59:59,1.055,200
2006-05-10,23:59:59,1.273,200
2006-07-02,23:59:59,12.996,200
2006-07-26,23:59:59,13.859,200
2007-07-21,23:59:59,11.470,200
2007-07-25,23:59:59,16.628,200
2007-10-08,23:59:59,1.305,200
2008-01-20,23:59:59,1.072,200
2008-04-22,23:59:59,12.024,200
2009-07-22,23:59:59,12.594,200
