bucket,estimated_icps,share_of_solar_icps_pct,capacity_mw,average_system_kw,share_of_solar_capacity_pct,estimated_residential_icps,estimated_business_icps
lt_25_kw,90685.9,98.6574,765.209667,8.438,62.0518,42591.2,1235.5
25_to_lt_100_kw,1010.7,1.0995,92.152071,91.1802,7.4727,12.6,370.2
100_to_lt_250_kw,137.8,0.1499,48.655003,353.1285,3.9455,0.0,56.2
250_to_lt_1000_kw,40.3,0.0439,44.572376,1105.7943,3.6144,0.0,9.8
gte_1000_kw,45.4,0.0494,282.588884,6227.6294,22.9155,0.0,12.0
