site_code,poc_code,network_code,generator_code,fuel_code,generation_mwh_2024,days_with_generation_rows
KOE,KOE1101,TOPE,Kohira,Solar,52272.573,366
EDG,EDG0331,HEDL,Rangitaiki,Solar,36530.02,306
WAI,WAI0331,LODE,te_herenga_o_te_rā_solar_farm,SOL,30.355,40
MTO,MTO0331,NPOW,papareireiā_solar_at_maungaturoto,SOL,0.0,86
