date,site_code,reservoir,storage_mm3,storage_change_mm3_day,headwater_inflow_mm3_day,implied_total_outflow_mm3_day,hmd_spill_release_mm3_day,residual_controlled_release_mm3_day
1980-01-09,HWE,Lake Hawea,2184.382,4.025,5.34073,1.31573,1.344,-0.02827
1980-01-09,MAN,Lake Manapouri,302.972,-4.811,2.357251,7.168251,0.035,7.133251
1980-01-09,OHA,Lake Ohau,2.109,-7.68,8.5536,16.2336,0.0,16.2336
1980-01-09,PKI,Lake Pukaki,2413.644,-5.601,16.420838,22.021838,25.561,-3.539162
1980-01-09,TAU,Lake Te Anau,804.675,-7.697,8.733485,16.430485,15.691,0.739485
1980-01-09,TKA,Lake Tekapo,622.29,-6.45,10.510992,16.960992,16.207,0.753992
1980-01-09,TPO,Lake Taupo,714.396,0.853,15.488237,14.635237,14.324,0.311237
1980-01-09,WKA,Lake Waikaremoana,147.575,0.944,0.87791,-0.06609,0.0,-0.06609
1980-01-10,HWE,Lake Hawea,2188.308,3.926,5.21087,1.28487,1.344,-0.05913
1980-01-10,MAN,Lake Manapouri,296.533,-6.439,1.032739,7.471739,3.518,3.953739
1980-01-10,OHA,Lake Ohau,0.0,-2.109,8.1216,10.2306,0.0,10.2306
1980-01-10,PKI,Lake Pukaki,2406.343,-7.301,18.181584,25.482584,23.76,1.722584
1980-01-10,TAU,Lake Te Anau,796.082,-8.593,6.291907,14.884907,19.967,-5.082093
1980-01-10,TKA,Lake Tekapo,615.644,-6.646,10.265702,16.911702,16.173,0.738702
1980-01-10,TPO,Lake Taupo,721.008,6.612,15.07248,8.46048,11.86,-3.39952
1980-01-10,WKA,Lake Waikaremoana,148.202,0.627,0.958176,0.331176,0.0,0.331176
1980-01-11,HWE,Lake Hawea,2192.395,4.087,6.450451,2.363451,1.344,1.019451
1980-01-11,MAN,Lake Manapouri,291.251,-5.282,0.154656,5.436656,13.64,-8.203344
1980-01-11,OHA,Lake Ohau,0.0,0.0,9.8496,9.8496,0.0,9.8496
1980-01-11,PKI,Lake Pukaki,2405.73,-0.613,16.734643,17.347643,20.265,-2.917357
1980-01-11,TAU,Lake Te Anau,772.239,-23.843,12.488602,36.331602,41.193,-4.861398
1980-01-11,TKA,Lake Tekapo,608.881,-6.763,10.461917,17.224917,16.203,1.021917
1980-01-11,TPO,Lake Taupo,719.843,-1.165,12.524544,13.689544,13.376,0.313544
1980-01-11,WKA,Lake Waikaremoana,148.413,0.211,1.327622,1.116622,0.0,1.116622
1980-01-12,HWE,Lake Hawea,2197.301,4.906,5.86129,0.95529,1.413,-0.45771
1980-01-12,MAN,Lake Manapouri,291.449,0.198,2.980282,2.782282,13.825,-11.042718
1980-01-12,OHA,Lake Ohau,0.0,0.0,9.6768,9.6768,0.0,9.6768
1980-01-12,PKI,Lake Pukaki,2409.715,3.985,20.131891,16.146891,22.28,-6.133109
1980-01-12,TAU,Lake Te Anau,743.735,-28.504,12.480394,40.984394,41.962,-0.977606
1980-01-12,TKA,Lake Tekapo,602.58,-6.301,10.613722,16.914722,15.935,0.979722
1980-01-12,TPO,Lake Taupo,720.166,0.323,12.686544,12.363544,13.138,-0.774456
1980-01-12,WKA,Lake Waikaremoana,149.145,0.732,1.410739,0.678739,0.0,0.678739
1980-01-13,HWE,Lake Hawea,2203.077,5.776,7.529328,1.753328,1.436,0.317328
1980-01-13,MAN,Lake Manapouri,289.64,-1.809,1.681085,3.490085,13.684,-10.193915
1980-01-13,OHA,Lake Ohau,0.0,0.0,8.8992,8.8992,0.0,8.8992
1980-01-13,PKI,Lake Pukaki,2410.71,0.995,19.949846,18.954846,25.872,-6.917154
1980-01-13,TAU,Lake Te Anau,715.923,-27.812,15.00984,42.82184,40.855,1.96684
1980-01-13,TKA,Lake Tekapo,597.688,-4.892,10.496995,15.388995,17.374,-1.985005
1980-01-13,TPO,Lake Taupo,719.902,-0.264,9.03744,9.30144,13.956,-4.65456
1980-01-13,WKA,Lake Waikaremoana,149.145,0.0,0.836093,0.836093,0.0,0.836093
1980-01-14,HWE,Lake Hawea,2206.425,3.348,4.166986,0.818986,1.436,-0.617014
1980-01-14,MAN,Lake Manapouri,281.478,-8.162,3.354912,11.516912,10.259,1.257912
1980-01-14,OHA,Lake Ohau,0.0,0.0,8.64,8.64,0.0,8.64
1980-01-14,PKI,Lake Pukaki,2412.021,1.311,22.031222,20.720222,25.886,-5.165778
1980-01-14,TAU,Lake Te Anau,684.744,-31.179,2.884637,34.063637,35.545,-1.481363
1980-01-14,TKA,Lake Tekapo,594.014,-3.674,10.596874,14.270874,13.17,1.100874
1980-01-14,TPO,Lake Taupo,711.654,-8.248,7.324214,15.572214,15.512,0.060214
1980-01-14,WKA,Lake Waikaremoana,149.2,0.055,0.666144,0.611144,0.0,0.611144
1980-01-15,HWE,Lake Hawea,2209.659,3.234,9.320659,6.086659,1.436,4.650659
1980-01-15,MAN,Lake Manapouri,276.104,-5.374,6.910704,12.284704,8.406,3.878704
1980-01-15,OHA,Lake Ohau,0.0,0.0,13.4784,13.4784,0.0,13.4784
1980-01-15,PKI,Lake Pukaki,2417.273,5.252,29.925418,24.673418,25.929,-1.255582
1980-01-15,TAU,Lake Te Anau,664.071,-20.673,21.487507,42.160507,31.999,10.161507
1980-01-15,TKA,Lake Tekapo,590.917,-3.097,13.89191,16.98891,13.325,3.66391
1980-01-15,TPO,Lake Taupo,710.41,-1.244,15.614813,16.858813,14.803,2.055813
1980-01-15,WKA,Lake Waikaremoana,148.883,-0.317,0.983405,1.300405,0.0,1.300405
1980-01-16,HWE,Lake Hawea,2227.128,17.469,20.637677,3.168677,1.436,1.732677
1980-01-16,MAN,Lake Manapouri,272.221,-3.883,18.86207,22.74507,12.114,10.63107
1980-01-16,OHA,Lake Ohau,0.988,0.988,31.6224,30.6344,0.0,30.6344
1980-01-16,PKI,Lake Pukaki,2443.484,26.211,67.605754,41.394754,31.005,10.389754
1980-01-16,TAU,Lake Te Anau,657.153,-6.918,41.29583,48.21383,35.168,13.04583
1980-01-16,TKA,Lake Tekapo,599.507,8.59,30.587587,21.997587,14.568,7.429587
1980-01-16,TPO,Lake Taupo,718.256,7.846,27.438826,19.592826,14.79,4.802826
1980-01-16,WKA,Lake Waikaremoana,148.781,-0.102,1.808698,1.910698,0.0,1.910698
1980-01-17,HWE,Lake Hawea,2242.06,14.932,12.171168,-2.760832,1.436,-4.196832
1980-01-17,MAN,Lake Manapouri,283.602,11.381,16.99825,5.61725,14.807,-9.18975
1980-01-17,OHA,Lake Ohau,12.195,11.207,20.304,9.097,0.0,9.097
1980-01-17,PKI,Lake Pukaki,2480.835,37.351,58.039286,20.688286,43.494,-22.805714
1980-01-17,TAU,Lake Te Anau,674.899,17.746,46.990627,29.244627,39.655,-10.410373
1980-01-17,TKA,Lake Tekapo,618.684,19.177,27.316224,8.139224,16.228,-8.088776
1980-01-17,TPO,Lake Taupo,735.591,17.335,19.804608,2.469608,11.156,-8.686392
1980-01-17,WKA,Lake Waikaremoana,150.195,1.414,2.045434,0.631434,0.0,0.631434
1980-01-18,HWE,Lake Hawea,2250.535,8.475,8.711366,0.236366,1.436,-1.199634
1980-01-18,MAN,Lake Manapouri,286.542,2.94,8.301398,5.361398,14.601,-9.239602
1980-01-18,OHA,Lake Ohau,12.293,0.098,13.824,13.726,0.0,13.726
1980-01-18,PKI,Lake Pukaki,2478.926,-1.909,30.854995,32.763995,48.377,-15.613005
1980-01-18,TAU,Lake Te Anau,668.797,-6.102,35.283773,41.385773,41.63,-0.244227
1980-01-18,TKA,Lake Tekapo,623.841,5.157,16.916774,11.759774,16.201,-4.441226
1980-01-18,TPO,Lake Taupo,736.779,1.188,14.29177,13.10377,14.963,-1.85923
1980-01-18,WKA,Lake Waikaremoana,149.724,-0.471,1.195517,1.666517,0.0,1.666517
1980-01-19,HWE,Lake Hawea,2256.816,6.281,7.253971,0.972971,1.436,-0.463029
1980-01-19,MAN,Lake Manapouri,304.502,17.96,39.988512,22.028512,16.554,5.474512
1980-01-19,OHA,Lake Ohau,9.268,-3.025,14.3424,17.3674,0.0,17.3674
1980-01-19,PKI,Lake Pukaki,2461.312,-17.614,23.435309,41.049309,39.923,1.126309
1980-01-19,TAU,Lake Te Anau,689.363,20.566,75.237466,54.671466,42.677,11.994466
1980-01-19,TKA,Lake Tekapo,623.479,-0.362,14.751158,15.113158,16.906,-1.792842
1980-01-19,TPO,Lake Taupo,727.343,-9.436,12.452141,21.888141,15.56,6.328141
1980-01-19,WKA,Lake Waikaremoana,149.408,-0.316,0.466646,0.782646,0.0,0.782646
1980-01-20,HWE,Lake Hawea,2263.797,6.981,10.859962,3.878962,1.436,2.442962
1980-01-20,MAN,Lake Manapouri,330.859,26.357,36.994838,10.637838,19.631,-8.993162
1980-01-20,OHA,Lake Ohau,6.808,-2.46,15.12,17.58,0.0,17.58
1980-01-20,PKI,Lake Pukaki,2449.043,-12.269,22.33345,34.60245,34.646,-0.04355
1980-01-20,TAU,Lake Te Anau,713.431,24.068,78.383981,54.315981,43.887,10.428981
1980-01-20,TKA,Lake Tekapo,622.185,-1.294,15.945898,17.239898,16.424,0.815898
1980-01-20,TPO,Lake Taupo,737.085,9.742,33.120922,23.378922,13.89,9.488922
1980-01-20,WKA,Lake Waikaremoana,149.251,-0.157,0.322272,0.479272,0.0,0.479272
1980-01-21,HWE,Lake Hawea,2274.311,10.514,10.548922,0.034922,1.884,-1.849078
1980-01-21,MAN,Lake Manapouri,358.912,28.053,22.815994,-5.237006,23.449,-28.686006
1980-01-21,OHA,Lake Ohau,5.897,-0.911,15.7248,16.6358,0.0,16.6358
1980-01-21,PKI,Lake Pukaki,2440.115,-8.928,20.785334,29.713334,31.718,-2.004666
1980-01-21,TAU,Lake Te Anau,743.182,29.751,53.241581,23.490581,45.467,-21.976419
