year,island,inflow_volume_mm3,storage_min_mm3,storage_min_date,storage_max_mm3,storage_max_date,inflow_days_present,storage_days_present,calendar_year_complete_inflows,calendar_year_complete_storage
1968,NI,4764.958445,,,,,366,0,True,False
1968,SI,37757.578982,,,,,366,0,True,False
1968,NZ,42522.537427,,,,,366,0,True,False
1969,NI,4135.266691,,,,,365,0,True,False
1969,SI,31884.68448,,,,,365,0,True,False
1969,NZ,36019.951171,,,,,365,0,True,False
1970,NI,5361.221174,,,,,365,0,True,False
1970,SI,37937.46793,,,,,365,0,True,False
1970,NZ,43298.689104,,,,,365,0,True,False
1971,NI,5768.987443,,,,,365,0,True,False
1971,SI,26168.389373,,,,,365,0,True,False
1971,NZ,31937.376816,,,,,365,0,True,False
1972,NI,4970.757802,,,,,366,0,True,False
1972,SI,34106.901034,,,,,366,0,True,False
1972,NZ,39077.658835,,,,,366,0,True,False
1973,NI,4153.620298,,,,,365,0,True,False
1973,SI,30986.488742,,,,,365,0,True,False
1973,NZ,35140.10904,,,,,365,0,True,False
1974,NI,5082.489158,,,,,365,0,True,False
1974,SI,25788.232656,,,,,365,0,True,False
1974,NZ,30870.721814,,,,,365,0,True,False
1975,NI,5255.149795,,,,,365,0,True,False
1975,SI,37643.166461,,,,,365,0,True,False
1975,NZ,42898.316256,,,,,365,0,True,False
1976,NI,5978.567059,,,,,366,0,True,False
1976,SI,22861.068826,,,,,366,0,True,False
1976,NZ,28839.635885,,,,,366,0,True,False
1977,NI,5284.798301,,,,,365,0,True,False
1977,SI,26590.304419,,,,,365,0,True,False
1977,NZ,31875.10272,,,,,365,0,True,False
1978,NI,4044.812198,,,,,365,0,True,False
1978,SI,32053.992192,,,,,365,0,True,False
1978,NZ,36098.80439,,,,,365,0,True,False
1979,NI,5775.146035,,,,,365,0,True,False
1979,SI,38392.591939,,,,,365,0,True,False
1979,NZ,44167.737974,,,,,365,0,True,False
