date,represented_storage_mm3,price_mean_nzd_mwh,price_p95_nzd_mwh,price_max_nzd_mwh
2024-01-01,4555.157999999999,47.4293287037037,148.86522222222223,160.1577777777778
2024-01-02,4572.458,106.38622685185186,187.96827777777776,249.59333333333336
2024-01-03,4558.383,158.8929398148148,191.13627777777776,191.49222222222224
2024-01-04,4547.764,168.5255787037037,196.25366666666667,245.30777777777777
2024-01-05,4553.97,185.28435185185185,270.77483333333333,282.8977777777778
2024-01-06,4534.821,195.16671296296295,229.42972222222218,257.43888888888887
2024-01-07,4502.972,210.92347222222222,274.78094444444446,277.26222222222225
2024-01-08,4464.867,207.89944444444447,242.60055555555556,265.25666666666666
2024-01-09,4426.246999999999,220.62039351851854,281.4568333333333,283.44111111111107
2024-01-10,4379.716,228.07460648148148,277.09905555555554,303.6922222222222
2024-01-11,4360.664,225.3228472222222,270.6406111111111,288.49111111111114
2024-01-12,4336.093,253.61324074074074,296.4279444444444,296.52555555555557
2024-01-13,4300.845,246.71296296296296,279.0118888888889,285.6022222222222
2024-01-14,4384.034,228.53252314814813,282.17527777777775,285.2211111111111
2024-01-15,4479.213,239.2776388888889,287.6071666666666,295.2966666666667
2024-01-16,4461.933,231.90666666666667,263.17766666666665,279.49111111111114
2024-01-17,4427.302,326.82273148148147,423.78194444444443,469.3166666666667
2024-01-18,4386.048,336.21164351851854,410.5738333333333,456.02111111111117
2024-01-19,4454.933,284.35967592592596,308.38511111111114,310.3077777777778
2024-01-20,5047.452,238.6642824074074,303.47266666666667,307.1677777777778
2024-01-21,5319.221,233.66113425925926,307.02577777777776,309.3933333333333
2024-01-22,5378.179,242.99965277777778,268.3646111111111,280.80222222222227
2024-01-23,5481.816,129.77349537037037,250.25300000000001,252.91
2024-01-24,5570.089,132.98645833333333,242.79538888888882,256.63111111111107
2024-01-25,5557.322,132.98916666666665,169.4242222222222,221.57777777777778
2024-01-26,5520.519,143.83849537037037,189.95977777777776,195.08666666666667
2024-01-27,5655.195,42.67069444444444,138.13588888888887,192.14111111111112
2024-01-28,5838.226,103.57331018518518,196.28827777777778,231.47333333333336
2024-01-29,5949.539,30.542314814814816,116.29838888888888,139.76
2024-01-30,5945.274,174.96064814814815,612.2765555555554,739.6777777777778
2024-01-31,5916.152,188.24391203703703,411.56794444444444,528.7866666666666
2024-02-01,5875.843,151.73699074074074,260.4092222222222,274.3588888888889
2024-02-02,5853.211,53.04289351851852,113.97194444444443,179.72777777777776
2024-02-03,5842.845,9.020069444444445,40.68305555555555,70.70111111111112
2024-02-04,5824.138,7.267662037037037,17.099888888888888,30.764444444444443
2024-02-05,5837.0560000000005,50.62979166666667,140.189,147.89999999999998
2024-02-06,5860.063,122.57157407407408,207.7867222222222,230.4811111111111
2024-02-07,5934.722,186.83620370370372,349.52599999999984,650.9744444444445
2024-02-08,5906.413,162.26789351851852,248.2562777777777,268.1744444444444
2024-02-09,5842.62,145.41226851851852,200.8536111111111,214.2388888888889
2024-02-10,5780.539,113.220625,184.22505555555554,209.89888888888888
2024-02-11,5728.134,64.87761574074074,173.7228888888889,200.41666666666666
2024-02-12,5651.117,151.1853935185185,217.6898333333333,220.95
2024-02-13,5585.544,164.4326851851852,200.8192222222222,210.00666666666666
2024-02-14,5525.118,138.68921296296296,200.69766666666666,216.23
2024-02-15,5542.267,164.6845138888889,241.6855,244.37111111111113
2024-02-16,5613.966,214.65597222222223,244.23844444444444,245.70222222222225
2024-02-17,5590.295,190.42631944444443,227.32783333333333,233.01222222222225
2024-02-18,5553.229,137.1075,206.67116666666666,209.78666666666666
2024-02-19,5539.441,135.17923611111112,231.7267222222222,240.39999999999998
2024-02-20,5508.255,156.7269212962963,229.93522222222225,340.0022222222222
2024-02-21,5465.928,191.78340277777775,263.6578333333333,340.0988888888889
2024-02-22,5413.128,295.35719907407406,430.80400000000003,819.678888888889
2024-02-23,5348.745,179.3222685185185,251.37311111111106,283.58666666666664
2024-02-24,5320.323,88.42740740740742,161.9281111111111,174.3111111111111
2024-02-25,5366.466,130.1965972222222,230.86655555555555,282.48777777777775
2024-02-26,5338.201,230.5132638888889,308.05277777777775,346.7111111111111
2024-02-27,5294.181,222.63574074074074,269.88894444444446,294.29555555555555
2024-02-28,5241.7029999999995,208.3997222222222,246.98138888888886,251.54555555555555
2024-02-29,5195.435,218.2423611111111,259.1603333333333,271.54999999999995
2024-03-01,5145.502,213.61680555555554,239.45666666666665,250.30555555555554
2024-03-02,5102.2880000000005,182.25875,236.82394444444444,239.82555555555552
2024-03-03,5069.597,151.35550925925926,231.38844444444445,248.85000000000002
2024-03-04,5098.402,189.4209259259259,267.2902222222222,270.9788888888889
2024-03-05,5143.567,123.42851851851852,227.02155555555555,240.2877777777778
2024-03-06,5119.685,195.5326851851852,250.79572222222222,420.5855555555556
2024-03-07,5097.004,158.97097222222223,223.33994444444443,232.18555555555557
2024-03-08,5077.918,180.8139351851852,252.9321111111111,300.7733333333333
2024-03-09,5043.998,195.22828703703703,249.34577777777776,250.82444444444445
2024-03-10,5008.913,205.18381944444445,244.47505555555554,249.41666666666666
2024-03-11,4986.894,180.56016203703703,260.9153333333333,270.80222222222227
2024-03-12,4925.517,237.63194444444446,287.0277222222222,328.88666666666666
2024-03-13,4887.209,222.90939814814814,279.8952777777778,286.93
2024-03-14,4847.891,222.02817129629628,257.1602222222222,271.17555555555555
2024-03-15,4818.224999999999,227.42863425925927,260.99066666666664,263.38111111111107
2024-03-16,4795.952,195.9837962962963,245.37061111111112,258.6211111111111
2024-03-17,4759.952,177.1113425925926,248.5902222222222,253.59111111111113
2024-03-18,4703.226000000001,209.57122685185186,265.77761111111107,271.4088888888889
2024-03-19,4633.183,250.51243055555554,271.39033333333333,272.0733333333333
2024-03-20,4566.406,264.2319444444444,326.37488888888885,559.098888888889
2024-03-21,4497.603,273.5298148148148,308.50866666666667,400.9211111111111
2024-03-22,4420.576,279.71372685185185,304.79227777777777,346.53222222222223
2024-03-23,4351.284,278.91298611111114,301.99238888888885,304.78333333333336
2024-03-24,4301.263,257.5621527777778,289.2344444444444,295.47555555555556
2024-03-25,4309.654,235.4334490740741,277.433,294.7555555555556
2024-03-26,4408.704,252.59574074074075,285.223,296.8311111111111
2024-03-27,4491.984,255.54946759259258,278.98216666666667,281.69444444444446
2024-03-28,4549.409,240.5347222222222,274.4720555555556,278.04
2024-03-29,4543.897,247.94527777777776,270.94761111111114,272.7655555555555
2024-03-30,4516.489,249.34375,270.5011666666667,271.3777777777778
2024-03-31,4669.4400000000005,253.74543981481483,269.9015,271.4122222222222
2024-04-01,4620.117,254.77944444444447,280.43416666666667,280.7744444444445
2024-04-02,4567.825,272.965625,290.0386111111111,292.57666666666665
2024-04-03,4511.496,253.91418981481482,285.6077222222222,310.8966666666667
2024-04-04,4465.118,272.5796759259259,308.35383333333334,309.4766666666667
2024-04-05,4420.976000000001,266.86949074074073,313.85083333333336,330.46333333333337
2024-04-06,4369.292,252.61865740740743,272.8793888888889,280.80111111111114
2024-04-07,4320.7480000000005,255.73935555555556,296.61066666666665,301.7033333333333
2024-04-08,4266.044,256.59344907407404,300.8165,312.7944444444445
2024-04-09,4241.22,215.7140046296296,255.07588888888887,277.94888888888886
2024-04-10,4421.399,222.4593287037037,267.9507777777778,271.05555555555554
2024-04-11,4886.979,251.4570138888889,278.8256666666666,280.7933333333333
2024-04-12,5475.8189999999995,222.73069444444445,277.50505555555554,279.06666666666666
2024-04-13,5705.023,176.68233796296295,259.5705,261.9344444444444
2024-04-14,5781.32,153.99439814814815,258.1078888888889,269.3577777777778
2024-04-15,5785.601,186.90131944444445,278.9218333333333,284.74888888888887
2024-04-16,5769.597,162.6563425925926,240.50905555555556,254.0222222222222
2024-04-17,5745.589,163.7761111111111,256.3943888888889,281.1088888888889
2024-04-18,5715.329,128.6891898148148,213.16055555555556,245.96666666666664
2024-04-19,5708.181,198.9737037037037,270.89944444444444,282.1166666666667
2024-04-20,5686.728,218.97766203703702,317.8520555555555,359.09999999999997
2024-04-21,5652.599999999999,204.48159722222223,254.84005555555555,270.54
2024-04-22,5606.781,218.40365740740742,279.9073333333333,280.6844444444444
2024-04-23,5538.826,244.48796296296294,277.6687777777778,284.1455555555556
2024-04-24,5491.493,219.64817129629628,251.811,265.8722222222222
2024-04-25,5490.716,196.33087962962964,248.7351666666667,256.0877777777778
2024-04-26,5569.378,185.8534259259259,248.28622222222222,256.54777777777775
2024-04-27,5570.991,216.25870370370373,246.147,249.63222222222223
2024-04-28,5539.315,236.2313425925926,260.39216666666664,271.7055555555555
2024-04-29,5491.566,256.7522916666667,283.2849444444445,525.9433333333333
2024-04-30,5448.725,238.006875,272.0548888888889,276.4822222222222
2024-05-01,5469.978,226.1687037037037,264.2767222222222,475.9266666666667
2024-05-02,5454.71,235.13108796296297,264.6692777777778,303.5588888888889
2024-05-03,5404.975,240.91208333333336,279.2220555555556,388.55111111111114
2024-05-04,5335.969,229.81814814814814,256.6386111111111,261.0422222222222
2024-05-05,5267.29,230.8805324074074,255.57616666666667,265.53666666666663
2024-05-06,5196.373,235.3699537037037,269.2882222222222,399.7711111111111
2024-05-07,5128.359,248.33627314814814,276.263,438.38111111111107
2024-05-08,5046.704,650.098912037037,3245.130166666666,4567.832222222222
2024-05-09,4965.967,478.06692129629624,1760.455833333332,3296.8777777777777
2024-05-10,4873.216,349.75474537037036,526.1633333333333,3016.8733333333334
2024-05-11,4785.999,262.2925462962963,294.53,414.8566666666667
2024-05-12,4697.313,270.48541666666665,325.4487222222222,553.8088888888889
2024-05-13,4614.662,310.89613425925927,518.8322222222222,647.3622222222223
2024-05-14,4539.0779999999995,391.82990740740746,725.3492222222221,2022.9744444444445
2024-05-15,4476.031,271.1657175925926,295.72738888888887,337.01222222222225
2024-05-16,4412.206,264.0649305555556,288.4476111111111,299.1033333333333
2024-05-17,4348.226,271.7413425925926,335.6362222222222,364.31111111111113
2024-05-18,4313.452,252.9394675925926,314.5647222222222,344.9211111111111
2024-05-19,4298.647,275.923587962963,290.1925,293.94888888888886
2024-05-20,4242.242,391.4640509259259,589.4322222222222,706.5822222222222
2024-05-21,4209.025,250.2033796296296,297.12066666666664,301.24333333333334
2024-05-22,4189.3589999999995,241.15826388888888,300.60805555555555,301.4944444444444
2024-05-23,4144.628,292.58886574074074,328.17277777777775,362.00888888888886
2024-05-24,4078.66,304.2515972222222,363.1798333333333,408.09333333333336
2024-05-25,4011.471,271.9509953703704,293.30749999999995,294.4566666666667
2024-05-26,3964.171,223.34560185185185,289.62955555555556,289.97222222222223
2024-05-27,3904.96,306.9670601851852,498.3904444444442,640.3477777777778
2024-05-28,3834.8709999999996,314.5465046296296,432.52177777777774,616.651111111111
2024-05-29,3782.417,337.46965277777775,559.0127777777776,754.2522222222221
2024-05-30,3724.91,289.08928240740744,327.2037222222222,363.6277777777778
2024-05-31,3685.384,231.63319444444446,265.2733888888889,272.8611111111111
2024-06-01,3752.428,149.7025925925926,253.638,282.29
2024-06-02,3845.256,197.91974537037038,265.5326111111111,269.81
2024-06-03,3835.032,200.28578703703704,320.84616666666665,331.12
2024-06-04,3795.302,285.673587962963,326.57655555555556,326.6333333333333
2024-06-05,3742.514,300.4671064814815,328.23344444444444,329.4266666666667
2024-06-06,3689.3520000000003,287.55069444444445,324.82616666666667,329.31
2024-06-07,3639.1189999999997,283.78442129629633,304.38533333333334,316.9866666666667
2024-06-08,3586.455,262.1390740740741,299.87444444444446,301.6411111111111
2024-06-09,3541.4080000000004,275.0196990740741,309.74033333333335,316.07666666666665
2024-06-10,3560.237,211.45000000000002,283.9893333333333,292.31888888888886
2024-06-11,3558.4990000000003,254.48525462962962,308.12916666666666,316.99888888888887
2024-06-12,3504.755,302.1440277777778,342.82272222222224,405.37333333333333
2024-06-13,3458.0060000000003,288.1378009259259,319.05816666666664,327.9533333333333
2024-06-14,3458.252,280.004212962963,323.8257777777778,327.9477777777778
2024-06-15,3468.877,231.32092592592593,277.71972222222223,293.7322222222222
2024-06-16,3474.223,252.5812962962963,275.1656111111111,286.27666666666664
2024-06-17,3483.004,279.1145601851852,319.6649444444444,325.0733333333333
2024-06-18,3458.576,237.1786111111111,259.2041111111111,262.3933333333333
2024-06-19,3433.906,261.4279398148148,309.6813888888889,325.76
