TimePeriod,Scenario,Status,Unit,Value,Variable
2015,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2015,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2015,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2015,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2016,Constraint,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2016,Environmental,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2016,Growth,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2016,Innovation,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2016,Reference,Historical,Percentage,0,Share of vehicle kilometres travelled that use electricity
2017,Constraint,Historical,Percentage,0.001,Share of vehicle kilometres travelled that use electricity
2017,Environmental,Historical,Percentage,0.001,Share of vehicle kilometres travelled that use electricity
2017,Growth,Historical,Percentage,0.001,Share of vehicle kilometres travelled that use electricity
2017,Innovation,Historical,Percentage,0.001,Share of vehicle kilometres travelled that use electricity
2017,Reference,Historical,Percentage,0.001,Share of vehicle kilometres travelled that use electricity
2018,Constraint,Historical,Percentage,0.002,Share of vehicle kilometres travelled that use electricity
2018,Environmental,Historical,Percentage,0.002,Share of vehicle kilometres travelled that use electricity
2018,Growth,Historical,Percentage,0.002,Share of vehicle kilometres travelled that use electricity
2018,Innovation,Historical,Percentage,0.002,Share of vehicle kilometres travelled that use electricity
2018,Reference,Historical,Percentage,0.002,Share of vehicle kilometres travelled that use electricity
2019,Constraint,Historical,Percentage,0.003,Share of vehicle kilometres travelled that use electricity
2019,Environmental,Historical,Percentage,0.003,Share of vehicle kilometres travelled that use electricity
2019,Growth,Historical,Percentage,0.003,Share of vehicle kilometres travelled that use electricity
2019,Innovation,Historical,Percentage,0.003,Share of vehicle kilometres travelled that use electricity
2019,Reference,Historical,Percentage,0.003,Share of vehicle kilometres travelled that use electricity
