TimePeriod,Variable,Value,Unit,Scenario,Status
2034,South Island share of national demand,0.39,Percentage,Constraint,Projected
2035,South Island share of national demand,0.39,Percentage,Constraint,Projected
2036,South Island share of national demand,0.39,Percentage,Constraint,Projected
2037,South Island share of national demand,0.39,Percentage,Constraint,Projected
2038,South Island share of national demand,0.39,Percentage,Constraint,Projected
2039,South Island share of national demand,0.39,Percentage,Constraint,Projected
2040,South Island share of national demand,0.39,Percentage,Constraint,Projected
2041,South Island share of national demand,0.39,Percentage,Constraint,Projected
2042,South Island share of national demand,0.39,Percentage,Constraint,Projected
2043,South Island share of national demand,0.39,Percentage,Constraint,Projected
2044,South Island share of national demand,0.39,Percentage,Constraint,Projected
2045,South Island share of national demand,0.39,Percentage,Constraint,Projected
2046,South Island share of national demand,0.39,Percentage,Constraint,Projected
2047,South Island share of national demand,0.39,Percentage,Constraint,Projected
2048,South Island share of national demand,0.39,Percentage,Constraint,Projected
2049,South Island share of national demand,0.39,Percentage,Constraint,Projected
2050,South Island share of national demand,0.39,Percentage,Constraint,Projected
2024,North Island share of national demand,0.61,Percentage,Innovation,Projected
2025,North Island share of national demand,0.608,Percentage,Innovation,Projected
2026,North Island share of national demand,0.606,Percentage,Innovation,Projected
2027,North Island share of national demand,0.604,Percentage,Innovation,Projected
2028,North Island share of national demand,0.602,Percentage,Innovation,Projected
2029,North Island share of national demand,0.6,Percentage,Innovation,Projected
2030,North Island share of national demand,0.598,Percentage,Innovation,Projected
2031,North Island share of national demand,0.596,Percentage,Innovation,Projected
2032,North Island share of national demand,0.594,Percentage,Innovation,Projected
2033,North Island share of national demand,0.592,Percentage,Innovation,Projected
2034,North Island share of national demand,0.59,Percentage,Innovation,Projected
2035,North Island share of national demand,0.588,Percentage,Innovation,Projected
2036,North Island share of national demand,0.586,Percentage,Innovation,Projected
2037,North Island share of national demand,0.584,Percentage,Innovation,Projected
2038,North Island share of national demand,0.582,Percentage,Innovation,Projected
2039,North Island share of national demand,0.58,Percentage,Innovation,Projected
2040,North Island share of national demand,0.578,Percentage,Innovation,Projected
2041,North Island share of national demand,0.576,Percentage,Innovation,Projected
2042,North Island share of national demand,0.574,Percentage,Innovation,Projected
2043,North Island share of national demand,0.572,Percentage,Innovation,Projected
2044,North Island share of national demand,0.57,Percentage,Innovation,Projected
2045,North Island share of national demand,0.568,Percentage,Innovation,Projected
2046,North Island share of national demand,0.566,Percentage,Innovation,Projected
2047,North Island share of national demand,0.564,Percentage,Innovation,Projected
2048,North Island share of national demand,0.562,Percentage,Innovation,Projected
2049,North Island share of national demand,0.56,Percentage,Innovation,Projected
