TimePeriod,Scenario,Sector,Variable,Status,Unit,Value
1994,Growth,Commercial,Electricity demand,Historical,TWh,5.521
1994,Growth,Industrial,Electricity demand,Historical,TWh,14.573
1994,Growth,Residential,Electricity demand,Historical,TWh,10.38
1994,Growth,Transport,Electricity demand,Historical,TWh,0.065
1994,Innovation,Commercial,Electricity demand,Historical,TWh,5.521
1994,Innovation,Industrial,Electricity demand,Historical,TWh,14.573
1994,Innovation,Residential,Electricity demand,Historical,TWh,10.38
1994,Innovation,Transport,Electricity demand,Historical,TWh,0.065
1994,Reference,Commercial,Electricity demand,Historical,TWh,5.521
1994,Reference,Industrial,Electricity demand,Historical,TWh,14.573
1994,Reference,Residential,Electricity demand,Historical,TWh,10.38
1994,Reference,Transport,Electricity demand,Historical,TWh,0.065
1995,Constraint,Commercial,Electricity demand,Historical,TWh,5.772
1995,Constraint,Industrial,Electricity demand,Historical,TWh,14.801
1995,Constraint,Residential,Electricity demand,Historical,TWh,10.546
1995,Constraint,Transport,Electricity demand,Historical,TWh,0.067
1995,Environmental,Commercial,Electricity demand,Historical,TWh,5.772
1995,Environmental,Industrial,Electricity demand,Historical,TWh,14.801
1995,Environmental,Residential,Electricity demand,Historical,TWh,10.546
1995,Environmental,Transport,Electricity demand,Historical,TWh,0.067
1995,Growth,Commercial,Electricity demand,Historical,TWh,5.772
1995,Growth,Industrial,Electricity demand,Historical,TWh,14.801
1995,Growth,Residential,Electricity demand,Historical,TWh,10.546
1995,Growth,Transport,Electricity demand,Historical,TWh,0.067
1995,Innovation,Commercial,Electricity demand,Historical,TWh,5.772
1995,Innovation,Industrial,Electricity demand,Historical,TWh,14.801
1995,Innovation,Residential,Electricity demand,Historical,TWh,10.546
1995,Innovation,Transport,Electricity demand,Historical,TWh,0.067
1995,Reference,Commercial,Electricity demand,Historical,TWh,5.772
1995,Reference,Industrial,Electricity demand,Historical,TWh,14.801
1995,Reference,Residential,Electricity demand,Historical,TWh,10.546
1995,Reference,Transport,Electricity demand,Historical,TWh,0.067
1996,Constraint,Commercial,Electricity demand,Historical,TWh,5.934
1996,Constraint,Industrial,Electricity demand,Historical,TWh,15.047
1996,Constraint,Residential,Electricity demand,Historical,TWh,10.874
1996,Constraint,Transport,Electricity demand,Historical,TWh,0.068
1996,Environmental,Commercial,Electricity demand,Historical,TWh,5.934
1996,Environmental,Industrial,Electricity demand,Historical,TWh,15.047
1996,Environmental,Residential,Electricity demand,Historical,TWh,10.874
1996,Environmental,Transport,Electricity demand,Historical,TWh,0.068
1996,Growth,Commercial,Electricity demand,Historical,TWh,5.934
1996,Growth,Industrial,Electricity demand,Historical,TWh,15.047
1996,Growth,Residential,Electricity demand,Historical,TWh,10.874
1996,Growth,Transport,Electricity demand,Historical,TWh,0.068
1996,Innovation,Commercial,Electricity demand,Historical,TWh,5.934
1996,Innovation,Industrial,Electricity demand,Historical,TWh,15.047
1996,Innovation,Residential,Electricity demand,Historical,TWh,10.874
1996,Innovation,Transport,Electricity demand,Historical,TWh,0.068
1996,Reference,Commercial,Electricity demand,Historical,TWh,5.934
1996,Reference,Industrial,Electricity demand,Historical,TWh,15.047
1996,Reference,Residential,Electricity demand,Historical,TWh,10.874
1996,Reference,Transport,Electricity demand,Historical,TWh,0.068
1997,Constraint,Commercial,Electricity demand,Historical,TWh,6.432
1997,Constraint,Industrial,Electricity demand,Historical,TWh,15.714
1997,Constraint,Residential,Electricity demand,Historical,TWh,11.035
1997,Constraint,Transport,Electricity demand,Historical,TWh,0.072
1997,Environmental,Commercial,Electricity demand,Historical,TWh,6.432
1997,Environmental,Industrial,Electricity demand,Historical,TWh,15.714
