TimePeriod,Variable,Scenario,Sector,Unit,Value
2026,Total ICPs,Constraint,Commercial,Number,3285
2026,Total ICPs,Constraint,Industrial,Number,2713
2026,Total ICPs,Constraint,Residential,Number,84169
2026,Total ICPs,Environmental,Commercial,Number,3335
2026,Total ICPs,Environmental,Industrial,Number,2748
2026,Total ICPs,Environmental,Residential,Number,86008
2026,Total ICPs,Growth,Commercial,Number,3321
2026,Total ICPs,Growth,Industrial,Number,2737
2026,Total ICPs,Growth,Residential,Number,85270
2026,Total ICPs,Innovation,Commercial,Number,3335
2026,Total ICPs,Innovation,Industrial,Number,2748
2026,Total ICPs,Innovation,Residential,Number,86008
2026,Total ICPs,Reference,Commercial,Number,3307
2026,Total ICPs,Reference,Industrial,Number,2724
2026,Total ICPs,Reference,Residential,Number,84902
2026,Total capacity,Constraint,Commercial,MW,72.06
2026,Total capacity,Constraint,Industrial,MW,76.794
2026,Total capacity,Constraint,Residential,MW,399.5079
2026,Total capacity,Environmental,Commercial,MW,73.153
2026,Total capacity,Environmental,Industrial,MW,77.654
2026,Total capacity,Environmental,Residential,MW,408.26
2026,Total capacity,Growth,Commercial,MW,72.845
2026,Total capacity,Growth,Industrial,MW,77.379
2026,Total capacity,Growth,Residential,MW,404.7474
2026,Total capacity,Innovation,Commercial,MW,73.153
2026,Total capacity,Innovation,Industrial,MW,77.654
2026,Total capacity,Innovation,Residential,MW,408.26
2026,Total capacity,Reference,Commercial,MW,72.537
2026,Total capacity,Reference,Industrial,MW,77.069
2026,Total capacity,Reference,Residential,MW,402.9962
2027,Annual generation from new connections,Constraint,Commercial,MWh,43941.2988
2027,Annual generation from new connections,Constraint,Industrial,MWh,40258.989
2027,Annual generation from new connections,Constraint,Residential,MWh,246893.2197
2027,Annual generation from new connections,Environmental,Commercial,MWh,47109.1776
2027,Annual generation from new connections,Environmental,Industrial,MWh,42773.985
2027,Annual generation from new connections,Environmental,Residential,MWh,272229.264
2027,Annual generation from new connections,Growth,Commercial,MWh,46195.9038
2027,Annual generation from new connections,Growth,Industrial,MWh,41935.653
2027,Annual generation from new connections,Growth,Residential,MWh,262019.01534
2027,Annual generation from new connections,Innovation,Commercial,MWh,47109.1776
2027,Annual generation from new connections,Innovation,Industrial,MWh,42773.985
2027,Annual generation from new connections,Innovation,Residential,MWh,272229.264
2027,Annual generation from new connections,Reference,Commercial,MWh,45301.68300000001
2027,Annual generation from new connections,Reference,Industrial,MWh,41097.321
2027,Annual generation from new connections,Reference,Residential,MWh,256947.23376
2027,Cumulative new ICPs,Constraint,Commercial,Number,1582
2027,Cumulative new ICPs,Constraint,Industrial,Number,1296
2027,Cumulative new ICPs,Constraint,Residential,Number,40841
2027,Cumulative new ICPs,Environmental,Commercial,Number,1696
2027,Cumulative new ICPs,Environmental,Industrial,Number,1377
2027,Cumulative new ICPs,Environmental,Residential,Number,45032
2027,Cumulative new ICPs,Growth,Commercial,Number,1663
2027,Cumulative new ICPs,Growth,Industrial,Number,1350
2027,Cumulative new ICPs,Growth,Residential,Number,43343
2027,Cumulative new ICPs,Innovation,Commercial,Number,1696
2027,Cumulative new ICPs,Innovation,Industrial,Number,1377
2027,Cumulative new ICPs,Innovation,Residential,Number,45032
2027,Cumulative new ICPs,Reference,Commercial,Number,1631
2027,Cumulative new ICPs,Reference,Industrial,Number,1323
2027,Cumulative new ICPs,Reference,Residential,Number,42504
2027,Cumulative new capacity,Constraint,Commercial,MW,34.594
2027,Cumulative new capacity,Constraint,Industrial,MW,31.695
2027,Cumulative new capacity,Constraint,Residential,MW,194.3735
2027,Cumulative new capacity,Environmental,Commercial,MW,37.088
2027,Cumulative new capacity,Environmental,Industrial,MW,33.675
2027,Cumulative new capacity,Environmental,Residential,MW,214.32
2027,Cumulative new capacity,Growth,Commercial,MW,36.369
2027,Cumulative new capacity,Growth,Industrial,MW,33.015
2027,Cumulative new capacity,Growth,Residential,MW,206.2817
2027,Cumulative new capacity,Innovation,Commercial,MW,37.088
2027,Cumulative new capacity,Innovation,Industrial,MW,33.675
2027,Cumulative new capacity,Innovation,Residential,MW,214.32
2027,Cumulative new capacity,Reference,Commercial,MW,35.665
2027,Cumulative new capacity,Reference,Industrial,MW,32.355
2027,Cumulative new capacity,Reference,Residential,MW,202.2888
2027,Total ICPs,Constraint,Commercial,Number,3638
2027,Total ICPs,Constraint,Industrial,Number,2997
2027,Total ICPs,Constraint,Residential,Number,93427
2027,Total ICPs,Environmental,Commercial,Number,3752
2027,Total ICPs,Environmental,Industrial,Number,3078
2027,Total ICPs,Environmental,Residential,Number,97618
2027,Total ICPs,Growth,Commercial,Number,3719
2027,Total ICPs,Growth,Industrial,Number,3051
2027,Total ICPs,Growth,Residential,Number,95929
2027,Total ICPs,Innovation,Commercial,Number,3752
2027,Total ICPs,Innovation,Industrial,Number,3078
2027,Total ICPs,Innovation,Residential,Number,97618
2027,Total ICPs,Reference,Commercial,Number,3687
2027,Total ICPs,Reference,Industrial,Number,3024
2027,Total ICPs,Reference,Residential,Number,95090
2027,Total capacity,Constraint,Commercial,MW,79.777
2027,Total capacity,Constraint,Industrial,MW,83.744
2027,Total capacity,Constraint,Residential,MW,443.5685
2027,Total capacity,Environmental,Commercial,MW,82.271
2027,Total capacity,Environmental,Industrial,MW,85.724
2027,Total capacity,Environmental,Residential,MW,463.515
2027,Total capacity,Growth,Commercial,MW,81.55199999999999
2027,Total capacity,Growth,Industrial,MW,85.064
2027,Total capacity,Growth,Residential,MW,455.4767
2027,Total capacity,Innovation,Commercial,MW,82.271
2027,Total capacity,Innovation,Industrial,MW,85.724
2027,Total capacity,Innovation,Residential,MW,463.515
2027,Total capacity,Reference,Commercial,MW,80.848
2027,Total capacity,Reference,Industrial,MW,84.404
2027,Total capacity,Reference,Residential,MW,451.4838
2028,Annual generation from new connections,Constraint,Commercial,MWh,51693.3294
2028,Annual generation from new connections,Constraint,Industrial,MWh,47092.665
2028,Annual generation from new connections,Constraint,Residential,MWh,292082.49
2028,Annual generation from new connections,Environmental,Commercial,MWh,57554.0322
2028,Annual generation from new connections,Environmental,Industrial,MWh,51665.385
2028,Annual generation from new connections,Environmental,Residential,MWh,339113.93136
2028,Annual generation from new connections,Growth,Commercial,MWh,55830.3708
2028,Annual generation from new connections,Growth,Industrial,MWh,50115.741
2028,Annual generation from new connections,Growth,Residential,MWh,320005.16958
2028,Annual generation from new connections,Innovation,Commercial,MWh,57554.0322
2028,Annual generation from new connections,Innovation,Industrial,MWh,51665.385
2028,Annual generation from new connections,Innovation,Residential,MWh,339113.93136
2028,Annual generation from new connections,Reference,Commercial,MWh,54162.5982
2028,Annual generation from new connections,Reference,Industrial,MWh,48578.799
2028,Annual generation from new connections,Reference,Residential,MWh,310598.06838
2028,Cumulative new ICPs,Constraint,Commercial,Number,1861
2028,Cumulative new ICPs,Constraint,Industrial,Number,1516
2028,Cumulative new ICPs,Constraint,Residential,Number,48316
2028,Cumulative new ICPs,Environmental,Commercial,Number,2072
2028,Cumulative new ICPs,Environmental,Industrial,Number,1663
2028,Cumulative new ICPs,Environmental,Residential,Number,56096
2028,Cumulative new ICPs,Growth,Commercial,Number,2010
2028,Cumulative new ICPs,Growth,Industrial,Number,1613
2028,Cumulative new ICPs,Growth,Residential,Number,52935
2028,Cumulative new ICPs,Innovation,Commercial,Number,2072
2028,Cumulative new ICPs,Innovation,Industrial,Number,1663
2028,Cumulative new ICPs,Innovation,Residential,Number,56096
2028,Cumulative new ICPs,Reference,Commercial,Number,1950
2028,Cumulative new ICPs,Reference,Industrial,Number,1564
2028,Cumulative new ICPs,Reference,Residential,Number,51379
2028,Cumulative new capacity,Constraint,Commercial,MW,40.697
2028,Cumulative new capacity,Constraint,Industrial,MW,37.075
2028,Cumulative new capacity,Constraint,Residential,MW,229.95
2028,Cumulative new capacity,Environmental,Commercial,MW,45.311
2028,Cumulative new capacity,Environmental,Industrial,MW,40.675
2028,Cumulative new capacity,Environmental,Residential,MW,266.9768
2028,Cumulative new capacity,Growth,Commercial,MW,43.954
2028,Cumulative new capacity,Growth,Industrial,MW,39.455
2028,Cumulative new capacity,Growth,Residential,MW,251.9329
2028,Cumulative new capacity,Innovation,Commercial,MW,45.311
2028,Cumulative new capacity,Innovation,Industrial,MW,40.675
2028,Cumulative new capacity,Innovation,Residential,MW,266.9768
2028,Cumulative new capacity,Reference,Commercial,MW,42.641
2028,Cumulative new capacity,Reference,Industrial,MW,38.245
2028,Cumulative new capacity,Reference,Residential,MW,244.5269
2028,Total ICPs,Constraint,Commercial,Number,3917
2028,Total ICPs,Constraint,Industrial,Number,3217
2028,Total ICPs,Constraint,Residential,Number,100902
2028,Total ICPs,Environmental,Commercial,Number,4128
2028,Total ICPs,Environmental,Industrial,Number,3364
2028,Total ICPs,Environmental,Residential,Number,108682
2028,Total ICPs,Growth,Commercial,Number,4066
2028,Total ICPs,Growth,Industrial,Number,3314
2028,Total ICPs,Growth,Residential,Number,105521
2028,Total ICPs,Innovation,Commercial,Number,4128
2028,Total ICPs,Innovation,Industrial,Number,3364
2028,Total ICPs,Innovation,Residential,Number,108682
2028,Total ICPs,Reference,Commercial,Number,4006
2028,Total ICPs,Reference,Industrial,Number,3265
2028,Total ICPs,Reference,Residential,Number,103965
2028,Total capacity,Constraint,Commercial,MW,85.88
2028,Total capacity,Constraint,Industrial,MW,89.124
2028,Total capacity,Constraint,Residential,MW,479.145
2028,Total capacity,Environmental,Commercial,MW,90.494
2028,Total capacity,Environmental,Industrial,MW,92.724
2028,Total capacity,Environmental,Residential,MW,516.1718
2028,Total capacity,Growth,Commercial,MW,89.137
2028,Total capacity,Growth,Industrial,MW,91.504
2028,Total capacity,Growth,Residential,MW,501.1279
2028,Total capacity,Innovation,Commercial,MW,90.494
2028,Total capacity,Innovation,Industrial,MW,92.724
2028,Total capacity,Innovation,Residential,MW,516.1718
2028,Total capacity,Reference,Commercial,MW,87.824
2028,Total capacity,Reference,Industrial,MW,90.294
2028,Total capacity,Reference,Residential,MW,493.7219
2029,Annual generation from new connections,Constraint,Commercial,MWh,56668.7028
2029,Annual generation from new connections,Constraint,Industrial,MWh,51252.57
2029,Annual generation from new connections,Constraint,Residential,MWh,322573.89504
2029,Annual generation from new connections,Environmental,Commercial,MWh,66116.4504
2029,Annual generation from new connections,Environmental,Industrial,MWh,58626.081
2029,Annual generation from new connections,Environmental,Residential,MWh,399336.39972
2029,Annual generation from new connections,Growth,Commercial,MWh,63386.7906
2029,Annual generation from new connections,Growth,Industrial,MWh,56111.085
2029,Annual generation from new connections,Growth,Residential,MWh,367846.7445
2029,Annual generation from new connections,Innovation,Commercial,MWh,66116.4504
2029,Annual generation from new connections,Innovation,Industrial,MWh,58626.081
2029,Annual generation from new connections,Innovation,Residential,MWh,399336.39972
2029,Annual generation from new connections,Reference,Commercial,MWh,60666.0222
2029,Annual generation from new connections,Reference,Industrial,MWh,53659.599
2029,Annual generation from new connections,Reference,Residential,MWh,352503.9987
2029,Cumulative new ICPs,Constraint,Commercial,Number,2040
2029,Cumulative new ICPs,Constraint,Industrial,Number,1650
2029,Cumulative new ICPs,Constraint,Residential,Number,53360
2029,Cumulative new ICPs,Environmental,Commercial,Number,2380
2029,Cumulative new ICPs,Environmental,Industrial,Number,1887
2029,Cumulative new ICPs,Environmental,Residential,Number,66058
2029,Cumulative new ICPs,Growth,Commercial,Number,2282
2029,Cumulative new ICPs,Growth,Industrial,Number,1806
2029,Cumulative new ICPs,Growth,Residential,Number,60849
2029,Cumulative new ICPs,Innovation,Commercial,Number,2380
2029,Cumulative new ICPs,Innovation,Industrial,Number,1887
2029,Cumulative new ICPs,Innovation,Residential,Number,66058
2029,Cumulative new ICPs,Reference,Commercial,Number,2184
2029,Cumulative new ICPs,Reference,Industrial,Number,1727
2029,Cumulative new ICPs,Reference,Residential,Number,58311
2029,Cumulative new capacity,Constraint,Commercial,MW,44.614
2029,Cumulative new capacity,Constraint,Industrial,MW,40.35
2029,Cumulative new capacity,Constraint,Residential,MW,253.9552
2029,Cumulative new capacity,Environmental,Commercial,MW,52.052
2029,Cumulative new capacity,Environmental,Industrial,MW,46.155
2029,Cumulative new capacity,Environmental,Residential,MW,314.3886
2029,Cumulative new capacity,Growth,Commercial,MW,49.903
2029,Cumulative new capacity,Growth,Industrial,MW,44.175
2029,Cumulative new capacity,Growth,Residential,MW,289.5975
2029,Cumulative new capacity,Innovation,Commercial,MW,52.052
2029,Cumulative new capacity,Innovation,Industrial,MW,46.155
2029,Cumulative new capacity,Innovation,Residential,MW,314.3886
2029,Cumulative new capacity,Reference,Commercial,MW,47.761
2029,Cumulative new capacity,Reference,Industrial,MW,42.245
2029,Cumulative new capacity,Reference,Residential,MW,277.5185
2029,Total ICPs,Constraint,Commercial,Number,4096
2029,Total ICPs,Constraint,Industrial,Number,3351
2029,Total ICPs,Constraint,Residential,Number,105946
2029,Total ICPs,Environmental,Commercial,Number,4436
2029,Total ICPs,Environmental,Industrial,Number,3588
2029,Total ICPs,Environmental,Residential,Number,118644
2029,Total ICPs,Growth,Commercial,Number,4338
2029,Total ICPs,Growth,Industrial,Number,3507
2029,Total ICPs,Growth,Residential,Number,113435
2029,Total ICPs,Innovation,Commercial,Number,4436
2029,Total ICPs,Innovation,Industrial,Number,3588
2029,Total ICPs,Innovation,Residential,Number,118644
2029,Total ICPs,Reference,Commercial,Number,4240
2029,Total ICPs,Reference,Industrial,Number,3428
2029,Total ICPs,Reference,Residential,Number,110897
2029,Total capacity,Constraint,Commercial,MW,89.797
2029,Total capacity,Constraint,Industrial,MW,92.399
2029,Total capacity,Constraint,Residential,MW,503.1502
2029,Total capacity,Environmental,Commercial,MW,97.235
2029,Total capacity,Environmental,Industrial,MW,98.20400000000001
2029,Total capacity,Environmental,Residential,MW,563.5836
2029,Total capacity,Growth,Commercial,MW,95.086
2029,Total capacity,Growth,Industrial,MW,96.224
2029,Total capacity,Growth,Residential,MW,538.7925
2029,Total capacity,Innovation,Commercial,MW,97.235
2029,Total capacity,Innovation,Industrial,MW,98.20400000000001
2029,Total capacity,Innovation,Residential,MW,563.5836
2029,Total capacity,Reference,Commercial,MW,92.944
2029,Total capacity,Reference,Industrial,MW,94.294
2029,Total capacity,Reference,Residential,MW,526.7135
2030,Annual generation from new connections,Constraint,Commercial,MWh,58392.3642
2030,Annual generation from new connections,Constraint,Industrial,MWh,52281.432
2030,Annual generation from new connections,Constraint,Residential,MWh,335383.73502
2030,Annual generation from new connections,Environmental,Commercial,MWh,72303.5946
2030,Annual generation from new connections,Environmental,Industrial,MWh,63103.536
2030,Annual generation from new connections,Environmental,Residential,MWh,449548.67592
2030,Annual generation from new connections,Growth,Commercial,MWh,68166.5532
2030,Annual generation from new connections,Growth,Industrial,MWh,59400.903
2030,Annual generation from new connections,Growth,Residential,MWh,402136.04754
2030,Annual generation from new connections,Innovation,Commercial,MWh,72303.5946
2030,Annual generation from new connections,Innovation,Industrial,MWh,63103.536
2030,Annual generation from new connections,Innovation,Residential,MWh,449548.67592
2030,Annual generation from new connections,Reference,Commercial,MWh,64169.2338
2030,Annual generation from new connections,Reference,Industrial,MWh,55793.535
2030,Annual generation from new connections,Reference,Residential,MWh,379313.98308
2030,Cumulative new ICPs,Constraint,Commercial,Number,2102
2030,Cumulative new ICPs,Constraint,Industrial,Number,1683
2030,Cumulative new ICPs,Constraint,Residential,Number,55479
2030,Cumulative new ICPs,Environmental,Commercial,Number,2603
2030,Cumulative new ICPs,Environmental,Industrial,Number,2031
2030,Cumulative new ICPs,Environmental,Residential,Number,74364
2030,Cumulative new ICPs,Growth,Commercial,Number,2454
2030,Cumulative new ICPs,Growth,Industrial,Number,1912
2030,Cumulative new ICPs,Growth,Residential,Number,66521
2030,Cumulative new ICPs,Innovation,Commercial,Number,2603
2030,Cumulative new ICPs,Innovation,Industrial,Number,2031
2030,Cumulative new ICPs,Innovation,Residential,Number,74364
2030,Cumulative new ICPs,Reference,Commercial,Number,2310
2030,Cumulative new ICPs,Reference,Industrial,Number,1796
2030,Cumulative new ICPs,Reference,Residential,Number,62746
2030,Cumulative new capacity,Constraint,Commercial,MW,45.971
2030,Cumulative new capacity,Constraint,Industrial,MW,41.16
2030,Cumulative new capacity,Constraint,Residential,MW,264.0401
2030,Cumulative new capacity,Environmental,Commercial,MW,56.923
2030,Cumulative new capacity,Environmental,Industrial,MW,49.68
2030,Cumulative new capacity,Environmental,Residential,MW,353.9196
2030,Cumulative new capacity,Growth,Commercial,MW,53.666
2030,Cumulative new capacity,Growth,Industrial,MW,46.765
2030,Cumulative new capacity,Growth,Residential,MW,316.5927
2030,Cumulative new capacity,Innovation,Commercial,MW,56.923
2030,Cumulative new capacity,Innovation,Industrial,MW,49.68
2030,Cumulative new capacity,Innovation,Residential,MW,353.9196
2030,Cumulative new capacity,Reference,Commercial,MW,50.519
2030,Cumulative new capacity,Reference,Industrial,MW,43.925
2030,Cumulative new capacity,Reference,Residential,MW,298.6254
2030,Total ICPs,Constraint,Commercial,Number,4158
2030,Total ICPs,Constraint,Industrial,Number,3384
2030,Total ICPs,Constraint,Residential,Number,108065
2030,Total ICPs,Environmental,Commercial,Number,4659
2030,Total ICPs,Environmental,Industrial,Number,3732
2030,Total ICPs,Environmental,Residential,Number,126950
2030,Total ICPs,Growth,Commercial,Number,4510
2030,Total ICPs,Growth,Industrial,Number,3613
2030,Total ICPs,Growth,Residential,Number,119107
2030,Total ICPs,Innovation,Commercial,Number,4659
2030,Total ICPs,Innovation,Industrial,Number,3732
2030,Total ICPs,Innovation,Residential,Number,126950
2030,Total ICPs,Reference,Commercial,Number,4366
2030,Total ICPs,Reference,Industrial,Number,3497
2030,Total ICPs,Reference,Residential,Number,115332
2030,Total capacity,Constraint,Commercial,MW,91.154
2030,Total capacity,Constraint,Industrial,MW,93.20899999999999
2030,Total capacity,Constraint,Residential,MW,513.2351
2030,Total capacity,Environmental,Commercial,MW,102.106
2030,Total capacity,Environmental,Industrial,MW,101.729
2030,Total capacity,Environmental,Residential,MW,603.1146
2030,Total capacity,Growth,Commercial,MW,98.849
2030,Total capacity,Growth,Industrial,MW,98.814
2030,Total capacity,Growth,Residential,MW,565.7877
2030,Total capacity,Innovation,Commercial,MW,102.106
2030,Total capacity,Innovation,Industrial,MW,101.729
2030,Total capacity,Innovation,Residential,MW,603.1146
2030,Total capacity,Reference,Commercial,MW,95.702
2030,Total capacity,Reference,Industrial,MW,95.974
2030,Total capacity,Reference,Residential,MW,547.8204000000001
2031,Annual generation from new connections,Constraint,Commercial,MWh,60088.0812
2031,Annual generation from new connections,Constraint,Industrial,MWh,53342.04900000001
2031,Annual generation from new connections,Constraint,Residential,MWh,348447.36096
2031,Annual generation from new connections,Environmental,Commercial,MWh,78751.1298
2031,Annual generation from new connections,Environmental,Industrial,MWh,67752.46800000001
2031,Annual generation from new connections,Environmental,Residential,MWh,503259.20994
2031,Annual generation from new connections,Growth,Commercial,MWh,73197.81539999999
2031,Annual generation from new connections,Growth,Industrial,MWh,62785.986
2031,Annual generation from new connections,Growth,Residential,MWh,438141.1367400001
2031,Annual generation from new connections,Innovation,Commercial,MWh,78751.1298
2031,Annual generation from new connections,Innovation,Industrial,MWh,67752.46800000001
2031,Annual generation from new connections,Innovation,Residential,MWh,503259.20994
2031,Annual generation from new connections,Reference,Commercial,MWh,67859.1648
2031,Annual generation from new connections,Reference,Industrial,MWh,57978.279
2031,Annual generation from new connections,Reference,Residential,MWh,407200.84302
2031,Cumulative new ICPs,Constraint,Commercial,Number,2163
2031,Cumulative new ICPs,Constraint,Industrial,Number,1717
2031,Cumulative new ICPs,Constraint,Residential,Number,57640
2031,Cumulative new ICPs,Environmental,Commercial,Number,2835
2031,Cumulative new ICPs,Environmental,Industrial,Number,2181
2031,Cumulative new ICPs,Environmental,Residential,Number,83249
2031,Cumulative new ICPs,Growth,Commercial,Number,2635
2031,Cumulative new ICPs,Growth,Industrial,Number,2021
2031,Cumulative new ICPs,Growth,Residential,Number,72477
2031,Cumulative new ICPs,Innovation,Commercial,Number,2835
2031,Cumulative new ICPs,Innovation,Industrial,Number,2181
2031,Cumulative new ICPs,Innovation,Residential,Number,83249
2031,Cumulative new ICPs,Reference,Commercial,Number,2443
2031,Cumulative new ICPs,Reference,Industrial,Number,1866
2031,Cumulative new ICPs,Reference,Residential,Number,67359
2031,Cumulative new capacity,Constraint,Commercial,MW,47.306
2031,Cumulative new capacity,Constraint,Industrial,MW,41.995
2031,Cumulative new capacity,Constraint,Residential,MW,274.3248
2031,Cumulative new capacity,Environmental,Commercial,MW,61.999
2031,Cumulative new capacity,Environmental,Industrial,MW,53.34
2031,Cumulative new capacity,Environmental,Residential,MW,396.2047
2031,Cumulative new capacity,Growth,Commercial,MW,57.627
2031,Cumulative new capacity,Growth,Industrial,MW,49.43
2031,Cumulative new capacity,Growth,Residential,MW,344.9387
2031,Cumulative new capacity,Innovation,Commercial,MW,61.999
2031,Cumulative new capacity,Innovation,Industrial,MW,53.34
2031,Cumulative new capacity,Innovation,Residential,MW,396.2047
2031,Cumulative new capacity,Reference,Commercial,MW,53.424
2031,Cumulative new capacity,Reference,Industrial,MW,45.645
2031,Cumulative new capacity,Reference,Residential,MW,320.5801
2031,Total ICPs,Constraint,Commercial,Number,4219
2031,Total ICPs,Constraint,Industrial,Number,3418
2031,Total ICPs,Constraint,Residential,Number,110226
2031,Total ICPs,Environmental,Commercial,Number,4891
2031,Total ICPs,Environmental,Industrial,Number,3882
2031,Total ICPs,Environmental,Residential,Number,135835
2031,Total ICPs,Growth,Commercial,Number,4691
2031,Total ICPs,Growth,Industrial,Number,3722
2031,Total ICPs,Growth,Residential,Number,125063
2031,Total ICPs,Innovation,Commercial,Number,4891
2031,Total ICPs,Innovation,Industrial,Number,3882
2031,Total ICPs,Innovation,Residential,Number,135835
2031,Total ICPs,Reference,Commercial,Number,4499
2031,Total ICPs,Reference,Industrial,Number,3567
2031,Total ICPs,Reference,Residential,Number,119945
2031,Total capacity,Constraint,Commercial,MW,92.48899999999999
2031,Total capacity,Constraint,Industrial,MW,94.044
2031,Total capacity,Constraint,Residential,MW,523.5198
2031,Total capacity,Environmental,Commercial,MW,107.182
2031,Total capacity,Environmental,Industrial,MW,105.389
2031,Total capacity,Environmental,Residential,MW,645.3997
2031,Total capacity,Growth,Commercial,MW,102.81
2031,Total capacity,Growth,Industrial,MW,101.479
2031,Total capacity,Growth,Residential,MW,594.1337
2031,Total capacity,Innovation,Commercial,MW,107.182
2031,Total capacity,Innovation,Industrial,MW,105.389
2031,Total capacity,Innovation,Residential,MW,645.3997
2031,Total capacity,Reference,Commercial,MW,98.607
2031,Total capacity,Reference,Industrial,MW,97.694
2031,Total capacity,Reference,Residential,MW,569.7751000000001
2032,Annual generation from new connections,Constraint,Commercial,MWh,61858.74
2032,Annual generation from new connections,Constraint,Industrial,MWh,54402.666
2032,Annual generation from new connections,Constraint,Residential,MWh,361777.7289
2032,Annual generation from new connections,Environmental,Commercial,MWh,85533.9978
2032,Annual generation from new connections,Environmental,Industrial,MWh,72547.473
2032,Annual generation from new connections,Environmental,Residential,MWh,560743.7622
2032,Annual generation from new connections,Growth,Commercial,MWh,78415.797
2032,Annual generation from new connections,Growth,Industrial,MWh,66234.579
2032,Annual generation from new connections,Growth,Residential,MWh,475934.66754
2032,Annual generation from new connections,Innovation,Commercial,MWh,85533.9978
2032,Annual generation from new connections,Innovation,Industrial,MWh,72547.473
2032,Annual generation from new connections,Innovation,Residential,MWh,560743.7622
2032,Annual generation from new connections,Reference,Commercial,MWh,71557.9872
2032,Annual generation from new connections,Reference,Industrial,MWh,60175.725
2032,Annual generation from new connections,Reference,Residential,MWh,436206.3681
2032,Cumulative new ICPs,Constraint,Commercial,Number,2227
2032,Cumulative new ICPs,Constraint,Industrial,Number,1751
2032,Cumulative new ICPs,Constraint,Residential,Number,59845
2032,Cumulative new ICPs,Environmental,Commercial,Number,3079
2032,Cumulative new ICPs,Environmental,Industrial,Number,2335
2032,Cumulative new ICPs,Environmental,Residential,Number,92758
2032,Cumulative new ICPs,Growth,Commercial,Number,2823
2032,Cumulative new ICPs,Growth,Industrial,Number,2132
2032,Cumulative new ICPs,Growth,Residential,Number,78729
2032,Cumulative new ICPs,Innovation,Commercial,Number,3079
2032,Cumulative new ICPs,Innovation,Industrial,Number,2335
2032,Cumulative new ICPs,Innovation,Residential,Number,92758
2032,Cumulative new ICPs,Reference,Commercial,Number,2576
2032,Cumulative new ICPs,Reference,Industrial,Number,1937
2032,Cumulative new ICPs,Reference,Residential,Number,72157
2032,Cumulative new capacity,Constraint,Commercial,MW,48.7
2032,Cumulative new capacity,Constraint,Industrial,MW,42.83
2032,Cumulative new capacity,Constraint,Residential,MW,284.8195
2032,Cumulative new capacity,Environmental,Commercial,MW,67.339
2032,Cumulative new capacity,Environmental,Industrial,MW,57.115
2032,Cumulative new capacity,Environmental,Residential,MW,441.461
2032,Cumulative new capacity,Growth,Commercial,MW,61.735
2032,Cumulative new capacity,Growth,Industrial,MW,52.145
2032,Cumulative new capacity,Growth,Residential,MW,374.6927
2032,Cumulative new capacity,Innovation,Commercial,MW,67.339
2032,Cumulative new capacity,Innovation,Industrial,MW,57.115
2032,Cumulative new capacity,Innovation,Residential,MW,441.461
2032,Cumulative new capacity,Reference,Commercial,MW,56.336
2032,Cumulative new capacity,Reference,Industrial,MW,47.375
2032,Cumulative new capacity,Reference,Residential,MW,343.4155
2032,Total ICPs,Constraint,Commercial,Number,4283
2032,Total ICPs,Constraint,Industrial,Number,3452
2032,Total ICPs,Constraint,Residential,Number,112431
2032,Total ICPs,Environmental,Commercial,Number,5135
2032,Total ICPs,Environmental,Industrial,Number,4036
2032,Total ICPs,Environmental,Residential,Number,145344
2032,Total ICPs,Growth,Commercial,Number,4879
2032,Total ICPs,Growth,Industrial,Number,3833
2032,Total ICPs,Growth,Residential,Number,131315
2032,Total ICPs,Innovation,Commercial,Number,5135
2032,Total ICPs,Innovation,Industrial,Number,4036
2032,Total ICPs,Innovation,Residential,Number,145344
2032,Total ICPs,Reference,Commercial,Number,4632
2032,Total ICPs,Reference,Industrial,Number,3638
2032,Total ICPs,Reference,Residential,Number,124743
2032,Total capacity,Constraint,Commercial,MW,93.883
2032,Total capacity,Constraint,Industrial,MW,94.879
2032,Total capacity,Constraint,Residential,MW,534.0145
2032,Total capacity,Environmental,Commercial,MW,112.522
2032,Total capacity,Environmental,Industrial,MW,109.164
2032,Total capacity,Environmental,Residential,MW,690.656
2032,Total capacity,Growth,Commercial,MW,106.918
2032,Total capacity,Growth,Industrial,MW,104.194
2032,Total capacity,Growth,Residential,MW,623.8877
2032,Total capacity,Innovation,Commercial,MW,112.522
2032,Total capacity,Innovation,Industrial,MW,109.164
2032,Total capacity,Innovation,Residential,MW,690.656
2032,Total capacity,Reference,Commercial,MW,101.519
2032,Total capacity,Reference,Industrial,MW,99.42399999999999
2032,Total capacity,Reference,Residential,MW,592.6105
2033,Annual generation from new connections,Constraint,Commercial,MWh,63666.2346
2033,Annual generation from new connections,Constraint,Industrial,MWh,55463.283
2033,Annual generation from new connections,Constraint,Residential,MWh,375366.83658
2033,Annual generation from new connections,Environmental,Commercial,MWh,92699.196
2033,Annual generation from new connections,Environmental,Industrial,MWh,77577.465
2033,Annual generation from new connections,Environmental,Residential,MWh,622248.1164
2033,Annual generation from new connections,Growth,Commercial,MWh,83810.3364
2033,Annual generation from new connections,Growth,Industrial,MWh,69810.192
2033,Annual generation from new connections,Growth,Residential,MWh,515628.1635
2033,Annual generation from new connections,Innovation,Commercial,MWh,92699.196
2033,Annual generation from new connections,Innovation,Industrial,MWh,77577.465
2033,Annual generation from new connections,Innovation,Residential,MWh,622248.1164
2033,Annual generation from new connections,Reference,Commercial,MWh,75443.529
