TimePeriod,Variable,Scenario,Sector,Unit,Value
2016,Total capacity,Growth,Commercial,MW,3.932
2016,Total capacity,Growth,Industrial,MW,4.119
2016,Total capacity,Growth,Residential,MW,45.007
2016,Total capacity,Innovation,Commercial,MW,3.932
2016,Total capacity,Innovation,Industrial,MW,4.119
2016,Total capacity,Innovation,Residential,MW,45.007
2016,Total capacity,Reference,Commercial,MW,3.932
2016,Total capacity,Reference,Industrial,MW,4.119
2016,Total capacity,Reference,Residential,MW,45.007
2017,Total ICPs,Constraint,Commercial,Number,571
2017,Total ICPs,Constraint,Industrial,Number,428
2017,Total ICPs,Constraint,Residential,Number,17266
2017,Total ICPs,Environmental,Commercial,Number,571
2017,Total ICPs,Environmental,Industrial,Number,428
2017,Total ICPs,Environmental,Residential,Number,17266
2017,Total ICPs,Growth,Commercial,Number,571
2017,Total ICPs,Growth,Industrial,Number,428
2017,Total ICPs,Growth,Residential,Number,17266
2017,Total ICPs,Innovation,Commercial,Number,571
2017,Total ICPs,Innovation,Industrial,Number,428
2017,Total ICPs,Innovation,Residential,Number,17266
2017,Total ICPs,Reference,Commercial,Number,571
2017,Total ICPs,Reference,Industrial,Number,428
2017,Total ICPs,Reference,Residential,Number,17266
2017,Total capacity,Constraint,Commercial,MW,6.271
2017,Total capacity,Constraint,Industrial,MW,4.971
2017,Total capacity,Constraint,Residential,MW,59.377
2017,Total capacity,Environmental,Commercial,MW,6.271
2017,Total capacity,Environmental,Industrial,MW,4.971
2017,Total capacity,Environmental,Residential,MW,59.377
2017,Total capacity,Growth,Commercial,MW,6.271
2017,Total capacity,Growth,Industrial,MW,4.971
2017,Total capacity,Growth,Residential,MW,59.377
2017,Total capacity,Innovation,Commercial,MW,6.271
2017,Total capacity,Innovation,Industrial,MW,4.971
2017,Total capacity,Innovation,Residential,MW,59.377
2017,Total capacity,Reference,Commercial,MW,6.271
2017,Total capacity,Reference,Industrial,MW,4.971
2017,Total capacity,Reference,Residential,MW,59.377
2018,Total ICPs,Constraint,Commercial,Number,719
2018,Total ICPs,Constraint,Industrial,Number,521
2018,Total ICPs,Constraint,Residential,Number,21464
2018,Total ICPs,Environmental,Commercial,Number,719
2018,Total ICPs,Environmental,Industrial,Number,521
2018,Total ICPs,Environmental,Residential,Number,21464
2018,Total ICPs,Growth,Commercial,Number,719
2018,Total ICPs,Growth,Industrial,Number,521
2018,Total ICPs,Growth,Residential,Number,21464
2018,Total ICPs,Innovation,Commercial,Number,719
2018,Total ICPs,Innovation,Industrial,Number,521
2018,Total ICPs,Innovation,Residential,Number,21464
2018,Total ICPs,Reference,Commercial,Number,719
2018,Total ICPs,Reference,Industrial,Number,521
2018,Total ICPs,Reference,Residential,Number,21464
2018,Total capacity,Constraint,Commercial,MW,8.345
2018,Total capacity,Constraint,Industrial,MW,5.927
2018,Total capacity,Constraint,Residential,MW,77.033
2018,Total capacity,Environmental,Commercial,MW,8.345
2018,Total capacity,Environmental,Industrial,MW,5.927
2018,Total capacity,Environmental,Residential,MW,77.033
2018,Total capacity,Growth,Commercial,MW,8.345
2018,Total capacity,Growth,Industrial,MW,5.927
2018,Total capacity,Growth,Residential,MW,77.033
2018,Total capacity,Innovation,Commercial,MW,8.345
2018,Total capacity,Innovation,Industrial,MW,5.927
2018,Total capacity,Innovation,Residential,MW,77.033
2018,Total capacity,Reference,Commercial,MW,8.345
2018,Total capacity,Reference,Industrial,MW,5.927
2018,Total capacity,Reference,Residential,MW,77.033
2019,Total ICPs,Constraint,Commercial,Number,946
2019,Total ICPs,Constraint,Industrial,Number,617
2019,Total ICPs,Constraint,Residential,Number,24973
2019,Total ICPs,Environmental,Commercial,Number,946
2019,Total ICPs,Environmental,Industrial,Number,617
2019,Total ICPs,Environmental,Residential,Number,24973
2019,Total ICPs,Growth,Commercial,Number,946
2019,Total ICPs,Growth,Industrial,Number,617
2019,Total ICPs,Growth,Residential,Number,24973
2019,Total ICPs,Innovation,Commercial,Number,946
2019,Total ICPs,Innovation,Industrial,Number,617
2019,Total ICPs,Innovation,Residential,Number,24973
2019,Total ICPs,Reference,Commercial,Number,946
2019,Total ICPs,Reference,Industrial,Number,617
2019,Total ICPs,Reference,Residential,Number,24973
2019,Total capacity,Constraint,Commercial,MW,12.017
2019,Total capacity,Constraint,Industrial,MW,8.424
2019,Total capacity,Constraint,Residential,MW,94.092
2019,Total capacity,Environmental,Commercial,MW,12.017
2019,Total capacity,Environmental,Industrial,MW,8.424
2019,Total capacity,Environmental,Residential,MW,94.092
2019,Total capacity,Growth,Commercial,MW,12.017
2019,Total capacity,Growth,Industrial,MW,8.424
2019,Total capacity,Growth,Residential,MW,94.092
2019,Total capacity,Innovation,Commercial,MW,12.017
2019,Total capacity,Innovation,Industrial,MW,8.424
2019,Total capacity,Innovation,Residential,MW,94.092
2019,Total capacity,Reference,Commercial,MW,12.017
2019,Total capacity,Reference,Industrial,MW,8.424
2019,Total capacity,Reference,Residential,MW,94.092
2020,Total ICPs,Constraint,Commercial,Number,1258
2020,Total ICPs,Constraint,Industrial,Number,882
2020,Total ICPs,Constraint,Residential,Number,28658
2020,Total ICPs,Environmental,Commercial,Number,1258
2020,Total ICPs,Environmental,Industrial,Number,882
2020,Total ICPs,Environmental,Residential,Number,28658
2020,Total ICPs,Growth,Commercial,Number,1258
2020,Total ICPs,Growth,Industrial,Number,882
2020,Total ICPs,Growth,Residential,Number,28658
2020,Total ICPs,Innovation,Commercial,Number,1258
2020,Total ICPs,Innovation,Industrial,Number,882
2020,Total ICPs,Innovation,Residential,Number,28658
2020,Total ICPs,Reference,Commercial,Number,1258
2020,Total ICPs,Reference,Industrial,Number,882
2020,Total ICPs,Reference,Residential,Number,28658
2020,Total capacity,Constraint,Commercial,MW,18.258
2020,Total capacity,Constraint,Industrial,MW,14.439
2020,Total capacity,Constraint,Residential,MW,112.281
2020,Total capacity,Environmental,Commercial,MW,18.258
2020,Total capacity,Environmental,Industrial,MW,14.439
2020,Total capacity,Environmental,Residential,MW,112.281
2020,Total capacity,Growth,Commercial,MW,18.258
