TimePeriod,Status,Value,Variable,Unit,Scenario
1995,Historical,3668500,Population,Number,Constraint
1996,Historical,3727700,Population,Number,Constraint
1997,Historical,3778300,Population,Number,Constraint
1998,Historical,3813100,Population,Number,Constraint
1999,Historical,3834000,Population,Number,Constraint
2000,Historical,3856800,Population,Number,Constraint
2001,Historical,3878400,Population,Number,Constraint
2002,Historical,3942100,Population,Number,Constraint
2003,Historical,4020300,Population,Number,Constraint
2004,Historical,4083100,Population,Number,Constraint
2005,Historical,4130200,Population,Number,Constraint
2006,Historical,4180300,Population,Number,Constraint
2007,Historical,4221600,Population,Number,Constraint
2008,Historical,4257700,Population,Number,Constraint
2009,Historical,4298000,Population,Number,Constraint
2010,Historical,4348200,Population,Number,Constraint
2011,Historical,4383200,Population,Number,Constraint
2012,Historical,4407300,Population,Number,Constraint
2013,Historical,4439000,Population,Number,Constraint
2014,Historical,4508800,Population,Number,Constraint
2015,Historical,4600600,Population,Number,Constraint
2016,Historical,4704600,Population,Number,Constraint
2017,Historical,4805200,Population,Number,Constraint
2018,Historical,4893400,Population,Number,Constraint
2019,Historical,4972300,Population,Number,Constraint
2020,Historical,5086500,Population,Number,Constraint
2021,Historical,5109600,Population,Number,Constraint
2022,Historical,5116000,Population,Number,Constraint
2023,Historical,5221400,Population,Number,Constraint
2024,Projected,5227371.421,Population,Number,Constraint
2025,Projected,5233326.526,Population,Number,Constraint
2026,Projected,5239281.632,Population,Number,Constraint
2027,Projected,5245236.737,Population,Number,Constraint
2028,Projected,5251208.158,Population,Number,Constraint
2029,Projected,5257163.263,Population,Number,Constraint
2030,Projected,5263118.368,Population,Number,Constraint
2031,Projected,5269073.474,Population,Number,Constraint
2032,Projected,5275044.895,Population,Number,Constraint
2033,Projected,5281000,Population,Number,Constraint
2034,Projected,5301988.499,Population,Number,Constraint
2035,Projected,5322976.999,Population,Number,Constraint
2036,Projected,5344023.001,Population,Number,Constraint
2037,Projected,5365011.501,Population,Number,Constraint
2038,Projected,5386000,Population,Number,Constraint
2039,Projected,5405589.266,Population,Number,Constraint
2040,Projected,5425232.202,Population,Number,Constraint
2041,Projected,5444821.468,Population,Number,Constraint
2042,Projected,5464410.734,Population,Number,Constraint
2043,Projected,5484000,Population,Number,Constraint
2044,Projected,5497822.66,Population,Number,Constraint
2045,Projected,5511607.553,Population,Number,Constraint
2046,Projected,5525392.447,Population,Number,Constraint
2047,Projected,5539177.34,Population,Number,Constraint
2048,Projected,5553000,Population,Number,Constraint
2049,Projected,5559996.166,Population,Number,Constraint
2050,Projected,5566992.333,Population,Number,Constraint
1990,Historical,3454300.601,Population,Number,Innovation
1991,Historical,3491500,Population,Number,Innovation
1992,Historical,3529100,Population,Number,Innovation
1993,Historical,3568300,Population,Number,Innovation
1994,Historical,3615700,Population,Number,Innovation
1995,Historical,3668500,Population,Number,Innovation
1996,Historical,3727700,Population,Number,Innovation
1997,Historical,3778300,Population,Number,Innovation
1998,Historical,3813100,Population,Number,Innovation
1999,Historical,3834000,Population,Number,Innovation
2000,Historical,3856800,Population,Number,Innovation
2001,Historical,3878400,Population,Number,Innovation
2002,Historical,3942100,Population,Number,Innovation
2003,Historical,4020300,Population,Number,Innovation
2004,Historical,4083100,Population,Number,Innovation
2005,Historical,4130200,Population,Number,Innovation
2006,Historical,4180300,Population,Number,Innovation
2007,Historical,4221600,Population,Number,Innovation
2008,Historical,4257700,Population,Number,Innovation
2009,Historical,4298000,Population,Number,Innovation
2010,Historical,4348200,Population,Number,Innovation
2011,Historical,4383200,Population,Number,Innovation
2012,Historical,4407300,Population,Number,Innovation
2013,Historical,4439000,Population,Number,Innovation
2014,Historical,4508800,Population,Number,Innovation
2015,Historical,4600600,Population,Number,Innovation
2016,Historical,4704600,Population,Number,Innovation
2017,Historical,4805200,Population,Number,Innovation
2018,Historical,4893400,Population,Number,Innovation
2019,Historical,4972300,Population,Number,Innovation
2020,Historical,5086500,Population,Number,Innovation
2021,Historical,5109600,Population,Number,Innovation
2022,Historical,5116000,Population,Number,Innovation
2023,Historical,5221400,Population,Number,Innovation
2024,Projected,5269198.358,Population,Number,Innovation
2025,Projected,5316866.119,Population,Number,Innovation
2026,Projected,5364533.881,Population,Number,Innovation
2027,Projected,5412201.642,Population,Number,Innovation
2028,Projected,5460000,Population,Number,Innovation
2029,Projected,5480788.609,Population,Number,Innovation
2030,Projected,5501577.218,Population,Number,Innovation
2031,Projected,5522365.827,Population,Number,Innovation
2032,Projected,5543211.391,Population,Number,Innovation
2033,Projected,5564000,Population,Number,Innovation
2034,Projected,5601779.299,Population,Number,Innovation
2035,Projected,5639558.598,Population,Number,Innovation
2036,Projected,5677441.402,Population,Number,Innovation
2037,Projected,5715220.701,Population,Number,Innovation
2038,Projected,5753000,Population,Number,Innovation
2039,Projected,5787181.271,Population,Number,Innovation
2040,Projected,5821456.188,Population,Number,Innovation
2041,Projected,5855637.459,Population,Number,Innovation
2042,Projected,5889818.729,Population,Number,Innovation
2043,Projected,5924000,Population,Number,Innovation
2044,Projected,5954650.246,Population,Number,Innovation
2045,Projected,5985216.749,Population,Number,Innovation
2046,Projected,6015783.251,Population,Number,Innovation
2047,Projected,6046349.754,Population,Number,Innovation
2048,Projected,6077000,Population,Number,Innovation
2049,Projected,6103385.542,Population,Number,Innovation
2050,Projected,6129771.084,Population,Number,Innovation
1990,Historical,3454300.601,Population,Number,Environmental
1991,Historical,3491500,Population,Number,Environmental
1992,Historical,3529100,Population,Number,Environmental
1993,Historical,3568300,Population,Number,Environmental
1994,Historical,3615700,Population,Number,Environmental
1995,Historical,3668500,Population,Number,Environmental
1996,Historical,3727700,Population,Number,Environmental
1997,Historical,3778300,Population,Number,Environmental
1998,Historical,3813100,Population,Number,Environmental
1999,Historical,3834000,Population,Number,Environmental
2000,Historical,3856800,Population,Number,Environmental
2001,Historical,3878400,Population,Number,Environmental
2002,Historical,3942100,Population,Number,Environmental
2003,Historical,4020300,Population,Number,Environmental
2004,Historical,4083100,Population,Number,Environmental
2005,Historical,4130200,Population,Number,Environmental
2006,Historical,4180300,Population,Number,Environmental
2007,Historical,4221600,Population,Number,Environmental
