TimePeriod,Status,Value,Variable,Unit,Scenario
1990,Historical,112594,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1991,Historical,111106,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1992,Historical,111888,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1993,Historical,117734,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1994,Historical,124307,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1995,Historical,130389,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1996,Historical,135702,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1997,Historical,139022,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1998,Historical,139593,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1999,Historical,145851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2000,Historical,152000,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2001,Historical,155832,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2002,Historical,163162,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2003,Historical,170385,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2004,Historical,178637,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2005,Historical,184384,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2006,Historical,189571,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2007,Historical,196216,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2008,Historical,195515,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2009,Historical,193335,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2010,Historical,196650,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2011,Historical,200169,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2012,Historical,205203,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
