TimePeriod,Scenario,Sector,Unit,Value,Variable,Status
1994,Constraint,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Constraint,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Constraint,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Environmental,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Environmental,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Environmental,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Environmental,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Growth,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Growth,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Growth,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Growth,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Innovation,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Innovation,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Innovation,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Innovation,Transport,Gross PJ,139.788,Total energy demand,Historical
1994,Reference,Commercial,Gross PJ,37.156,Total energy demand,Historical
1994,Reference,Industrial,Gross PJ,189.588,Total energy demand,Historical
1994,Reference,Residential,Gross PJ,65.112,Total energy demand,Historical
1994,Reference,Transport,Gross PJ,139.788,Total energy demand,Historical
1995,Constraint,Commercial,Gross PJ,36.661,Total energy demand,Historical
1995,Constraint,Industrial,Gross PJ,188.52,Total energy demand,Historical
1995,Constraint,Residential,Gross PJ,65.438,Total energy demand,Historical
1995,Constraint,Transport,Gross PJ,148.883,Total energy demand,Historical
1995,Environmental,Commercial,Gross PJ,36.661,Total energy demand,Historical
1995,Environmental,Industrial,Gross PJ,188.52,Total energy demand,Historical
1995,Environmental,Residential,Gross PJ,65.438,Total energy demand,Historical
1995,Environmental,Transport,Gross PJ,148.883,Total energy demand,Historical
1995,Growth,Commercial,Gross PJ,36.661,Total energy demand,Historical
1995,Growth,Industrial,Gross PJ,188.52,Total energy demand,Historical
1995,Growth,Residential,Gross PJ,65.438,Total energy demand,Historical
1995,Growth,Transport,Gross PJ,148.883,Total energy demand,Historical
1995,Innovation,Commercial,Gross PJ,36.661,Total energy demand,Historical
1995,Innovation,Industrial,Gross PJ,188.52,Total energy demand,Historical
1995,Innovation,Residential,Gross PJ,65.438,Total energy demand,Historical
1995,Innovation,Transport,Gross PJ,148.883,Total energy demand,Historical
1995,Reference,Commercial,Gross PJ,36.661,Total energy demand,Historical
1995,Reference,Industrial,Gross PJ,188.52,Total energy demand,Historical
1995,Reference,Residential,Gross PJ,65.438,Total energy demand,Historical
1995,Reference,Transport,Gross PJ,148.883,Total energy demand,Historical
1996,Constraint,Commercial,Gross PJ,35.655,Total energy demand,Historical
1996,Constraint,Industrial,Gross PJ,192.082,Total energy demand,Historical
1996,Constraint,Residential,Gross PJ,66.837,Total energy demand,Historical
1996,Constraint,Transport,Gross PJ,150.396,Total energy demand,Historical
1996,Environmental,Commercial,Gross PJ,35.655,Total energy demand,Historical
1996,Environmental,Industrial,Gross PJ,192.082,Total energy demand,Historical
1996,Environmental,Residential,Gross PJ,66.837,Total energy demand,Historical
1996,Environmental,Transport,Gross PJ,150.396,Total energy demand,Historical
1996,Growth,Commercial,Gross PJ,35.655,Total energy demand,Historical
1996,Growth,Industrial,Gross PJ,192.082,Total energy demand,Historical
1996,Growth,Residential,Gross PJ,66.837,Total energy demand,Historical
1996,Growth,Transport,Gross PJ,150.396,Total energy demand,Historical
1996,Innovation,Commercial,Gross PJ,35.655,Total energy demand,Historical
1996,Innovation,Industrial,Gross PJ,192.082,Total energy demand,Historical
1996,Innovation,Residential,Gross PJ,66.837,Total energy demand,Historical
1996,Innovation,Transport,Gross PJ,150.396,Total energy demand,Historical
1996,Reference,Commercial,Gross PJ,35.655,Total energy demand,Historical
1996,Reference,Industrial,Gross PJ,192.082,Total energy demand,Historical
1996,Reference,Residential,Gross PJ,66.837,Total energy demand,Historical
1996,Reference,Transport,Gross PJ,150.396,Total energy demand,Historical
1997,Constraint,Commercial,Gross PJ,37.222,Total energy demand,Historical
1997,Constraint,Industrial,Gross PJ,191.084,Total energy demand,Historical
1997,Constraint,Residential,Gross PJ,67.578,Total energy demand,Historical
1997,Constraint,Transport,Gross PJ,153.845,Total energy demand,Historical
1997,Environmental,Commercial,Gross PJ,37.222,Total energy demand,Historical
1997,Environmental,Industrial,Gross PJ,191.084,Total energy demand,Historical
1997,Environmental,Residential,Gross PJ,67.578,Total energy demand,Historical
1997,Environmental,Transport,Gross PJ,153.845,Total energy demand,Historical
1997,Growth,Commercial,Gross PJ,37.222,Total energy demand,Historical
1997,Growth,Industrial,Gross PJ,191.084,Total energy demand,Historical
1997,Growth,Residential,Gross PJ,67.578,Total energy demand,Historical
1997,Growth,Transport,Gross PJ,153.845,Total energy demand,Historical
1997,Innovation,Commercial,Gross PJ,37.222,Total energy demand,Historical
1997,Innovation,Industrial,Gross PJ,191.084,Total energy demand,Historical
1997,Innovation,Residential,Gross PJ,67.578,Total energy demand,Historical
1997,Innovation,Transport,Gross PJ,153.845,Total energy demand,Historical
1997,Reference,Commercial,Gross PJ,37.222,Total energy demand,Historical
1997,Reference,Industrial,Gross PJ,191.084,Total energy demand,Historical
1997,Reference,Residential,Gross PJ,67.578,Total energy demand,Historical
1997,Reference,Transport,Gross PJ,153.845,Total energy demand,Historical
1998,Constraint,Commercial,Gross PJ,37.674,Total energy demand,Historical
1998,Constraint,Industrial,Gross PJ,184.676,Total energy demand,Historical
1998,Constraint,Residential,Gross PJ,67.371,Total energy demand,Historical
1998,Constraint,Transport,Gross PJ,156.629,Total energy demand,Historical
1998,Environmental,Commercial,Gross PJ,37.674,Total energy demand,Historical
1998,Environmental,Industrial,Gross PJ,184.676,Total energy demand,Historical
1998,Environmental,Residential,Gross PJ,67.371,Total energy demand,Historical
1998,Environmental,Transport,Gross PJ,156.629,Total energy demand,Historical
1998,Growth,Commercial,Gross PJ,37.674,Total energy demand,Historical
1998,Growth,Industrial,Gross PJ,184.676,Total energy demand,Historical
1998,Growth,Residential,Gross PJ,67.371,Total energy demand,Historical
1998,Growth,Transport,Gross PJ,156.629,Total energy demand,Historical
1998,Innovation,Commercial,Gross PJ,37.674,Total energy demand,Historical
1998,Innovation,Industrial,Gross PJ,184.676,Total energy demand,Historical
1998,Innovation,Residential,Gross PJ,67.371,Total energy demand,Historical
1998,Innovation,Transport,Gross PJ,156.629,Total energy demand,Historical
1998,Reference,Commercial,Gross PJ,37.674,Total energy demand,Historical
1998,Reference,Industrial,Gross PJ,184.676,Total energy demand,Historical
1998,Reference,Residential,Gross PJ,67.371,Total energy demand,Historical
1998,Reference,Transport,Gross PJ,156.629,Total energy demand,Historical
1999,Constraint,Commercial,Gross PJ,38.605,Total energy demand,Historical
1999,Constraint,Industrial,Gross PJ,191.704,Total energy demand,Historical
1999,Constraint,Residential,Gross PJ,70.046,Total energy demand,Historical
1999,Constraint,Transport,Gross PJ,160.503,Total energy demand,Historical
1999,Environmental,Commercial,Gross PJ,38.605,Total energy demand,Historical
1999,Environmental,Industrial,Gross PJ,191.704,Total energy demand,Historical
1999,Environmental,Residential,Gross PJ,70.046,Total energy demand,Historical
1999,Environmental,Transport,Gross PJ,160.503,Total energy demand,Historical
1999,Growth,Commercial,Gross PJ,38.605,Total energy demand,Historical
1999,Growth,Industrial,Gross PJ,191.704,Total energy demand,Historical
1999,Growth,Residential,Gross PJ,70.046,Total energy demand,Historical
1999,Growth,Transport,Gross PJ,160.503,Total energy demand,Historical
1999,Innovation,Commercial,Gross PJ,38.605,Total energy demand,Historical
1999,Innovation,Industrial,Gross PJ,191.704,Total energy demand,Historical
1999,Innovation,Residential,Gross PJ,70.046,Total energy demand,Historical
1999,Innovation,Transport,Gross PJ,160.503,Total energy demand,Historical
1999,Reference,Commercial,Gross PJ,38.605,Total energy demand,Historical
1999,Reference,Industrial,Gross PJ,191.704,Total energy demand,Historical
1999,Reference,Residential,Gross PJ,70.046,Total energy demand,Historical
1999,Reference,Transport,Gross PJ,160.503,Total energy demand,Historical
2000,Constraint,Commercial,Gross PJ,39.936,Total energy demand,Historical
2000,Constraint,Industrial,Gross PJ,201.8,Total energy demand,Historical
2000,Constraint,Residential,Gross PJ,71.915,Total energy demand,Historical
2000,Constraint,Transport,Gross PJ,167.928,Total energy demand,Historical
2000,Environmental,Commercial,Gross PJ,39.936,Total energy demand,Historical
2000,Environmental,Industrial,Gross PJ,201.8,Total energy demand,Historical
2000,Environmental,Residential,Gross PJ,71.915,Total energy demand,Historical
2000,Environmental,Transport,Gross PJ,167.928,Total energy demand,Historical
2000,Growth,Commercial,Gross PJ,39.936,Total energy demand,Historical
2000,Growth,Industrial,Gross PJ,201.8,Total energy demand,Historical
2000,Growth,Residential,Gross PJ,71.915,Total energy demand,Historical
2000,Growth,Transport,Gross PJ,167.928,Total energy demand,Historical
2000,Innovation,Commercial,Gross PJ,39.936,Total energy demand,Historical
2000,Innovation,Industrial,Gross PJ,201.8,Total energy demand,Historical
2000,Innovation,Residential,Gross PJ,71.915,Total energy demand,Historical
2000,Innovation,Transport,Gross PJ,167.928,Total energy demand,Historical
2000,Reference,Commercial,Gross PJ,39.936,Total energy demand,Historical
2000,Reference,Industrial,Gross PJ,201.8,Total energy demand,Historical
2000,Reference,Residential,Gross PJ,71.915,Total energy demand,Historical
2000,Reference,Transport,Gross PJ,167.928,Total energy demand,Historical
2001,Constraint,Commercial,Gross PJ,39.869,Total energy demand,Historical
2001,Constraint,Industrial,Gross PJ,208.645,Total energy demand,Historical
2001,Constraint,Residential,Gross PJ,74.183,Total energy demand,Historical
2001,Constraint,Transport,Gross PJ,169.29,Total energy demand,Historical
2001,Environmental,Commercial,Gross PJ,39.869,Total energy demand,Historical
2001,Environmental,Industrial,Gross PJ,208.645,Total energy demand,Historical
2001,Environmental,Residential,Gross PJ,74.183,Total energy demand,Historical
2001,Environmental,Transport,Gross PJ,169.29,Total energy demand,Historical
2001,Growth,Commercial,Gross PJ,39.869,Total energy demand,Historical
2001,Growth,Industrial,Gross PJ,208.645,Total energy demand,Historical
2001,Growth,Residential,Gross PJ,74.183,Total energy demand,Historical
2001,Growth,Transport,Gross PJ,169.29,Total energy demand,Historical
2001,Innovation,Commercial,Gross PJ,39.869,Total energy demand,Historical
2001,Innovation,Industrial,Gross PJ,208.645,Total energy demand,Historical
2001,Innovation,Residential,Gross PJ,74.183,Total energy demand,Historical
2001,Innovation,Transport,Gross PJ,169.29,Total energy demand,Historical
2001,Reference,Commercial,Gross PJ,39.869,Total energy demand,Historical
2001,Reference,Industrial,Gross PJ,208.645,Total energy demand,Historical
2001,Reference,Residential,Gross PJ,74.183,Total energy demand,Historical
2001,Reference,Transport,Gross PJ,169.29,Total energy demand,Historical
2002,Constraint,Commercial,Gross PJ,41.388,Total energy demand,Historical
2002,Constraint,Industrial,Gross PJ,223.872,Total energy demand,Historical
2002,Constraint,Residential,Gross PJ,74.188,Total energy demand,Historical
2002,Constraint,Transport,Gross PJ,175.834,Total energy demand,Historical
2002,Environmental,Commercial,Gross PJ,41.388,Total energy demand,Historical
2002,Environmental,Industrial,Gross PJ,223.872,Total energy demand,Historical
2002,Environmental,Residential,Gross PJ,74.188,Total energy demand,Historical
2002,Environmental,Transport,Gross PJ,175.834,Total energy demand,Historical
2002,Growth,Commercial,Gross PJ,41.388,Total energy demand,Historical
2002,Growth,Industrial,Gross PJ,223.872,Total energy demand,Historical
2002,Growth,Residential,Gross PJ,74.188,Total energy demand,Historical
2002,Growth,Transport,Gross PJ,175.834,Total energy demand,Historical
2002,Innovation,Commercial,Gross PJ,41.388,Total energy demand,Historical
2002,Innovation,Industrial,Gross PJ,223.872,Total energy demand,Historical
2002,Innovation,Residential,Gross PJ,74.188,Total energy demand,Historical
2002,Innovation,Transport,Gross PJ,175.834,Total energy demand,Historical
2002,Reference,Commercial,Gross PJ,41.388,Total energy demand,Historical
2002,Reference,Industrial,Gross PJ,223.872,Total energy demand,Historical
2002,Reference,Residential,Gross PJ,74.188,Total energy demand,Historical
2002,Reference,Transport,Gross PJ,175.834,Total energy demand,Historical
2003,Constraint,Commercial,Gross PJ,43.866,Total energy demand,Historical
2003,Constraint,Industrial,Gross PJ,210.998,Total energy demand,Historical
2003,Constraint,Residential,Gross PJ,76.493,Total energy demand,Historical
2003,Constraint,Transport,Gross PJ,183.231,Total energy demand,Historical
2003,Environmental,Commercial,Gross PJ,43.866,Total energy demand,Historical
2003,Environmental,Industrial,Gross PJ,210.998,Total energy demand,Historical
2003,Environmental,Residential,Gross PJ,76.493,Total energy demand,Historical
2003,Environmental,Transport,Gross PJ,183.231,Total energy demand,Historical
2003,Growth,Commercial,Gross PJ,43.866,Total energy demand,Historical
