Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,1997-09-01,15820,15960,16730,16770,16790,16880,17780,17790,17970,19410,20470,20660,20510,21220,24850,25230,26060,28990,29040,28990,28560,28370,28560,27620,21690,21820,22080,22270,22060,23820,27670,27670,27690,27700,27680,27570,27320,27070,26810,26530,18080,13440,13550,13740,13600,11240,1700,1800,,
ARG,ARG1101,TRUS,argyle_wairau,Hydro,Hydro,1997-09-01,934,10,0,0,0,0,0,0,0,0,0,0,0,930,4737,4696,4704,4800,4836,4852,4888,4886,4884,4886,4050,4074,3984,3926,3890,3888,3884,3864,3868,3868,3861,4726,4726,4838,4900,4941,4935,4852,4830,4869,4894,4900,4892,4882,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,1997-09-01,38290,35340,31960,34070,36630,36560,36380,28270,28360,31510,30040,30230,31700,31510,40960,59580,72160,67170,59350,52250,44300,44760,44560,46310,51370,58810,66690,67730,63990,58280,57690,53630,53390,53630,55770,73990,80380,80350,80390,80780,77860,70200,70330,63190,60550,60490,54760,40060,,
ATI,ATI2201,MRPL,atiamuri,Hydro,Hydro,1997-09-01,4260,4310,4560,4540,4530,4510,4410,4400,4450,3100,2290,2230,1950,3780,7900,21900,29590,30000,29190,29330,23440,20270,20310,20300,20280,16920,15410,15440,15450,15410,15400,15270,15190,15140,17500,24470,36860,36540,36540,36610,33420,19790,20050,20070,19980,10360,7990,8520,,
AVI,AVI2201,MERI,aviemore,Hydro,Hydro,1997-09-01,79080,73420,73250,72800,63570,62060,40120,17580,20550,21940,41440,54600,58160,63400,53760,49020,48930,48050,51850,52570,52660,51500,50380,50610,47730,46430,46380,46220,45630,46120,20510,10730,45360,32960,56420,59380,59380,59410,42070,33180,27880,21950,28160,30200,17190,4510,4660,8140,,
BEN,BEN2202,MERI,benmore,Hydro,Hydro,1997-09-01,50340,53350,50510,51670,52840,51360,49580,46380,48950,53820,45710,51490,89250,153460,152670,138250,131100,152150,132320,148480,146220,139090,138570,137950,140350,142010,139860,139310,136870,126250,126870,136300,151460,150840,152230,168290,158420,179990,190390,206410,202290,191180,185520,189130,186820,188280,183930,154030,,
BWK,BWK1101,TRUS,waipori,Hydro,Hydro,1997-09-01,3024,0,0,0,0,0,0,0,0,0,0,0,0,264,3096,4296,4488,4326,4584,4386,4446,4500,4350,4404,4476,4458,4404,4434,4404,4458,4446,4458,3864,4260,5034,4422,4404,4398,4446,4464,4464,4440,4410,4416,4434,4464,4470,4488,,
COB,COB0661,CTCT,cobb,Hydro,Hydro,1997-09-01,12830,12550,12770,12590,12740,12620,12650,12580,12650,12860,12770,12660,12700,12700,12710,12720,12770,12560,12680,12750,12770,12600,12610,12590,12600,12610,12560,12580,12520,12640,12580,12630,12430,12730,12610,12470,12690,12520,12500,12820,12630,12720,12760,12400,12650,12730,12740,12820,,
COL,COL0661,TRUS,coleridge,Hydro,Hydro,1997-09-01,15210,15190,15200,15200,15200,15200,15200,15200,15200,15210,15210,15210,15210,15210,15220,15210,15210,15200,15210,15230,15220,15210,15230,15220,15210,15240,15230,15230,15230,15230,15220,15220,15210,15220,15220,15200,15210,15210,15200,15220,15230,15220,15210,15190,15200,15210,15220,15220,,
CYD,CYD2201,CTCT,clyde,Hydro,Hydro,1997-09-01,150870,150220,105540,99420,100070,99730,99760,99480,99860,100610,100200,99690,105370,151170,151490,151280,151720,150210,150880,151390,151590,150890,109940,101030,101200,101490,101410,101370,100970,101560,140320,151400,150290,152100,151310,150210,151380,150250,149380,104730,101140,101580,101750,100160,101200,103560,146370,152160,,
