Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ANI,ANI0111,BOPE,aniwhenua,Hydro,Hydro,1999-08-01,5901,5318,5317,5322,5327,5323,5332,5337,7490,7444,7444,7444,7444,7434,10387,10453,10489,10563,10547,10526,10538,8563,8452,8445,6580,6350,6335,6351,5337,5282,5282,5262,6355,5625,10009,10478,10456,10460,10478,10438,10443,10483,10499,10574,7572,7381,7384,7378,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,1999-08-01,8440,8230,8020,8280,9330,11270,12120,12350,12020,12660,14110,14650,15140,13910,13550,13450,13580,13620,13450,13350,6200,9180,11800,11580,8800,10390,12020,12450,8570,12570,13110,13210,13010,13830,13860,14460,22870,27290,23980,13090,11120,10950,10870,10940,10680,10840,10680,12120,,
ARG,ARG1101,TRUS,argyle_wairau,Hydro,Hydro,1999-08-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3255,3828,3822,3811,3806,3804,3811,3810,3813,3813,889,9,0,0,0,0,0,0,0,0,3206,3768,3764,3782,3779,3780,3789,3791,3795,3795,869,12,0,0,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,1999-08-01,30690,30520,34420,38190,40870,39380,39300,43340,44180,45080,45070,49320,40120,35610,37320,36930,39980,40520,40100,39730,40060,39700,39870,39190,40110,39580,37850,30020,30340,30110,29920,30090,29390,30230,30210,38040,53560,57800,57920,57730,49340,38500,38430,38510,32100,30170,29920,33670,,
ATI,ATI2201,MRPL,atiamuri,Hydro,Hydro,1999-08-01,4620,4560,4260,4530,4780,2330,1780,1890,1640,1870,1860,1880,1710,1360,16340,18280,18520,18560,18390,18220,18620,18600,18680,8720,5520,5280,5060,5460,5640,5480,5430,5450,5100,18060,19150,21590,28210,28050,16430,13720,13750,10610,11490,11510,4240,1570,1780,1630,,
AVI,AVI2201,MERI,aviemore,Hydro,Hydro,1999-08-01,57970,58960,58210,51220,48530,48370,44870,48020,48680,47200,47150,32840,32060,33770,10870,6040,6160,33760,58190,58260,58430,58280,58180,58480,58170,58350,58660,58300,58240,58430,58640,58700,58090,59020,77980,85620,84700,84520,85180,84910,74350,84790,78630,75510,84140,84540,81160,58610,,
BEN,BEN2202,MERI,benmore,Hydro,Hydro,1999-08-01,234720,182360,127300,79650,69200,66960,53820,61420,52740,45890,46700,48110,79920,109340,37260,61870,90110,102190,119440,147400,148280,127540,138540,148080,126970,107970,94140,70290,62000,49280,49480,49530,91020,127340,244920,269310,265690,265010,267310,266010,252260,256590,230010,214130,235140,220830,237730,224970,,
BWK,BWK1101,TRUS,waipori,Hydro,Hydro,1999-08-01,13468,13471,13486,13507,13483,13501,13519,13489,13513,13507,13519,13507,13489,13519,13501,13525,13507,13501,13495,13507,13489,13498,13495,13489,13507,13495,13495,13501,13507,13495,13501,13489,13507,13489,13495,13471,13489,13465,13477,13483,13477,13495,13477,13483,13489,13495,13489,13495,,
COB,COB0661,CTCT,cobb,Hydro,Hydro,1999-08-01,15650,15670,15680,15710,15680,15670,15690,15710,15700,15670,15730,15680,15670,15650,15690,15670,15680,15620,15720,15690,15680,15690,15680,15700,15670,15690,15700,15680,15690,15680,15710,15690,15660,15720,15670,15690,15650,15640,15680,15670,15660,15720,15680,15680,15710,15640,15650,15720,,
COL,COL0661,TRUS,coleridge,Hydro,Hydro,1999-08-01,17410,17400,17400,17400,17400,17410,17400,17400,17410,17400,17410,17400,17400,17400,17380,17400,17400,17380,17390,17380,17390,17390,17390,17380,17380,17390,17390,17380,17380,17390,17360,17360,17370,17360,17380,17380,17380,17370,17370,17360,17370,17380,17380,17370,17380,17380,17380,17380,,
