date,reconciled_offtake_mwh,reconciled_injection_mwh,offtake_rows,injection_rows
2024-03-01,112172.518,115381.1,155008,35969
2024-03-02,103411.335,106332.703,154937,33965
2024-03-03,102702.817,105563.563,154898,32119
2024-03-04,113130.1,116836.704,155097,29080
2024-03-05,112023.34,115730.668,155025,34903
2024-03-06,112751.349,116392.265,154722,36098
2024-03-07,113744.079,117492.705,154964,33474
2024-03-08,112548.719,115939.642,155305,35485
2024-03-09,104161.372,107133.662,155392,35477
2024-03-10,101946.758,104797.002,155396,35875
2024-03-11,112956.707,116514.521,154118,33109
2024-03-12,114021.271,117617.827,153785,32333
2024-03-13,114190.29,117646.798,154242,32935
2024-03-14,113619.901,117002.28,154548,33606
2024-03-15,113724.948,117002.382,154468,29703
2024-03-16,102531.7,105379.282,154148,35433
2024-03-17,100556.1,103297.027,154144,34406
2024-03-18,110532.879,113750.037,154196,33941
2024-03-19,112292.289,115603.191,154246,34670
2024-03-20,112517.976,115853.008,154349,34700
2024-03-21,112274.672,115570.955,154122,34684
2024-03-22,112193.281,115476.782,154426,33851
2024-03-23,104504.693,107584.468,155136,31295
2024-03-24,102048.964,104931.541,155112,33505
2024-03-25,112192.607,115620.958,154263,33073
2024-03-26,114511.015,117978.1,154102,33236
2024-03-27,115217.471,118795.118,153804,32237
2024-03-28,116256.392,119867.013,154284,31977
2024-03-29,104344.536,107323.772,154742,34003
2024-03-30,103496.292,106594.856,154753,33709
2024-03-31,101020.402,103988.235,154791,33173
