project_name,technology,capacity_mw,stage,region,location,customer_or_developer,expected_connection_or_need_date,raw_project_id,raw_parent_project_id,raw_customer,raw_project_name,raw_region,raw_connection_location_substation_or_circuit,raw_max_mw,raw_connection_voltage,raw_technology,raw_transpower_stage,raw_status_flag,raw_stage_complete,raw_status,raw_consented,raw_estimated_connection_livening_date,raw_column_16,raw_status_flag_key,raw_column_18,raw_column_19,raw_column_20,raw_column_21,raw_column_22,raw_column_23,raw_column_24,raw_column_25,raw_column_26,raw_column_27,raw_column_28,raw_column_29
00037564,BESS,100.0,Commissioning,Waikato,Waihou,Harmony Energy NZ #10 Limited,,00037564,0,Harmony Energy NZ #10 Limited,Waihou (Tauhei) 33kV Solar Farm,Waikato,Waihou,100,33,BESS,Commissioning,● ,1,Transpower Scope Complete,Application Submitted,2028-06-16 00:00:00,,●      Progressing normally,,,,,,,,,,,,
00037567,Solar,115.0,Delivery,Bay of Plenty,Edgecumbe,Edgecumbe Solar Project LP (Genesis Energy),,00037567,0,Edgecumbe Solar Project LP (Genesis Energy),Edgecumbe Solar Farm (Genesis Energy),Bay of Plenty,Edgecumbe,115,33,Solar,Delivery,● ,0.96,Construction,Consent Granted,2026-08-31 00:00:00,,●C  Awaiting customer action,,,,,,,,,,,,
00037570,Solar,130.0,Commissioning,Northland,Bream Bay,Meridian Energy Limited,,00037570,0,Meridian Energy Limited,Ruakākā (Stage 2) TOPS,Northland,Bream Bay,130,33,Solar,Commissioning,● ,0.87,Transpower Scope Complete,Consent Granted,2026-08-01 00:00:00,,●T   Awaiting Transpower action,,,,,,,,,,,,
00037566,Solar,200.0,Delivery,Hawkes Bay,WRK_WHI,TM Solar Limited,,00037566,0,TM Solar Limited,Te Rahui Solar Farm (Stage 1),Hawkes Bay,WRK_WHI,200,220,Solar,Delivery,● ,0.85,Construction,Consent Granted,2026-11-02 00:00:00,,●     On hold,,,,,,,,,,,,
00037574,Geothermal,190.0,Delivery,Central North Island,Te Mihi,Contact Energy Limited,,00037574,0,Contact Energy Limited,Te Mihi Stage II,Central North Island,Te Mihi,190(!132),220,Geothermal,Delivery,● ,0.72,Detailed Design,Consent Granted,2026-09-30 00:00:00,,,,,,,,,,,,,,
38476,Solar,200.0,Delivery,Hawkes Bay,WRK_WHI,TM Solar Limited,,38476,37566,TM Solar Limited,Te Rahui Solar Farm (Stage 2),Hawkes Bay,WRK_WHI,200,220,Solar,Delivery,●C,0.58,Detailed Design,Consent Granted,2026-11-02 00:00:00,,,,,,,,,,,,,,
00037577,Wind - Onshore,93.0,Delivery,Canterbury,Waipara,MainPower New Zealand Limited,,00037577,0,MainPower New Zealand Limited,Mt Cass Wind Farm,Canterbury,Waipara,93,66,Wind - Onshore,Delivery,● ,0.5,Detailed Design,Consent Granted,2027-05-30 00:00:00,,,,,,,,,,,,,,
00037579,Solar,214.0,Delivery,Waikato,HLY_OTA,Rangiriri Solar Farm Limited,,00037579,0,Rangiriri Solar Farm Limited,Rangiriri Solar Farm (Genesis Energy),Waikato,HLY_OTA,214,220,Solar,Delivery,● ,0.47,Detailed Design,Consent Granted,2029-07-31 00:00:00,,,,,,,,,,,,,,
00037573,Solar,300.0,Delivery,South-Canterbury,BEN_ISL-A,Far North Solar Farm Limited,,00037573,0,Far North Solar Farm Limited,The Point Solar Farm,South-Canterbury,BEN_ISL-A,300,220,Solar,Delivery,●C,0.39,Detailed Design,Application Submitted,2027-11-01 00:00:00,,,,,,,,,,,,,,
00037589,Solar,100.0,Delivery,Wellington,Masterton,Harmony Energy NZ #2 Limited,,00037589,0,Harmony Energy NZ #2 Limited,Masterton Solar Farm (Harmony),Wellington,Masterton,100,110,Solar,Delivery,● ,0.35,Detailed Design,Consent Granted,2027-10-01 00:00:00,,,,,,,,,,,,,,
00037590,BESS,100.0,Delivery,Wellington,Masterton,Harmony Energy NZ #2 Limited,,00037590,00037589,Harmony Energy NZ #2 Limited,Masterton Solar Farm (Harmony) (BESS),Wellington,Masterton,100,110,BESS,Delivery,● ,0.35,Detailed Design,Consent Granted,2027-10-01 00:00:00,,,,,,,,,,,,,,
00037578,Solar,314.0,Delivery,Waikato,OTA_WKM,Waerenga Solar Farm Limited,,00037578,0,Waerenga Solar Farm Limited,Waerenga Solar Farm,Waikato,OTA_WKM,314,220,Solar,Delivery,●,0.28,Detailed Design,Consent Granted,2029-10-31 00:00:00,,,,,,,,,,,,,,
00037604,BESS,100.0,Delivery,Hawkes Bay,Waipawa (North),Helios HKB Op LP,,00037604,00037603,Helios HKB Op LP,Waipawa Solar Farm (Helios) (BESS),Hawkes Bay,Waipawa (North),100,110,BESS,Delivery,● ,0.22,Detailed Design,Consent Granted,2028-05-01 00:00:00,,,,,,,,,,,,,,
00037603,Solar,100.0,Delivery,Hawkes Bay,Waipawa (North),Helios HKB Op LP,,00037603,0,Helios HKB Op LP,Waipawa Solar Farm (Helios),Hawkes Bay,Waipawa (North),100,110,Solar,Delivery,● ,0.22,Detailed Design,Consent Granted,2028-05-01 00:00:00,,,,,,,,,,,,,,
00037571,Solar,91.0,Delivery,Wellington,Masterton,Masterton Solar and Energy Storage Limited (NZCE),,00037571,0,Masterton Solar and Energy Storage Limited (NZCE),Masterton Solar Farm (NZCE),Wellington,Masterton,91,33,Solar,Delivery,● ,0.2,Detailed Design,Consent Granted,2027-11-01 00:00:00,,,,,,,,,,,,,,
00037572,BESS,91.0,Delivery,Wellington,Masterton,Masterton Solar and Energy Storage Limited (NZCE),,00037572,00037571,Masterton Solar and Energy Storage Limited (NZCE),Masterton Solar Farm (NZCE) (BESS),Wellington,Masterton,91,33,BESS,Delivery,● ,0.2,Detailed Design,Consent Granted,2027-11-01 00:00:00,,,,,,,,,,,,,,
00037575,Solar,158.0,Delivery,Wellington,Greytown,Far North Solar Farm Limited,,00037575,0,Far North Solar Farm Limited,Greytown Solar Farm,Wellington,Greytown,158,110,Solar,Delivery,●C,0.16,Detailed Design,Consent Granted,2028-05-01 00:00:00,,,,,,,,,,,,,,
00038453,BESS,158.0,Delivery,Wellington,Greytown,Far North Solar Farm Limited,,00038453,00037575,Far North Solar Farm Limited,Greytown Solar Farm,Wellington,Greytown,158,110,BESS,Delivery,●C,0.16,Detailed Design,Application Expected,2028-05-01 00:00:00,,,,,,,,,,,,,,
00037591,Solar,50.0,Delivery,Central North Island,Marton,Harmony Energy NZ #3 Limited,,00037591,0,Harmony Energy NZ #3 Limited,Marton Solar Farm (Harmony),Central North Island,Marton,50,110,Solar,Delivery,●,0.1,Detailed Design,Consent Granted,2027-10-31 00:00:00,,,,,,,,,,,,,,
00037592,BESS,50.0,Delivery,Central North Island,Marton,Harmony Energy NZ #3 Limited,,00037592,00037591,Harmony Energy NZ #3 Limited,Marton Solar Farm (Harmony) (BESS),Central North Island,Marton,50,110,BESS,Delivery,●,0.1,Detailed Design,Consent Granted,2027-10-31 00:00:00,,,,,,,,,,,,,,
00037602,BESS,110.0,Delivery,Central North Island,Tangiwai,Helios MWT Op LP,,00037602,00037601,Helios MWT Op LP,Karioi Solar Farm (Tangiwai Solar + BESS) (BESS),Central North Island,Tangiwai,110,220,BESS,Delivery,● ,0.03,Detailed Design,Consent Granted,2028-12-01 00:00:00,,,,,,,,,,,,,,
00037601,Solar,110.0,Delivery,Central North Island,Tangiwai,Helios MWT Op LP,,00037601,0,Helios MWT Op LP,Karioi Solar Farm (Tangiwai Solar + BESS),Central North Island,Tangiwai,110,220,Solar,Delivery,● ,0.03,Detailed Design,Consent Granted,2028-12-01 00:00:00,,,,,,,,,,,,,,
37580,Solar,200.0,Delivery,Northland,HEN_MDN,Glorit Solar P LP,,37580,0,Glorit Solar P LP,Glorit Solar Farm GIP,Northland,HEN_MDN,200,220,Solar,Delivery,● ,0.02,Detailed Design,Consent Granted,2028-01-31 00:00:00,,,,,,,,,,,,,,
00037584,Solar,100.0,Delivery,Wellington,Waipawa (South),Kahahakuri Limited,,00037584,0,Kahahakuri Limited,Waipawa Solar Farm (Kahahakuri),Wellington,Waipawa (South),100,110,Solar,Delivery,● ,0.01,Early Stage Design,Consent Granted,2028-07-01 00:00:00,,,,,,,,,,,,,,
00037585,BESS,100.0,Delivery,Central North Island,Waipawa (South),Kahahakuri Limited,,00037585,00037584,Kahahakuri Limited,Waipawa Solar Farm (BESS) (Kahahakuri),Central North Island,Waipawa (South),100,110,BESS,Delivery,● ,0.01,Early Stage Design,Consent Granted,2028-07-01 00:00:00,,,,,,,,,,,,,,
Project ID,Technology,,Transpower stage,Region,Connection location (substation or circuit),,,Project ID,Parent Project ID,,,Region,Connection location (substation or circuit),Max MW,Connection voltage,Technology,Transpower stage,Status Flag,Stage % complete,Status,Consented,Estimated TP scope completion date,,,,,,,,,,,,,,
00037582,Solar,222.0,Investigation,South-Canterbury,Ohau A,,,00037582,0,,,South-Canterbury,Ohau A,222,220,Solar,Investigation,●,0.95,Investment Contract Negotiation,Application Expected,TBC,,,,,,,,,,,,,,
00037597,Solar,75.0,Investigation,Taranaki,Huirangi,,,00037597,0,,,Taranaki,Huirangi,75,110,Solar,Investigation,● ,0.95,Investment Contract Negotiation,Application Submitted,TBC,,,,,,,,,,,,,,
00037598,BESS,75.0,Investigation,Taranaki,Huirangi,,,00037598,00037597,,,Taranaki,Huirangi,75,110,BESS,Investigation,● ,0.95,Investment Contract Negotiation,Application Submitted,TBC,,,,,,,,,,,,,,
00037581,Wind - Onshore,170.0,Investigation,Central North Island,BPE_LTN,,,00037581,0,,,Central North Island,BPE_LTN,170(!45),220,Wind - Onshore,Investigation,●C,0.92,Investment Contract Negotiation,Consent Granted,TBC,,,,,,,,,,,,,,
00037643,Wind - Onshore,190.0,Investigation,Otago-Southland,HWB_ROX,,,00037643,0,,,Otago-Southland,HWB_ROX,190,110,Wind - Onshore,Investigation,● ,0.9,Investment Contract Negotiation,Consent Granted,TBC,,,,,,,,,,,,,,
00037583,Wind - Onshore,90.0,Investigation,Central North Island,MGM_MST,,,00037583,0,,,Central North Island,MGM_MST,90,110,Wind - Onshore,Investigation,●C,0.77,Early Stage Design,Consent Granted,TBC,,,,,,,,,,,,,,
00037599,Solar,80.0,Investigation,Waikato,Hinuera,,,00037599,0,,,Waikato,Hinuera,80,33,Solar,Investigation,● ,0.74,Early Stage Design,Application Submitted,TBC,,,,,,,,,,,,,,
00037600,BESS,80.0,Investigation,Waikato,Hinuera,,,00037600,00037599,,,Waikato,Hinuera,80,33,BESS,Investigation,● ,0.74,Early Stage Design,Application Submitted,TBC,,,,,,,,,,,,,,
00037615,Solar,300.0,Investigation,Waikato,HLY_DEV,,,00037615,0,,,Waikato,HLY_DEV,300,220,Solar,Investigation,●,0.64,Early Stage Design,Application Expected,TBC,,,,,,,,,,,,,,
