Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
2006-11-07,23:59:59,277.446,395.134,,320
2007-11-24,23:59:59,277.184,344.416,,320
2008-03-14,23:59:59,277.294,365.667,,320
2009-10-16,23:59:59,276.892,288.250,,320
2011-03-17,23:59:59,277.494,404.287,,320
2011-04-09,23:59:59,277.006,310.084,,320
2012-04-06,23:59:59,276.764,263.548,,320
2013-02-10,23:59:59,277.306,368.099,,320
2013-08-31,23:59:59,277.035,315.756,,320
2014-07-06,23:59:59,277.710,445.934,,320
2014-09-11,23:59:59,276.672,245.678,,320
2015-02-05,23:59:59,277.517,408.798,,320
2015-02-19,23:59:59,277.075,323.513,,320
2015-05-01,23:59:59,277.658,436.069,,320
2015-05-05,23:59:59,277.424,390.911,,320
2016-03-30,23:59:59,277.763,456.277,,320
2016-08-13,23:59:59,276.980,305.101,,320
2016-10-22,23:59:59,277.752,454.139,,320
2016-12-08,23:59:59,277.609,426.497,,320
2017-10-19,23:59:59,277.089,326.198,,320
2017-10-20,23:59:59,277.075,323.395,,320
2018-02-13,23:59:59,277.228,353.021,,320
2018-10-25,23:59:59,277.299,366.786,,320
2019-07-27,23:59:59,277.106,329.379,,320
2019-09-12,23:59:59,276.567,225.352,,320
2019-09-26,23:59:59,276.579,227.767,,320
2020-03-16,23:59:59,277.422,390.428,,320
2020-12-20,23:59:59,276.976,304.329,,320
2021-03-03,23:59:59,276.740,258.895,,320
2021-08-26,23:59:59,277.769,457.472,,320
2021-12-26,23:59:59,277.584,421.791,,320
2022-03-16,23:59:59,276.647,240.777,,320
2022-07-04,23:59:59,277.055,319.555,,320
2022-09-08,23:59:59,278.050,511.671,,320
2024-01-01,23:59:59,277.274,361.844,,320
1980-01-14,23:59:59,277.537,412.639,,320
1980-11-02,23:59:59,277.923,487.140,,320
1981-04-04,23:59:59,277.509,407.143,,320
1981-05-13,23:59:59,277.529,411.019,,320
1981-07-17,23:59:59,276.805,271.269,,320
1981-08-29,23:59:59,276.480,208.736,,320
1981-10-03,23:59:59,276.949,299.081,,320
1981-11-12,23:59:59,277.443,394.480,,320
1983-04-02,23:59:59,277.482,402.066,,320
1983-04-25,23:59:59,277.455,396.836,,320
1984-10-31,23:59:59,278.022,506.152,,320
1985-12-18,23:59:59,277.276,362.174,,320
1986-02-25,23:59:59,277.434,392.701,,320
1986-10-27,23:59:59,277.233,353.893,,320
1987-02-21,23:59:59,277.421,390.174,,320
1987-05-19,23:59:59,277.039,316.569,,320
1987-06-06,23:59:59,278.248,549.785,,320
1987-06-17,23:59:59,278.016,505.110,,320
1988-01-06,23:59:59,277.068,322.105,,320
1988-05-18,23:59:59,276.514,215.127,,320
1988-07-15,23:59:59,277.024,313.688,,320
1988-09-02,23:59:59,277.251,357.521,,320
1988-11-16,23:59:59,278.039,509.510,,320
1989-03-06,23:59:59,277.075,323.418,,320
1989-05-22,23:59:59,276.727,256.232,,320
1989-06-06,23:59:59,276.665,244.323,,320
1990-01-07,23:59:59,278.065,514.581,,320
1990-12-23,23:59:59,278.467,592.210,,320
1992-01-11,23:59:59,277.523,409.959,,320
1993-02-23,23:59:59,277.078,324.113,,320
1994-07-11,23:59:59,277.171,341.983,,320
1995-07-01,23:59:59,276.710,253.011,,320
1996-02-01,23:59:59,277.482,402.066,,320
1996-05-29,23:59:59,277.104,329.090,,320
1996-08-31,23:59:59,276.402,193.646,,320
1997-01-11,23:59:59,277.241,355.589,,320
1998-01-03,23:59:59,278.057,513.061,,320
1998-04-08,23:59:59,278.166,533.959,,320
1999-08-22,23:59:59,276.680,247.239,,320
1999-09-08,23:59:59,277.071,322.647,,320
1999-09-11,23:59:59,277.066,321.663,,320
1999-09-12,23:59:59,277.047,318.012,,320
2001-05-27,23:59:59,276.722,255.343,,320
2002-04-05,23:59:59,276.951,299.488,,320
2006-09-11,23:59:59,277.034,315.544,,320
2007-01-08,23:59:59,277.434,392.701,,320
2007-04-03,23:59:59,276.930,295.530,,320
2007-05-23,23:59:59,277.132,334.550,,320
2007-08-01,23:59:59,276.765,263.589,,320
2007-12-05,23:59:59,277.011,311.120,,320
2009-03-22,23:59:59,277.003,309.518,,320
2009-09-17,23:59:59,277.527,410.689,,320
2010-05-18,23:59:59,277.797,462.803,,320
2011-01-21,23:59:59,277.835,470.212,,320
2011-01-28,23:59:59,277.638,432.193,,320
2012-04-23,23:59:59,276.490,210.509,,320
2015-09-19,23:59:59,277.128,333.643,,320
2016-04-15,23:59:59,277.376,381.587,,320
2016-05-19,23:59:59,278.689,635.017,,320
2016-05-24,23:59:59,278.206,541.680,,320
2017-02-08,23:59:59,277.852,473.493,,320
2019-01-23,23:59:59,277.357,377.806,,320
2019-06-04,23:59:59,278.305,560.887,,320
2019-09-16,23:59:59,276.606,233.014,,320
2019-10-26,23:59:59,277.248,356.944,,320
2020-04-09,23:59:59,276.845,279.162,,320
2021-04-06,23:59:59,276.796,269.685,,320
2021-12-04,23:59:59,277.565,418.081,,320
2022-03-05,23:59:59,276.842,278.484,,320
2022-08-06,23:59:59,278.009,503.661,,320
2022-08-24,23:59:59,278.119,525.041,,320
2022-10-07,23:59:59,277.082,324.767,,320
2024-10-24,23:59:59,277.640,432.523,,320
1980-06-01,23:59:59,277.352,376.934,,320
1980-11-23,23:59:59,277.643,433.100,,320
1981-06-06,23:59:59,277.413,388.726,,320
1981-08-07,23:59:59,276.794,269.302,,320
1982-09-04,23:59:59,277.018,312.552,,320
1982-09-30,23:59:59,276.984,305.837,,320
1984-05-18,23:59:59,277.179,343.468,,320
1985-04-27,23:59:59,277.460,397.719,,320
1985-09-20,23:59:59,277.167,341.171,,320
1985-10-06,23:59:59,277.252,357.639,,320
1986-02-12,23:59:59,277.029,314.619,,320
1988-05-02,23:59:59,276.633,238.245,,320
1988-08-29,23:59:59,277.169,341.695,,320
