Date,Time,Lake level (m),Active storage (Mm³),Active contingent storage (Mm³),QualityCode
2006-11-19,23:59:59,520.604,71.697,,320
2007-11-13,23:59:59,519.802,21.818,,320
2010-01-12,23:59:59,520.455,62.441,,320
2010-02-08,23:59:59,519.819,22.888,,320
2010-05-10,23:59:59,519.910,28.550,,320
2010-06-12,23:59:59,519.849,24.719,,320
2010-12-23,23:59:59,521.091,101.970,,320
2011-12-09,23:59:59,519.827,23.387,,320
2012-08-05,23:59:59,519.997,33.952,,320
2013-04-24,23:59:59,519.837,24.010,,320
2013-06-18,23:59:59,519.833,23.708,,320
2013-08-15,23:59:59,519.848,24.687,,320
2013-09-30,23:59:59,519.700,15.476,,320
2014-09-02,23:59:59,519.864,25.645,,320
2014-11-24,23:59:59,520.035,36.316,,320
2015-11-24,23:59:59,519.859,25.374,,320
2016-12-30,23:59:59,519.802,21.801,,320
2017-06-05,23:59:59,519.887,27.066,,320
2017-07-10,23:59:59,519.885,26.963,,320
2018-01-25,23:59:59,519.872,26.146,,320
2018-07-02,23:59:59,519.816,22.690,,320
2018-08-08,23:59:59,519.796,21.413,,320
2019-07-27,23:59:59,519.821,22.979,,320
2019-10-03,23:59:59,519.841,24.208,,320
2020-08-17,23:59:59,519.970,32.257,,320
2020-08-29,23:59:59,519.810,22.276,,320
2021-05-22,23:59:59,519.809,22.258,,320
2021-08-01,23:59:59,519.807,22.141,,320
2023-01-08,23:59:59,519.820,22.947,,320
2023-06-07,23:59:59,519.949,30.955,,320
2023-06-16,23:59:59,519.791,21.148,,320
2023-08-28,23:59:59,519.808,22.193,,320
2024-06-11,23:59:59,519.791,21.135,,320
2024-09-17,23:59:59,519.805,21.981,,320
1981-02-09,23:59:59,519.733,17.513,,320
1981-09-13,23:59:59,519.497,2.872,,320
1981-12-31,23:59:59,519.774,20.073,,320
1983-09-28,23:59:59,519.744,18.225,,320
1983-09-29,23:59:59,519.740,17.978,,320
1984-12-21,23:59:59,521.403,121.384,,320
1987-09-10,23:59:59,519.792,21.190,,320
1987-12-23,23:59:59,519.773,19.994,,320
1988-03-20,23:59:59,519.778,20.302,,320
1988-10-17,23:59:59,520.021,35.399,,320
1989-03-19,23:59:59,520.029,35.921,,320
